dataset,metric,stage,mean,paired_rows,valid_rows,total_rows
VisualCogA_Task-1,MAE,预处理,19.66912176275617,6,6,6
VisualCogA_Task-1,MAE,V3,4.090887447352785,6,6,6
VisualCogA_Task-1,MAE,V4,6.476441864615212,6,6,6
VisualCogA_Task-1,MAE,V6,17.662488728036916,6,6,6
VisualCogA_Task-1,MAE,V7,17.70084205341207,6,6,6
VisualCogA_Task-1,RMSE,预处理,20.030657092506523,6,6,6
VisualCogA_Task-1,RMSE,V3,4.602706648363669,6,6,6
VisualCogA_Task-1,RMSE,V4,6.923284034132478,6,6,6
VisualCogA_Task-1,RMSE,V6,18.00561594746146,6,6,6
VisualCogA_Task-1,RMSE,V7,18.043203627624866,6,6,6
VisualCogA_Task-1,corr,预处理,0.6663958442810747,6,6,6
VisualCogA_Task-1,corr,V3,0.693608917214569,6,6,6
VisualCogA_Task-1,corr,V4,0.6848490646566487,6,6,6
VisualCogA_Task-1,corr,V6,0.6751251804876187,6,6,6
VisualCogA_Task-1,corr,V7,0.6745961432921815,6,6,6
VisualCogA_Task-1,shape_distance,预处理,0.6065807231027401,6,6,6
VisualCogA_Task-1,shape_distance,V3,0.5911548843674234,6,6,6
VisualCogA_Task-1,shape_distance,V4,0.6115437802679874,6,6,6
VisualCogA_Task-1,shape_distance,V6,0.605519554077661,6,6,6
VisualCogA_Task-1,shape_distance,V7,0.6061385778912868,6,6,6
VisualCogA_Task-1,baseline_RMS,预处理,14.122958294174225,6,6,6
VisualCogA_Task-1,baseline_RMS,V3,9.425424052465969,6,6,6
VisualCogA_Task-1,baseline_RMS,V4,10.769166142705847,6,6,6
VisualCogA_Task-1,baseline_RMS,V6,13.5444650736775,6,6,6
VisualCogA_Task-1,baseline_RMS,V7,13.4631372682556,6,6,6
VisualCogA_Task-1,trial_PTP_median,预处理,104.41482438942519,6,6,6
VisualCogA_Task-1,trial_PTP_median,V3,76.60805030545485,6,6,6
VisualCogA_Task-1,trial_PTP_median,V4,82.6026021968195,6,6,6
VisualCogA_Task-1,trial_PTP_median,V6,100.18644553326139,6,6,6
VisualCogA_Task-1,trial_PTP_median,V7,100.15208904612471,6,6,6
VisualCogA_Task-1,SNR_proxy_dB,预处理,-14.216732593324435,6,6,6
VisualCogA_Task-1,SNR_proxy_dB,V3,-11.786294863217044,6,6,6
VisualCogA_Task-1,SNR_proxy_dB,V4,-15.640807191658034,6,6,6
