dataset,cue,channel,n_trials,fit_family,knot_spacing_ms,fit_RMSE_50_750,fit_RMSE_250_500,positive_mean,positive_area_unit_ms,local_positive_peak,local_peak_latency_ms,peak_status
VisualCogA_Task-1,-1,Fz,47,fixed_knot_cubic_spline,50.0,0.538821591876713,0.5855119528622801,6.096748530670538,1531.5952030203075,9.391882704536663,332.03125,窗内局部正峰，非生理确认
VisualCogA_Task-1,-1,F3,47,fixed_knot_cubic_spline,50.0,0.5505310025500689,0.5389893984393453,0.0,0.0,,,无合格窗内局部正峰
VisualCogA_Task-1,-1,F4,47,fixed_knot_cubic_spline,50.0,0.6549243683259476,0.633961495606111,0.0,0.0,,,无合格窗内局部正峰
VisualCogA_Task-1,1,Fz,43,fixed_knot_cubic_spline,50.0,0.6558999678461691,0.7083999261877297,0.9946461050936973,252.5468626214466,3.7129993818398317,347.65625,窗内局部正峰，非生理确认
VisualCogA_Task-1,1,F3,43,fixed_knot_cubic_spline,50.0,0.6323800983601656,0.664824446676971,22.164060018519653,5553.463018762876,25.449087625977842,371.09375,窗内局部正峰，非生理确认
VisualCogA_Task-1,1,F4,43,fixed_knot_cubic_spline,50.0,0.7017529789964255,0.8314870793230525,18.27469566503169,4584.370499535795,22.66129921293056,347.65625,窗内局部正峰，非生理确认
VisualCogA_Task-2,-1,Fz,53,fixed_knot_cubic_spline,50.0,0.5218370578435202,0.4061933568944658,20.244336310338753,5059.696723439041,22.458890862128293,351.5625,窗内局部正峰，非生理确认
VisualCogA_Task-2,-1,F3,53,fixed_knot_cubic_spline,50.0,0.4970470480903279,0.45700470757485717,20.496204416033844,5120.3747719660605,,,无合格窗内局部正峰
VisualCogA_Task-2,-1,F4,53,fixed_knot_cubic_spline,50.0,0.5401415139326858,0.36560138041301465,36.954949846031575,9234.957797589053,,,无合格窗内局部正峰
VisualCogA_Task-2,1,Fz,42,fixed_knot_cubic_spline,50.0,0.7251605360893657,0.6192735672688107,50.48326517034817,12622.98579469481,,,无合格窗内局部正峰
VisualCogA_Task-2,1,F3,42,fixed_knot_cubic_spline,50.0,0.7130912457637076,0.537678567672192,91.98598384099934,22995.25402560172,,,无合格窗内局部正峰
VisualCogA_Task-2,1,F4,42,fixed_knot_cubic_spline,50.0,0.7183402738290815,0.7635171638857717,74.01865219934312,18509.673286345263,,,无合格窗内局部正峰
VisualCogB_Task-1,-1,Fz,46,fixed_knot_cubic_spline,50.0,0.6394920603781866,0.5896477614478617,1.1724805783895307,297.70014685671674,4.953812408524816,343.75,窗内局部正峰，非生理确认
VisualCogB_Task-1,-1,F3,46,fixed_knot_cubic_spline,50.0,0.7546056812195306,0.4808168953657213,8.833384257461804,2208.0435248765725,11.703576495076135,363.28125,窗内局部正峰，非生理确认
VisualCogB_Task-1,-1,F4,46,fixed_knot_cubic_spline,50.0,0.6752113147075467,0.5407973584448315,40.43400887408621,10112.533324319407,,,无合格窗内局部正峰
VisualCogB_Task-1,1,Fz,48,fixed_knot_cubic_spline,50.0,0.7531362109348815,0.7107030988948773,18.051261359255065,4521.192353082364,22.12648804696566,343.75,窗内局部正峰，非生理确认
VisualCogB_Task-1,1,F3,48,fixed_knot_cubic_spline,50.0,0.7062204366621274,0.6820772655211801,0.0,0.0,,,无合格窗内局部正峰
VisualCogB_Task-1,1,F4,48,fixed_knot_cubic_spline,50.0,0.7224216141638307,0.7450603713768783,0.14055143122011388,35.68688683323204,1.076027169890019,332.03125,窗内局部正峰，非生理确认
VisualCogB_Task-2,-1,Fz,45,fixed_knot_cubic_spline,50.0,0.955237080648737,0.933273198014107,43.021312612884195,10740.890841594171,,,无合格窗内局部正峰
VisualCogB_Task-2,-1,F3,45,fixed_knot_cubic_spline,50.0,0.9754553207678507,1.1308266655179517,14.116421809441727,3514.4592689920605,17.05522142299213,308.59375,窗内局部正峰，非生理确认
VisualCogB_Task-2,-1,F4,45,fixed_knot_cubic_spline,50.0,0.8637938626254461,0.8324690815338825,38.680480177046256,9654.645929349681,39.15122438410271,324.21875,窗内局部正峰，非生理确认
VisualCogB_Task-2,1,Fz,47,fixed_knot_cubic_spline,50.0,0.8023408126238358,0.915992593159756,58.10091722286534,14522.27402990351,,,无合格窗内局部正峰
VisualCogB_Task-2,1,F3,47,fixed_knot_cubic_spline,50.0,0.658963477782293,0.667159256855219,47.945176640518376,11982.693639035828,,,无合格窗内局部正峰
VisualCogB_Task-2,1,F4,47,fixed_knot_cubic_spline,50.0,0.6959050103271802,0.7493303086541386,75.398355263025,18843.40744517591,,,无合格窗内局部正峰
