dataset,stage,cue,channel,n_trials,late_minus_early,mean_pre_slope
VisualCogA_Task-1,预处理,-1,Fz,47,11.331021832679653,0.01317859601203897
VisualCogA_Task-1,预处理,-1,F3,47,-35.71578679954537,-0.0912434396213704
VisualCogA_Task-1,预处理,-1,F4,47,-16.67614327133432,-0.06691094104161076
VisualCogA_Task-1,预处理,1,Fz,43,2.75549165141688,-0.014809289425869619
VisualCogA_Task-1,预处理,1,F3,43,18.971392875298328,0.055028621150536125
VisualCogA_Task-1,预处理,1,F4,43,10.06649823734896,0.04236735384514008
VisualCogA_Task-1,V7,-1,Fz,47,11.458535263567933,0.012984012017106306
VisualCogA_Task-1,V7,-1,F3,47,-30.743079158641113,-0.08638561125843407
VisualCogA_Task-1,V7,-1,F4,47,-12.524146287101308,-0.061727952202647936
VisualCogA_Task-1,V7,1,Fz,43,2.738385667320469,-0.01391692153949016
VisualCogA_Task-1,V7,1,F3,43,16.673988655344335,0.04679577163134796
VisualCogA_Task-1,V7,1,F4,43,9.166612767303127,0.036532434449889115
VisualCogA_Task-2,预处理,-1,Fz,53,103.31525289783528,0.03981125072938039
VisualCogA_Task-2,预处理,-1,F3,53,85.04911355586381,0.087741568237782
VisualCogA_Task-2,预处理,-1,F4,53,130.6208542661347,0.08175267309316625
VisualCogA_Task-2,预处理,1,Fz,42,141.64215072295642,0.09032024649196468
VisualCogA_Task-2,预处理,1,F3,42,169.06420197769,0.18222764597029664
VisualCogA_Task-2,预处理,1,F4,42,188.14538152411038,0.1402182745551818
VisualCogA_Task-2,V7,-1,Fz,53,98.7942091060187,0.03677531120477528
VisualCogA_Task-2,V7,-1,F3,53,80.49775788238627,0.08153003269507947
VisualCogA_Task-2,V7,-1,F4,53,124.0728177671589,0.07646523779332354
VisualCogA_Task-2,V7,1,Fz,42,137.95123706743152,0.08600311888710899
VisualCogA_Task-2,V7,1,F3,42,160.9651451886911,0.17439588412641382
VisualCogA_Task-2,V7,1,F4,42,181.47044771075488,0.13354392315530492
VisualCogB_Task-1,预处理,-1,Fz,46,11.028624908531977,0.006738896114610133
VisualCogB_Task-1,预处理,-1,F3,46,52.10251332930884,0.012745330445453167
VisualCogB_Task-1,预处理,-1,F4,46,75.38613320016145,0.06536276384803279
VisualCogB_Task-1,预处理,1,Fz,48,36.76365066924089,0.04493210522982697
VisualCogB_Task-1,预处理,1,F3,48,12.809468360548262,-0.021739066293959042
VisualCogB_Task-1,预处理,1,F4,48,20.412232858442422,-0.005339360050870837
VisualCogB_Task-1,V7,-1,Fz,46,11.852045911968073,0.007206243388141609
VisualCogB_Task-1,V7,-1,F3,46,49.01330264359963,0.00765623252139139
VisualCogB_Task-1,V7,-1,F4,46,71.4547937687794,0.05935984603051368
VisualCogB_Task-1,V7,1,Fz,48,36.61292192524075,0.0442821271022537
VisualCogB_Task-1,V7,1,F3,48,13.990176193389797,-0.017930657952267965
VisualCogB_Task-1,V7,1,F4,48,21.153838763111345,-0.0040514195309902246
VisualCogB_Task-2,预处理,-1,Fz,45,119.32167806641229,0.11321874585232554
VisualCogB_Task-2,预处理,-1,F3,45,58.71423097629699,0.08796431983850697
VisualCogB_Task-2,预处理,-1,F4,45,128.9071787754364,0.138032179783996
VisualCogB_Task-2,预处理,1,Fz,47,147.9388316474736,0.1447699318686431
VisualCogB_Task-2,预处理,1,F3,47,115.61285408719577,0.1617738904485971
VisualCogB_Task-2,预处理,1,F4,47,196.33054382218904,0.164889469741566
VisualCogB_Task-2,V7,-1,Fz,45,118.88021334056737,0.11448412685340834
VisualCogB_Task-2,V7,-1,F3,45,55.05590588621016,0.08998373777030788
VisualCogB_Task-2,V7,-1,F4,45,126.67296804939637,0.1409978124527216
VisualCogB_Task-2,V7,1,Fz,47,141.92465987660097,0.1364007714136491
VisualCogB_Task-2,V7,1,F3,47,104.92542492364421,0.150757938355485
VisualCogB_Task-2,V7,1,F4,47,185.62909460548315,0.15430725637548262
