dataset,stage,metric,point,low,high,n_trials,n_boot
VisualCogA_Task-1,V7,proxy_MAE_reduction_pct,10.006952690033511,4.8533423777368165,13.83289774111483,90,800
VisualCogA_Task-1,V7,SNR_proxy_gain_dB,0.21734434910557177,-0.19733706120785122,0.6227227341578867,90,800
VisualCogA_Task-1,V7,left_right_retention_ratio,0.9339473411707933,0.9076579128810043,1.0089066961233786,90,800
VisualCogA_Task-2,V7,proxy_MAE_reduction_pct,8.232869531395425,4.894842880111929,11.91343660110347,95,800
VisualCogA_Task-2,V7,SNR_proxy_gain_dB,0.02672667748435842,-0.42173526816010054,0.5494058144443451,95,800
VisualCogA_Task-2,V7,left_right_retention_ratio,0.9522510571897418,0.8646997494410696,1.1483463593602272,95,800
VisualCogB_Task-1,V7,proxy_MAE_reduction_pct,5.443837865053608,1.120753180998143,9.314269800651857,94,800
VisualCogB_Task-1,V7,SNR_proxy_gain_dB,0.1025517343186273,-0.22780032355234336,0.7023253619661428,94,800
VisualCogB_Task-1,V7,left_right_retention_ratio,0.942079125250823,0.8651715198086242,1.1214957925423878,94,800
VisualCogB_Task-2,V7,proxy_MAE_reduction_pct,9.81990931845473,4.780044304381642,14.571840246864527,92,800
VisualCogB_Task-2,V7,SNR_proxy_gain_dB,0.4806281546699971,-0.5853144683267468,1.3878308502039107,92,800
VisualCogB_Task-2,V7,left_right_retention_ratio,0.8134695091132501,0.7083358783081812,1.1072969451133925,92,800
