stage,dataset,quantity,channel_or_cue,RMS_before,RMS_after,retention_ratio,waveform_correlation,P300_positive_mean_difference_before,P300_positive_mean_difference_after
预处理,VisualCogA_Task-1,left_minus_right_ERP,Fz,7.581959457448026,7.581959457448026,0.9999999999999836,1.0,,
预处理,VisualCogA_Task-1,left_minus_right_ERP,F3,68.76659800904923,68.76659800904923,0.9999999999999981,0.9999999999999998,,
预处理,VisualCogA_Task-1,left_minus_right_ERP,F4,50.031822740415905,50.031822740415905,0.9999999999999974,0.9999999999999998,,
预处理,VisualCogA_Task-1,F3_minus_F4,left,13.24222700515048,13.24222700515048,0.9999999999999907,1.0,0.0,0.0
预处理,VisualCogA_Task-1,F3_minus_F4,right,5.764964891228105,5.764964891228105,0.9999999999999785,1.0,5.416872428931608,5.416872428931608
V7,VisualCogA_Task-1,left_minus_right_ERP,Fz,7.581959457448026,7.586105150994667,1.0005467839243647,0.9978454106045207,,
V7,VisualCogA_Task-1,left_minus_right_ERP,F3,68.76659800904923,62.0416446647903,0.9022061067587772,0.9990940051278419,,
V7,VisualCogA_Task-1,left_minus_right_ERP,F4,50.031822740415905,44.98306812154678,0.8990891328292375,0.997018437542851,,
V7,VisualCogA_Task-1,F3_minus_F4,left,13.24222700515048,13.121713457207484,0.9908992990456783,0.9996757781338833,0.0,0.0
V7,VisualCogA_Task-1,F3_minus_F4,right,5.764964891228105,4.23582213180886,0.7347524593348245,0.9934171977899249,5.416872428931608,3.885988558686382
预处理,VisualCogA_Task-2,left_minus_right_ERP,Fz,31.472282064008922,31.472282064008922,0.9999999999999961,1.0,,
预处理,VisualCogA_Task-2,left_minus_right_ERP,F3,75.65921921738295,75.65921921738295,0.9999999999999983,1.0,,
预处理,VisualCogA_Task-2,left_minus_right_ERP,F4,39.89855380357737,39.89855380357737,0.9999999999999968,0.9999999999999999,,
预处理,VisualCogA_Task-2,F3_minus_F4,left,16.967982284912615,16.967982284912615,0.9999999999999928,1.0,-16.958189498421476,-16.958189498421476
预处理,VisualCogA_Task-2,F3_minus_F4,right,18.973398468303834,18.973398468303834,0.9999999999999934,0.9999999999999999,18.67696068746328,18.67696068746328
V7,VisualCogA_Task-2,left_minus_right_ERP,Fz,31.472282064008922,30.411761325408406,0.9663030238339969,0.9871358335044085,,
V7,VisualCogA_Task-2,left_minus_right_ERP,F3,75.65921921738295,71.97725428047528,0.9513348806002238,0.9968171322613124,,
V7,VisualCogA_Task-2,left_minus_right_ERP,F4,39.89855380357737,37.46934101354703,0.9391152671350044,0.9907173393010874,,
V7,VisualCogA_Task-2,F3_minus_F4,left,16.967982284912615,16.45495057264165,0.9697647190068523,0.8883085707488878,-16.958189498421476,-16.449142338823954
V7,VisualCogA_Task-2,F3_minus_F4,right,18.973398468303834,18.254575650683805,0.9621141769187538,0.9994757912758258,18.67696068746328,17.959427506809774
预处理,VisualCogB_Task-1,left_minus_right_ERP,Fz,20.19503267155435,20.19503267155435,0.9999999999999939,1.0,,
预处理,VisualCogB_Task-1,left_minus_right_ERP,F3,21.315001264643282,21.315001264643282,0.9999999999999942,1.0,,
预处理,VisualCogB_Task-1,left_minus_right_ERP,F4,48.4900140498989,48.4900140498989,0.9999999999999973,1.0,,
预处理,VisualCogB_Task-1,F3_minus_F4,left,32.75135974873273,32.75135974873273,0.9999999999999961,1.0,-32.71069565559577,-32.71069565559577
预处理,VisualCogB_Task-1,F3_minus_F4,right,5.861638945099924,5.861638945099924,0.9999999999999788,1.0,-0.07328523320838871,-0.07328523320838871
V7,VisualCogB_Task-1,left_minus_right_ERP,Fz,20.19503267155435,19.271571983246474,0.9542728797062691,0.9954381529626105,,
V7,VisualCogB_Task-1,left_minus_right_ERP,F3,21.315001264643282,19.536006060959583,0.916537879515177,0.9994348642323571,,
V7,VisualCogB_Task-1,left_minus_right_ERP,F4,48.4900140498989,46.32865005923679,0.955426616531023,0.9996908506701055,,
V7,VisualCogB_Task-1,F3_minus_F4,left,32.75135974873273,31.58948547330387,0.9645243958008816,0.9972264195560104,-32.71069565559577,-31.55632202112232
V7,VisualCogB_Task-1,F3_minus_F4,right,5.861638945099924,5.127433248848055,0.8747439575981149,0.9994701549685738,-0.07328523320838871,-0.1806772607550063
预处理,VisualCogB_Task-2,left_minus_right_ERP,Fz,19.93035034163431,19.93035034163431,0.9999999999999938,1.0,,
预处理,VisualCogB_Task-2,left_minus_right_ERP,F3,41.73684828464967,41.73684828464967,0.999999999999997,1.0,,
预处理,VisualCogB_Task-2,left_minus_right_ERP,F4,45.44872338175096,45.44872338175096,0.9999999999999972,1.0,,
预处理,VisualCogB_Task-2,F3_minus_F4,left,23.17029353093848,23.17029353093848,0.9999999999999947,1.0,-22.90725455512043,-22.90725455512043
预处理,VisualCogB_Task-2,F3_minus_F4,right,26.88232964505076,26.88232964505076,0.9999999999999954,1.0,-26.237982458166464,-26.237982458166464
