dataset,stage,channel,first_left_n,first_right_n,second_left_n,second_right_n,contrast_correlation,second_first_norm_ratio
VisualCogA_Task-1,预处理,三通道合并,26,19,21,24,-0.38527738421991575,0.17771497324463478
VisualCogA_Task-1,预处理,Fz,26,19,21,24,-0.5870983307805396,0.20313282920364334
VisualCogA_Task-1,预处理,F3,26,19,21,24,0.6953697886483748,0.0209142753842711
VisualCogA_Task-1,预处理,F4,26,19,21,24,-0.9058960759364311,0.2534814374203009
VisualCogA_Task-1,V3,三通道合并,26,19,21,24,0.5989786990434008,0.532554282078231
VisualCogA_Task-1,V3,Fz,26,19,21,24,-0.408247604701515,0.35379132346462483
VisualCogA_Task-1,V3,F3,26,19,21,24,0.15249612759898776,0.9336779330182565
VisualCogA_Task-1,V3,F4,26,19,21,24,-0.38708692836659575,0.2831763295994223
VisualCogA_Task-1,V4,三通道合并,26,19,21,24,-0.2839265271580325,0.309305965398949
VisualCogA_Task-1,V4,Fz,26,19,21,24,-0.5126707538691618,0.33663193384646406
VisualCogA_Task-1,V4,F3,26,19,21,24,0.7449952045896471,0.11359577151465808
VisualCogA_Task-1,V4,F4,26,19,21,24,0.058897111395609825,0.3962810969918349
VisualCogA_Task-1,V6,三通道合并,26,19,21,24,-0.3717104848070515,0.18514565922287246
VisualCogA_Task-1,V6,Fz,26,19,21,24,-0.5808376620131473,0.21945072706614263
VisualCogA_Task-1,V6,F3,26,19,21,24,0.7215129925614727,0.025671325586021313
VisualCogA_Task-1,V6,F4,26,19,21,24,-0.8916257566085981,0.2622966291060418
VisualCogA_Task-1,V7,三通道合并,26,19,21,24,-0.3217897312854882,0.1774557421669223
VisualCogA_Task-1,V7,Fz,26,19,21,24,-0.5775486642308978,0.22595829681461507
VisualCogA_Task-1,V7,F3,26,19,21,24,0.753520905339173,0.037299683916588396
VisualCogA_Task-1,V7,F4,26,19,21,24,-0.8845219054269641,0.24973408041900536
VisualCogA_Task-2,预处理,三通道合并,27,20,26,22,0.7802627346336394,1.8135348103848064
VisualCogA_Task-2,预处理,Fz,27,20,26,22,-0.4374973413417602,4.900847046808123
VisualCogA_Task-2,预处理,F3,27,20,26,22,0.7837032949090452,1.6786196364607382
VisualCogA_Task-2,预处理,F4,27,20,26,22,0.11454501758515807,1.5579734952705449
VisualCogA_Task-2,V3,三通道合并,27,20,26,22,0.10738416575800695,0.6267536384884693
