dataset,metric,stage,mean,paired_rows,valid_rows,total_rows
VisualCogA_Task-1,MAE,预处理,19.66912176275617,6,6,6
VisualCogA_Task-1,MAE,V7,17.70084205341207,6,6,6
VisualCogA_Task-1,RMSE,预处理,20.030657092506523,6,6,6
VisualCogA_Task-1,RMSE,V7,18.043203627624866,6,6,6
VisualCogA_Task-1,corr,预处理,0.6663958442810747,6,6,6
VisualCogA_Task-1,corr,V7,0.6745961432921815,6,6,6
VisualCogA_Task-1,shape_distance,预处理,0.6065807231027401,6,6,6
VisualCogA_Task-1,shape_distance,V7,0.6061385778912868,6,6,6
VisualCogA_Task-1,baseline_RMS,预处理,14.122958294174225,6,6,6
VisualCogA_Task-1,baseline_RMS,V7,13.4631372682556,6,6,6
VisualCogA_Task-1,trial_PTP_median,预处理,104.41482438942519,6,6,6
VisualCogA_Task-1,trial_PTP_median,V7,100.15208904612471,6,6,6
VisualCogA_Task-1,SNR_proxy_dB,预处理,-14.216732593324435,6,6,6
VisualCogA_Task-1,SNR_proxy_dB,V7,-13.999388244218864,6,6,6
VisualCogA_Task-1,edge_band_ratio,预处理,0.40819341083074895,6,6,6
VisualCogA_Task-1,edge_band_ratio,V7,0.38377443500013936,6,6,6
VisualCogA_Task-1,amp_error,预处理,11.586944411757226,4,4,6
VisualCogA_Task-1,amp_error,V7,10.590847240318919,4,4,6
VisualCogA_Task-1,P300_positive_mean,预处理,8.55947830823529,6,6,6
VisualCogA_Task-1,P300_positive_mean,V7,7.93910094723109,6,6,6
VisualCogA_Task-1,P300_positive_mean_error,预处理,7.475916702733247,6,6,6
VisualCogA_Task-1,P300_positive_mean_error,V7,6.808063295808296,6,6,6
VisualCogA_Task-1,P300_amp,预处理,16.893883149686864,4,4,6
VisualCogA_Task-1,P300_amp,V7,16.01983018374721,4,4,6
VisualCogA_Task-1,latency_error_ms,预处理,10.7421875,4,4,6
VisualCogA_Task-1,latency_error_ms,V7,10.7421875,4,4,6
VisualCogA_Task-1,P300_AUC_unit_ms,预处理,2146.969626466806,6,6,6
VisualCogA_Task-1,P300_AUC_unit_ms,V7,1991.8612411197028,6,6,6
VisualCogA_Task-1,P300_AUC_error_unit_ms,预处理,1874.744414703642,6,6,6
VisualCogA_Task-1,P300_AUC_error_unit_ms,V7,1707.7030848554568,6,6,6
VisualCogA_Task-1,P300_lat_ms,预处理,349.609375,4,4,6
VisualCogA_Task-1,P300_lat_ms,V7,349.609375,4,4,6
VisualCogA_Task-2,MAE,预处理,47.60337115807547,6,6,6
VisualCogA_Task-2,MAE,V7,43.6842477180852,6,6,6
VisualCogA_Task-2,RMSE,预处理,48.206362601719796,6,6,6
VisualCogA_Task-2,RMSE,V7,44.278968649533546,6,6,6
VisualCogA_Task-2,corr,预处理,0.6011053901864755,6,6,6
VisualCogA_Task-2,corr,V7,0.6066759501307014,6,6,6
VisualCogA_Task-2,shape_distance,预处理,0.6845417674104591,6,6,6
VisualCogA_Task-2,shape_distance,V7,0.681068904664806,6,6,6
VisualCogA_Task-2,baseline_RMS,预处理,21.26112946521175,6,6,6
VisualCogA_Task-2,baseline_RMS,V7,20.57756670411147,6,6,6
VisualCogA_Task-2,trial_PTP_median,预处理,254.67971047684526,6,6,6
VisualCogA_Task-2,trial_PTP_median,V7,249.60469877406717,6,6,6
VisualCogA_Task-2,SNR_proxy_dB,预处理,-9.35228101104063,6,6,6
VisualCogA_Task-2,SNR_proxy_dB,V7,-9.325554333556271,6,6,6
VisualCogA_Task-2,edge_band_ratio,预处理,0.4943499794841313,6,6,6
VisualCogA_Task-2,edge_band_ratio,V7,0.48335672684540426,6,6,6
VisualCogA_Task-2,amp_error,预处理,56.52857781124368,6,6,6
VisualCogA_Task-2,amp_error,V7,51.581558808806186,6,6,6
VisualCogA_Task-2,P300_positive_mean,预处理,52.97502420621993,6,6,6
VisualCogA_Task-2,P300_positive_mean,V7,49.055900766229655,6,6,6
VisualCogA_Task-2,P300_positive_mean_error,预处理,46.686490172959815,6,6,6
VisualCogA_Task-2,P300_positive_mean_error,V7,42.76736673296955,6,6,6
VisualCogA_Task-2,P300_amp,预处理,70.71914474849909,6,6,6
VisualCogA_Task-2,P300_amp,V7,65.77212574606159,6,6,6
VisualCogA_Task-2,latency_error_ms,预处理,13.671875,6,6,6
VisualCogA_Task-2,latency_error_ms,V7,13.671875,6,6,6
VisualCogA_Task-2,P300_AUC_unit_ms,预处理,13243.634786804623,6,6,6
VisualCogA_Task-2,P300_AUC_unit_ms,V7,12264.297759647807,6,6,6
VisualCogA_Task-2,P300_AUC_error_unit_ms,预处理,11675.02067442785,6,6,6
VisualCogA_Task-2,P300_AUC_error_unit_ms,V7,10695.683647271035,6,6,6
VisualCogA_Task-2,P300_lat_ms,预处理,500.0,6,6,6
VisualCogA_Task-2,P300_lat_ms,V7,500.0,6,6,6
VisualCogB_Task-1,MAE,预处理,14.973006443053258,6,6,6
VisualCogB_Task-1,MAE,V7,14.157900248769407,6,6,6
VisualCogB_Task-1,RMSE,预处理,15.423730975740668,6,6,6
VisualCogB_Task-1,RMSE,V7,14.616946680988328,6,6,6
VisualCogB_Task-1,corr,预处理,0.5952652949321037,6,6,6
VisualCogB_Task-1,corr,V7,0.6015860404575832,6,6,6
VisualCogB_Task-1,shape_distance,预处理,0.6781329022965606,6,6,6
VisualCogB_Task-1,shape_distance,V7,0.6714167946244657,6,6,6
VisualCogB_Task-1,baseline_RMS,预处理,20.42492568858043,6,6,6
VisualCogB_Task-1,baseline_RMS,V7,19.660145320795642,6,6,6
VisualCogB_Task-1,trial_PTP_median,预处理,158.6363872548753,6,6,6
VisualCogB_Task-1,trial_PTP_median,V7,158.42932086319544,6,6,6
VisualCogB_Task-1,SNR_proxy_dB,预处理,-22.665994179619492,6,6,6
VisualCogB_Task-1,SNR_proxy_dB,V7,-22.563442445300865,6,6,6
VisualCogB_Task-1,edge_band_ratio,预处理,0.45220880979322103,6,6,6
VisualCogB_Task-1,edge_band_ratio,V7,0.4389255800310368,6,6,6
VisualCogB_Task-1,amp_error,预处理,15.249128306322229,5,5,6
VisualCogB_Task-1,amp_error,V7,14.29925148085997,5,5,6
VisualCogB_Task-1,P300_positive_mean,预处理,11.76560343058758,6,6,6
VisualCogB_Task-1,P300_positive_mean,V7,11.420907359489108,6,6,6
VisualCogB_Task-1,P300_positive_mean_error,预处理,11.66670328841883,6,6,6
VisualCogB_Task-1,P300_positive_mean_error,V7,11.217993863546958,6,6,6
VisualCogB_Task-1,P300_amp,预处理,19.949298316709992,5,5,6
VisualCogB_Task-1,P300_amp,V7,19.61645792627395,5,5,6
VisualCogB_Task-1,latency_error_ms,预处理,68.75,5,5,6
VisualCogB_Task-1,latency_error_ms,V7,68.75,5,5,6
VisualCogB_Task-1,P300_AUC_unit_ms,预处理,2943.5973378407434,6,6,6
VisualCogB_Task-1,P300_AUC_unit_ms,V7,2857.501807642048,6,6,6
VisualCogB_Task-1,P300_AUC_error_unit_ms,预处理,2920.378707285323,6,6,6
VisualCogB_Task-1,P300_AUC_error_unit_ms,V7,2807.8735364801,6,6,6
