dataset,features,BA_low,BA_high,AUC_low,AUC_high
A1,mechanism_minus_spatial,-0.07729468599033817,-0.014285714285714346,,
A1,spatial_minus_peak,-0.13425925925925924,0.05829228243021345,,
A1,residual_minus_past,-0.24126354489164084,-0.08410428931875524,,
A2,mechanism_minus_spatial,-0.14814814814814814,0.01666666666666672,,
A2,spatial_minus_peak,-0.03302611367127495,0.22172619047619052,,
A2,residual_minus_past,-0.10118467871798865,0.08333333333333326,,
B1,mechanism_minus_spatial,-0.04577157802964249,0.0756410256410257,,
B1,spatial_minus_peak,-0.16038439223834172,0.016289716226048835,,
B1,residual_minus_past,-0.059179869524697115,0.13235294117647056,,
B2,mechanism_minus_spatial,-0.04999999999999999,0.013781223083548677,,
B2,spatial_minus_peak,0.0,0.06559139784946239,,
B2,residual_minus_past,-0.19417862838915467,0.10131332082551597,,
pooled,mechanism_minus_spatial,-0.048933248724925146,0.0025799489338929065,,
pooled,spatial_minus_peak,-0.04430958160788227,0.043778448577541464,,
pooled,residual_minus_past,-0.09468348979309801,0.01154006869692212,,
