dataset,held_block,parameter,factor,eigenmax,delta_MSE,zero_MSE,S_delta,delta_change_RMS
A1,0,time_scale,0.8,-5.5555555555555545,2508.8642065853583,2559.007773141218,0.019594925455934775,0.14707103579667094
A1,0,time_scale,1.2,-3.7037037037037033,2506.826906022144,2559.007773141218,0.020391054559018018,0.11044105946354041
A1,0,recurrence,0.8,-4.444444444444444,2507.1379982759886,2559.007773141218,0.02026948702916931,3.1667018452914865e-17
A1,0,recurrence,1.2,-4.444444444444444,2507.1379982759886,2559.007773141218,0.02026948702916931,3.1667018452914865e-17
A1,0,F4_readout,0.8,,2510.7176493199445,2559.007773141218,0.01887064366435931,0.06532876062167525
A1,0,F4_readout,1.2,,2503.571523899486,2559.007773141218,0.021663181262510767,0.06532876062167527
A1,1,time_scale,0.8,-4.166666666666666,284.9213403260665,268.83902269041573,-0.059821366238823614,1.7596757851689018
A1,1,time_scale,1.2,-2.777777777777778,254.52821340421073,268.83902269041573,0.053231890009824756,1.2534416496432792
A1,1,recurrence,0.8,-3.333333333333333,265.35843234256754,268.83902269041573,0.01294674527907469,6.527124410379426e-16
A1,1,recurrence,1.2,-3.333333333333333,265.35843234256754,268.83902269041573,0.01294674527907469,6.527124410379426e-16
A1,1,F4_readout,0.8,,279.6837443731867,268.83902269041573,-0.04033909056148932,0.6355101565027591
A1,1,F4_readout,1.2,,252.22566147567008,268.83902269041573,0.06179668802723237,0.6355101565027591
A1,2,time_scale,0.8,-3.333333333333333,23941.897349369076,28857.646356760688,0.17034476570331814,3.5479806207432376
A1,2,time_scale,1.2,-2.222222222222222,24990.505994228766,28857.646356760688,0.13400747637985866,2.4239549335063884
A1,2,recurrence,0.8,-2.6666666666666665,24416.12266015746,28857.646356760688,0.1539115020571551,0.05947229973120491
A1,2,recurrence,1.2,-2.6666666666666665,24397.581313586747,28857.646356760688,0.15455401275749048,0.0526262690565949
A1,2,F4_readout,0.8,,24674.65874497932,28857.646356760688,0.14495248711790354,1.4912580120227938
A1,2,F4_readout,1.2,,24140.95441568385,28857.646356760688,0.1634468689083448,1.4912580120227936
A1,3,time_scale,0.8,-3.333333333333333,3828.5770752048206,1532.4332175004602,-1.4983647127211084,5.716142211307022
A1,3,time_scale,1.2,-2.222222222222222,3291.7976419661427,1532.4332175004602,-1.1480855442009852,3.9390217213515912
A1,3,recurrence,0.8,-2.6666666666666665,3568.7588550834757,1532.4332175004602,-1.3288185183720111,1.2914713660722695e-16
A1,3,recurrence,1.2,-2.6666666666666665,3568.7588550834757,1532.4332175004602,-1.3288185183720111,1.2914713660722695e-16
A1,3,F4_readout,0.8,,3380.6395105196984,1532.4332175004602,-1.206059926078758,2.302765616306119
A1,3,F4_readout,1.2,,3771.9481111723303,1532.4332175004602,-1.461411086693047,2.302765616306119
A1,4,time_scale,0.8,-5.5555555555555545,10768.768531726402,10854.09266628323,0.007861010328562568,0.13898946164537487
A1,4,time_scale,1.2,-3.7037037037037033,10761.589922617803,10854.09266628323,0.008522383814980161,0.10447776289890834
A1,4,recurrence,0.8,-4.444444444444444,10764.122170870209,10854.09266628323,0.00828908488062774,2.911612569314238e-17
A1,4,recurrence,1.2,-4.444444444444444,10764.122170870209,10854.09266628323,0.00828908488062774,2.911612569314238e-17
A1,4,F4_readout,0.8,,10769.187790623519,10854.09266628323,0.007822383525751264,0.06785591169896818
A1,4,F4_readout,1.2,,10759.070783262867,10854.09266628323,0.00875447501158122,0.06785591169896818
A2,0,time_scale,0.8,-3.333333333333333,1293.5474658428623,2688.4530332100617,0.5188506364575233,8.52063692864002
A2,0,time_scale,1.2,-2.222222222222222,1790.3760252451812,2688.4530332100617,0.3340497292945305,5.9192496009340365
A2,0,recurrence,0.8,-2.6666666666666665,1544.3549491428223,2688.4530332100617,0.42556000418618645,0.18776036470044694
A2,0,recurrence,1.2,-2.6666666666666665,1530.8040716140588,2688.4530332100617,0.43060040376221453,0.16829560443133307
A2,0,F4_readout,0.8,,1545.5830230531676,2688.4530332100617,0.42510320843964555,1.1382294369495567
A2,0,F4_readout,1.2,,1532.5917313058844,2688.4530332100617,0.4299354638619287,1.1382294369495574
A2,1,time_scale,0.8,-3.333333333333333,1279.9720050028739,2545.648747603496,0.4971922162443445,6.986218571919925
A2,1,time_scale,1.2,-2.222222222222222,1204.5845110278694,2545.648747603496,0.5268064723533128,4.7535626179662165
A2,1,recurrence,0.8,-2.6666666666666665,1138.0577967304569,2545.648747603496,0.5529399734343404,0.14694630132060132
A2,1,recurrence,1.2,-2.6666666666666665,1126.8636413397767,2545.648747603496,0.5573373418463095,0.1286180933621315
A2,1,F4_readout,0.8,,1159.1405190728663,2545.648747603496,0.5446581072254784,1.3803600126355495
A2,1,F4_readout,1.2,,1110.0204907668315,2545.648747603496,0.5639537890638613,1.3803600126355497
A2,2,time_scale,0.8,-3.333333333333333,17072.93819734453,6565.988739409149,-1.6002082664066317,15.119439143420681
A2,2,time_scale,1.2,-2.222222222222222,13589.783782655455,6565.988739409149,-1.0697238941470304,10.387107006595093
A2,2,recurrence,0.8,-2.6666666666666665,15345.601230372638,6565.988739409149,-1.3371348687012121,0.3156453138259861
A2,2,recurrence,1.2,-2.6666666666666665,15488.58072785961,6565.988739409149,-1.358910644317275,0.2753833587834669
A2,2,F4_readout,0.8,,15092.493013156769,6565.988739409149,-1.2985864904963105,2.9437401230257536
A2,2,F4_readout,1.2,,15776.360424691737,6565.988739409149,-1.4027394884188298,2.9437401230257536
A2,3,time_scale,0.8,-3.333333333333333,1420.79095816635,1417.9864907726976,-0.0019777814611789957,8.37877688326453
A2,3,time_scale,1.2,-2.222222222222222,685.9160331250578,1417.9864907726976,0.5162746347806992,5.690642310148109
A2,3,recurrence,0.8,-2.6666666666666665,880.6641586532002,1417.9864907726976,0.37893332243715283,0.17018440122865305
A2,3,recurrence,1.2,-2.6666666666666665,877.2619291903474,1417.9864907726976,0.3813326608546852,0.1483390738932521
A2,3,F4_readout,0.8,,874.6929241288548,1417.9864907726976,0.38314438831345143,1.6235447698635443
A2,3,F4_readout,1.2,,890.6860835773141,1417.9864907726976,0.3718656070609275,1.6235447698635443
A2,4,time_scale,0.8,-3.333333333333333,19388.62527344171,22184.134202505567,0.1260138846774611,3.158872133136073
A2,4,time_scale,1.2,-2.222222222222222,19691.06315420056,22184.134202505567,0.11238081349252871,2.1356022814653817
A2,4,recurrence,0.8,-2.6666666666666665,19427.692756807435,22184.134202505567,0.1242528295463885,0.06636133142517264
A2,4,recurrence,1.2,-2.6666666666666665,19402.470802300424,22184.134202505567,0.12538976616409803,0.05926495642539583
A2,4,F4_readout,0.8,,19490.672771761725,22184.134202505567,0.12141386299581758,0.880452846036219
A2,4,F4_readout,1.2,,19338.90751043866,22184.134202505567,0.1282550252398651,0.880452846036219
B1,0,time_scale,0.8,-3.333333333333333,2764.961669313046,2770.930344855604,0.00215403305017714,0.10423331205822242
B1,0,time_scale,1.2,-2.222222222222222,2765.553742073364,2770.930344855604,0.0019403601365229894,0.07278726857538467
B1,0,recurrence,0.8,-2.6666666666666665,2765.0843641488796,2770.930344855604,0.0021097537574619185,0.002103772206075647
B1,0,recurrence,1.2,-2.6666666666666665,2765.0543012191006,2770.930344855604,0.0021206031567745365,0.0021873932736955265
B1,0,F4_readout,0.8,,2770.2155087222654,2770.930344855604,0.00025797694072882127,0.06516266132810533
B1,0,F4_readout,1.2,,2759.9292532279264,2770.930344855604,0.003970179780268257,0.06516266132810535
B1,1,time_scale,0.8,-3.333333333333333,10454.84542462238,9630.662345723884,-0.08557906500215329,1.4257305890731107
B1,1,time_scale,1.2,-2.222222222222222,10362.81350142668,9630.662345723884,-0.07602292858163384,0.9892045959794225
B1,1,recurrence,0.8,-2.6666666666666665,10426.214226549011,9630.662345723884,-0.08260614402895783,0.026274015735472972
B1,1,recurrence,1.2,-2.6666666666666665,10428.431130409766,9630.662345723884,-0.08283633628169929,0.02648053437555162
B1,1,F4_readout,0.8,,10385.711931910415,9630.662345723884,-0.07840058752779155,0.8886657122519566
B1,1,F4_readout,1.2,,10472.08208617097,9630.662345723884,-0.08736883406785467,0.8886657122519567
B1,2,time_scale,0.8,-5.5555555555555545,31587.85338413673,31569.005626307964,-0.0005970336237977047,0.03930990516875982
B1,2,time_scale,1.2,-3.7037037037037033,31589.800560703097,31569.005626307964,-0.0006587136332796284,0.0296014853113803
B1,2,recurrence,0.8,-4.444444444444444,31589.12382751129,31569.005626307964,-0.0006372770001523698,0.0010475196624998907
B1,2,recurrence,1.2,-4.444444444444444,31588.981076014912,31569.005626307964,-0.000632755112511374,0.0012263731446717095
B1,2,F4_readout,0.8,,31587.732864918402,31569.005626307964,-0.0005932159800063896,0.005459030919753629
B1,2,F4_readout,1.2,,31590.406738775066,31569.005626307964,-0.000677915317334854,0.005459030919753628
B1,3,time_scale,0.8,-5.5555555555555545,3239.3173072932914,3217.1279041620405,-0.006897271041833353,0.09557601872039656
B1,3,time_scale,1.2,-3.7037037037037033,3240.1197236067396,3217.1279041620405,-0.007146691126254101,0.07186493640593562
B1,3,recurrence,0.8,-4.444444444444444,3239.983752115295,3217.1279041620405,-0.007104426256626439,0.002444229354584583
B1,3,recurrence,1.2,-4.444444444444444,3239.838179208275,3217.1279041620405,-0.0070591769189076725,0.0028893570458747016
B1,3,F4_readout,0.8,,3235.45715941724,3217.1279041620405,-0.005697397119799552,0.08113370154655243
B1,3,F4_readout,1.2,,3244.4249948027486,3217.1279041620405,-0.008484925515517494,0.08113370154655243
B1,4,time_scale,0.8,-5.5555555555555545,384.58386421913764,380.91892328868016,-0.009621314947590554,0.09087698437944698
B1,4,time_scale,1.2,-3.7037037037037033,383.2777696539052,380.91892328868016,-0.006192515574862556,0.06840461973869677
B1,4,recurrence,0.8,-4.444444444444444,383.9483470833548,380.91892328868016,-0.007952935938493111,0.0025700145622781726
B1,4,recurrence,1.2,-4.444444444444444,383.9032186192358,380.91892328868016,-0.007834463315160578,0.0030103943821697156
B1,4,F4_readout,0.8,,383.46352319590125,380.91892328868016,-0.006680161450767885,0.07360418437264273
B1,4,F4_readout,1.2,,384.40939290148617,380.91892328868016,-0.009163287511869678,0.07360418437264274
B2,0,time_scale,0.8,-3.333333333333333,17702.469175520455,1849.7114604149422,-8.570394926108797,25.3302532526045
B2,0,time_scale,1.2,-2.222222222222222,11104.084171420793,1849.7114604149422,-5.003143954641355,17.31304682712236
B2,0,recurrence,0.8,-2.6666666666666665,14118.312087403965,1849.7114604149422,-6.632710500824183,0.3312050355912993
B2,0,recurrence,1.2,-2.6666666666666665,14277.228352560853,1849.7114604149422,-6.71862458448415,0.31900857763365376
B2,0,F4_readout,0.8,,12727.855223102379,1849.7114604149422,-5.880994952719363,9.245987710443135
B2,0,F4_readout,1.2,,15905.294234930907,1849.7114604149422,-7.598797474803396,9.245987710443137
