dataset,held_block,intervention,full_delta_MSE,delta_MSE,zero_MSE,S_delta
A1,0,no_shape,2507.1379982759886,2559.007773141218,2559.007773141218,0.0
A1,0,no_recurrence,2507.1379982759886,2507.1379982759886,2559.007773141218,0.02026948702916931
A1,0,symmetric_readout,2507.1379982759886,2507.9028442047656,2559.007773141218,0.01997060324428801
A1,1,no_shape,265.3584323425675,268.83902269041573,268.83902269041573,0.0
A1,1,no_recurrence,265.3584323425675,265.35843234256754,268.83902269041573,0.01294674527907469
A1,1,symmetric_readout,265.3584323425675,208.8758091293082,268.83902269041573,0.22304505112771056
A1,2,no_shape,24404.65886416219,28857.646356760688,28857.646356760688,0.0
A1,2,no_recurrence,24404.65886416219,24497.39320107656,28857.646356760688,0.15109524532178698
A1,2,symmetric_readout,24404.65886416219,24535.6974775321,28857.646356760688,0.1497678925646705
A1,3,no_shape,3568.7588550834757,1532.4332175004602,1532.4332175004602,0.0
A1,3,no_recurrence,3568.7588550834757,3568.7588550834757,1532.4332175004602,-1.3288185183720111
A1,3,symmetric_readout,3568.7588550834757,3561.150521229551,1532.4332175004602,-1.3238536469720459
A1,4,no_shape,10764.122170870209,10854.09266628323,10854.09266628323,0.0
A1,4,no_recurrence,10764.122170870209,10764.122170870209,10854.09266628323,0.00828908488062774
A1,4,symmetric_readout,10764.122170870209,10768.273285051984,10854.09266628323,0.007906637972405761
A2,0,no_shape,1537.3162563458725,2688.4530332100617,2688.4530332100617,0.0
A2,0,no_recurrence,1537.3162563458725,1576.721782852939,2688.4530332100617,0.41352080048417117
A2,0,symmetric_readout,1537.3162563458725,1624.2714963425235,2688.4530332100617,0.3958341558219026
A2,1,no_shape,1131.9763632398488,2545.648747603496,2545.648747603496,0.0
A2,1,no_recurrence,1131.9763632398488,1170.2483288030753,2545.648747603496,0.54029465773518
A2,1,symmetric_readout,1131.9763632398488,1351.056053791838,2545.648747603496,0.4692684703403255
A2,2,no_shape,15422.68160004727,6565.988739409149,6565.988739409149,0.0
A2,2,no_recurrence,15422.68160004727,14955.135560632521,6565.988739409149,-1.2776669522552795
A2,2,symmetric_readout,15422.68160004727,14228.097123690073,6565.988739409149,-1.1669390077221502
A2,3,no_shape,879.0317069067181,1417.9864907726976,1417.9864907726976,0.0
A2,3,no_recurrence,879.0317069067181,886.5585357493928,1417.9864907726976,0.3747764583664799
A2,3,symmetric_readout,879.0317069067181,967.8609779521312,1417.9864907726976,0.317439916211953
A2,4,no_shape,19413.70328381905,22184.134202505567,22184.134202505567,0.0
A2,4,no_recurrence,19413.70328381905,19505.08636861071,22184.134202505567,0.1207641375335835
A2,4,symmetric_readout,19413.70328381905,19722.09034343158,22184.134202505567,0.11098219279596289
B1,0,no_shape,2765.0662773258305,2770.930344855604,2770.930344855604,0.0
B1,0,no_recurrence,2765.0662773258305,2765.205738966852,2770.930344855604,0.0020659508454912157
B1,0,symmetric_readout,2765.0662773258305,2765.5759137696245,2770.930344855604,0.0019323586014784455
B1,1,no_shape,10427.767192207195,9630.662345723884,9630.662345723884,0.0
B1,1,no_recurrence,10427.767192207195,10412.767637489354,9630.662345723884,-0.08120991720914539
B1,1,symmetric_readout,10427.767192207195,10521.420060271328,9630.662345723884,-0.09249184350679163
B1,2,no_shape,31589.069754217187,31569.005626307964,31569.005626307964,0.0
B1,2,no_recurrence,31589.069754217187,31589.058460120083,31569.005626307964,-0.0006352063808878761
B1,2,symmetric_readout,31589.069754217187,31602.722311272777,31569.005626307964,-0.0010680312634463451
B1,3,no_shape,3239.9309803388455,3217.1279041620405,3217.1279041620405,0.0
B1,3,no_recurrence,3239.9309803388455,3239.869660384533,3217.1279041620405,-0.007068962409940482
B1,3,symmetric_readout,3239.9309803388455,3236.6477672135825,3217.1279041620405,-0.006067481192242541
B1,4,no_shape,383.9281328561796,380.91892328868016,380.91892328868016,0.0
B1,4,no_recurrence,383.9281328561796,383.988731125844,380.91892328868016,-0.008058953361152366
B1,4,symmetric_readout,383.9281328561796,389.0584100814683,380.91892328868016,-0.02136802950747496
B2,0,no_shape,14199.341043592547,1849.7114604149422,1849.7114604149422,0.0
B2,0,no_recurrence,14199.341043592547,13768.399373703205,1849.7114604149422,-6.44353898884022
B2,0,symmetric_readout,14199.341043592547,14203.704513564466,1849.7114604149422,-6.678875769293324
B2,1,no_shape,8841.931007958954,14810.067520858538,14810.067520858538,0.0
B2,1,no_recurrence,8841.931007958954,8992.347981750838,14810.067520858538,0.3928219456740497
B2,1,symmetric_readout,8841.931007958954,8686.511778953905,14810.067520858538,0.413472506676975
B2,2,no_shape,3038.1478143108147,8589.549533551812,8589.549533551812,0.0
B2,2,no_recurrence,3038.1478143108147,3098.0895186701964,8589.549533551812,0.6393187434837314
B2,2,symmetric_readout,3038.1478143108147,2838.487008253122,8589.549533551812,0.6695418080813609
B2,3,no_shape,13285.799583569044,25123.256124791136,25123.256124791136,0.0
B2,3,no_recurrence,13285.799583569044,13615.310319184326,25123.256124791136,0.4580594867339268
B2,3,symmetric_readout,13285.799583569044,12727.313027312883,25123.256124791136,0.4934051157981142
B2,4,no_shape,1683.3712828914922,4815.052683106518,4815.052683106518,0.0
B2,4,no_recurrence,1683.3712828914922,1648.8425773155093,4815.052683106518,0.6575649975543509
B2,4,symmetric_readout,1683.3712828914922,1449.4876992872753,4815.052683106518,0.6989674268003829
