dataset,block,n,left,right,start,end
A1,0,14,6,8,0,47511
A1,1,12,8,4,47511,90403
A1,2,13,7,6,90403,133255
A1,3,13,6,7,133255,176086
A1,4,15,5,10,176086,223845
A2,0,16,9,7,0,48707
A2,1,12,6,6,48707,92847
A2,2,13,7,6,92847,137084
A2,3,14,7,7,137084,181171
A2,4,15,12,3,181171,230157
B1,0,15,8,7,0,47236
B1,1,13,5,8,47236,90008
B1,2,13,5,8,90008,132743
B1,3,14,9,5,132743,175474
B1,4,14,8,6,175474,223005
B2,0,14,5,9,0,47907
B2,1,14,7,7,47907,91728
B2,2,11,6,5,91728,135404
B2,3,14,5,9,135404,179440
B2,4,16,9,7,179440,228330
