dataset,held_block,stage,population,channel,normalized_source_coefficient,role
A1,-1,1,left_preference,Fz,0.07568164059500684,all_data_descriptive
A1,-1,1,left_preference,F3,-0.41750522253814143,all_data_descriptive
A1,-1,1,left_preference,F4,-0.27186151134966574,all_data_descriptive
A1,-1,1,right_preference,Fz,-0.056892662189974574,all_data_descriptive
A1,-1,1,right_preference,F3,0.37504020016495004,all_data_descriptive
A1,-1,1,right_preference,F4,0.2516551708813159,all_data_descriptive
A1,-1,1,common,Fz,0.013061391909783907,all_data_descriptive
A1,-1,1,common,F3,-0.029597377043427926,all_data_descriptive
A1,-1,1,common,F4,-0.014037446977908078,all_data_descriptive
A1,-1,2,left_preference,Fz,0.1140977421294586,all_data_descriptive
A1,-1,2,left_preference,F3,-0.640712249907435,all_data_descriptive
A1,-1,2,left_preference,F4,-0.4073265835259267,all_data_descriptive
A1,-1,2,right_preference,Fz,-0.06264548437778708,all_data_descriptive
A1,-1,2,right_preference,F3,0.6005994635708946,all_data_descriptive
A1,-1,2,right_preference,F4,0.3876319825472531,all_data_descriptive
A1,-1,2,common,Fz,0.04110016823390411,all_data_descriptive
A1,-1,2,common,F3,-0.031882890011090646,all_data_descriptive
A1,-1,2,common,F4,-0.015576946915889548,all_data_descriptive
A1,-1,3,left_preference,Fz,0.14640140968349777,all_data_descriptive
A1,-1,3,left_preference,F3,-1.1424026146356405,all_data_descriptive
A1,-1,3,left_preference,F4,-0.7235901868142788,all_data_descriptive
A1,-1,3,right_preference,Fz,-0.11820862395458721,all_data_descriptive
A1,-1,3,right_preference,F3,0.9813081117163118,all_data_descriptive
A1,-1,3,right_preference,F4,0.572594929126794,all_data_descriptive
A1,-1,3,common,Fz,0.024804472957010482,all_data_descriptive
A1,-1,3,common,F3,-0.14152406347691196,all_data_descriptive
A1,-1,3,common,F4,-0.1326643098883722,all_data_descriptive
A1,0,1,left_preference,Fz,0.025513782494157974,outer_training_only
A1,0,1,left_preference,F3,-0.10848909262929464,outer_training_only
A1,0,1,left_preference,F4,-0.05368721884165133,outer_training_only
A1,0,1,right_preference,Fz,-0.01886754707018959,outer_training_only
A1,0,1,right_preference,F3,0.14149727142337504,outer_training_only
A1,0,1,right_preference,F4,0.10744769085636292,outer_training_only
A1,0,1,common,Fz,0.004604654647864673,outer_training_only
A1,0,1,common,F3,0.02289981599506416,outer_training_only
A1,0,1,common,F4,0.037316985547963526,outer_training_only
A1,0,2,left_preference,Fz,0.03834395627033333,outer_training_only
A1,0,2,left_preference,F3,-0.15604527927362444,outer_training_only
A1,0,2,left_preference,F4,-0.07839926649872912,outer_training_only
A1,0,2,right_preference,Fz,-0.02326625301175495,outer_training_only
A1,0,2,right_preference,F3,0.19958321951193964,outer_training_only
A1,0,2,right_preference,F4,0.14177382282460285,outer_training_only
A1,0,2,common,Fz,0.012006829441271771,outer_training_only
A1,0,2,common,F3,0.03467044901953461,outer_training_only
A1,0,2,common,F4,0.05046740071774567,outer_training_only
A1,0,3,left_preference,Fz,0.05433588140381415,outer_training_only
A1,0,3,left_preference,F3,-0.2757998917613742,outer_training_only
A1,0,3,left_preference,F4,-0.14213052236246704,outer_training_only
A1,0,3,right_preference,Fz,-0.038331865592580665,outer_training_only
A1,0,3,right_preference,F3,0.32287153532027807,outer_training_only
A1,0,3,right_preference,F4,0.21037874489223468,outer_training_only
A1,0,3,common,Fz,0.014168300577955878,outer_training_only
A1,0,3,common,F3,0.041622442468355884,outer_training_only
A1,0,3,common,F4,0.0603321515711509,outer_training_only
A1,1,1,left_preference,Fz,0.14994050331837058,outer_training_only
A1,1,1,left_preference,F3,-1.3475781173100005,outer_training_only
A1,1,1,left_preference,F4,-0.7201930670302923,outer_training_only
A1,1,1,right_preference,Fz,-0.1820145731760606,outer_training_only
A1,1,1,right_preference,F3,1.1614202653500134,outer_training_only
A1,1,1,right_preference,F4,0.6787735144701729,outer_training_only
A1,1,1,common,Fz,-0.02236052238120704,outer_training_only
A1,1,1,common,F3,-0.12960755469935073,outer_training_only
A1,1,1,common,F4,-0.028632403386565104,outer_training_only
A1,1,2,left_preference,Fz,0.2632061357527574,outer_training_only
A1,1,2,left_preference,F3,-2.0341708051911187,outer_training_only
A1,1,2,left_preference,F4,-1.0627609162069016,outer_training_only
A1,1,2,right_preference,Fz,-0.1984778075983611,outer_training_only
A1,1,2,right_preference,F3,1.8290047722602378,outer_training_only
A1,1,2,right_preference,F4,1.041905226970206,outer_training_only
A1,1,2,common,Fz,0.05167293475196126,outer_training_only
A1,1,2,common,F3,-0.16331623438807696,outer_training_only
A1,1,2,common,F4,-0.01630677517632108,outer_training_only
A1,1,3,left_preference,Fz,0.48327041921573394,outer_training_only
A1,1,3,left_preference,F3,-3.8128897657604286,outer_training_only
A1,1,3,left_preference,F4,-1.9506103798549639,outer_training_only
A1,1,3,right_preference,Fz,-0.39787684928785205,outer_training_only
A1,1,3,right_preference,F3,3.2180046672066145,outer_training_only
A1,1,3,right_preference,F4,1.6396489075695613,outer_training_only
A1,1,3,common,Fz,0.07516442258263932,outer_training_only
A1,1,3,common,F3,-0.5226309403670643,outer_training_only
A1,1,3,common,F4,-0.2731623425890945,outer_training_only
A1,2,1,left_preference,Fz,0.7971690853515261,outer_training_only
A1,2,1,left_preference,F3,-3.3201647882790684,outer_training_only
A1,2,1,left_preference,F4,-3.4998056203922676,outer_training_only
A1,2,1,right_preference,Fz,-0.3771362806478894,outer_training_only
A1,2,1,right_preference,F3,-0.04797015934040379,outer_training_only
A1,2,1,right_preference,F4,0.0015731542453324692,outer_training_only
A1,2,1,common,Fz,0.2762281542276121,outer_training_only
A1,2,1,common,F3,-2.2724903945904216,outer_training_only
A1,2,1,common,F4,-2.3594245543300274,outer_training_only
A1,2,2,left_preference,Fz,1.1551489050097157,outer_training_only
A1,2,2,left_preference,F3,-3.2178441960688695,outer_training_only
A1,2,2,left_preference,F4,-2.9942801065612104,outer_training_only
A1,2,2,right_preference,Fz,-0.06590939121057382,outer_training_only
A1,2,2,right_preference,F3,0.8278543997238781,outer_training_only
A1,2,2,right_preference,F4,0.45310758098132037,outer_training_only
A1,2,2,common,Fz,0.7894386031863705,outer_training_only
A1,2,2,common,F3,-1.7135696314874325,outer_training_only
A1,2,2,common,F4,-1.8204800871975944,outer_training_only
A1,2,3,left_preference,Fz,0.9514628332175603,outer_training_only
A1,2,3,left_preference,F3,-13.261648153192132,outer_training_only
A1,2,3,left_preference,F4,-11.863713497784936,outer_training_only
A1,2,3,right_preference,Fz,-0.07158158215385259,outer_training_only
A1,2,3,right_preference,F3,1.050933416722177,outer_training_only
A1,2,3,right_preference,F4,-1.3770874123807972,outer_training_only
A1,2,3,common,Fz,0.6925256312601489,outer_training_only
A1,2,3,common,F3,-9.503436721370258,outer_training_only
A1,2,3,common,F4,-10.306436866763072,outer_training_only
A1,3,1,left_preference,Fz,0.5743782797630025,outer_training_only
A1,3,1,left_preference,F3,-2.9878679125408163,outer_training_only
A1,3,1,left_preference,F4,-1.8424204352903641,outer_training_only
A1,3,1,right_preference,Fz,-0.5019816839185877,outer_training_only
A1,3,1,right_preference,F3,3.3423561511361246,outer_training_only
A1,3,1,right_preference,F4,2.3661467795993034,outer_training_only
A1,3,1,common,Fz,0.050124803582841854,outer_training_only
A1,3,1,common,F3,0.24819661622633107,outer_training_only
A1,3,1,common,F4,0.3667884124704939,outer_training_only
A1,3,2,left_preference,Fz,0.8184373229790031,outer_training_only
A1,3,2,left_preference,F3,-4.916808853404669,outer_training_only
