dataset,model,S_delta,S_low,S_high,delta_RMSE,positive_folds,RMSE,R2,Corr
A1,full,0.058131730101291246,-0.47429432419152207,0.14741842244179115,91.11535141866538,4,96.05619276932131,-0.1825188880735671,-0.534217187233753
A1,no_shape,0.0,0.0,0.0,93.88505635762915,0,100.43684188632068,-0.29283602352920357,-0.7287844821076432
A1,no_recurrence,0.062299692627757586,-0.47429432419152207,0.15345968366181673,90.91352572299141,4,95.72847058618048,-0.17446367446061894,-0.5191477601932567
A1,symmetric_readout,0.01195635696226327,-0.9278554760201687,0.14394064389311234,93.32210696799493,4,96.62987924013578,-0.1966860311386136,-0.49891342409323364
A1,gamma,0.026331164553295205,-0.7214848386458832,0.13229548993610463,92.64075933511474,3,94.28349751994479,-0.13927539306013093,-0.46139608892656303
A1,step,0.023978816689065874,-0.728250114150061,0.1297920101278276,92.75260014768938,3,94.21451287180909,-0.13760884987507405,-0.46466234322421923
A1,ramp,0.013171288237484147,-0.7208542188571316,0.11398680013860474,93.26471333836825,3,93.69184878152646,-0.12502187125823538,-0.4276838510431035
A1,zero,0.0,0.0,0.0,93.88505635762915,0,100.43642513732782,-0.2928252946575505,-0.729153169216774
A2,full,-0.08424609352424794,-1.045184126443734,0.47690412834827345,87.61815931684339,4,67.59529974009905,0.12833143158281923,0.416612159820393
A2,no_shape,0.0,0.0,0.0,84.14536376236182,0,65.72006165332652,0.17602447085455353,0.4538791349882187
A2,no_recurrence,-0.08630494037712033,-1.0607661880413182,0.4802106437520741,87.70130779127571,4,68.29003886464805,0.11032147161086059,0.40105569954056686
A2,symmetric_readout,-0.07036749107799056,-0.9020186572051354,0.4179366098202333,87.05558683416952,4,67.22264793225592,0.13791592875720848,0.42435665330777517
A2,gamma,-0.11109891943066619,-1.268286301851146,0.5251161242793726,88.69651472834448,4,59.39911497653368,0.32690194123213856,0.5840356663770209
A2,step,-0.12857773570936426,-1.2419558687355456,0.5117782645530748,89.39143960182943,4,68.49210984039865,0.1050485447191295,0.4093699609361589
A2,ramp,-0.13948704176869842,-1.2885625578226851,0.5102311341521693,89.82244811598365,4,60.75940308940794,0.2957199492165452,0.6110380821694333
A2,zero,0.0,0.0,0.0,84.14536376236182,0,65.71164855092339,0.17623541852016777,0.45396820172578417
B1,full,-0.01759808777540317,-0.06994636956003975,-0.00037901735041278586,98.39284764345958,1,72.09107838590498,-0.10266198536770288,-0.15447349298500182
B1,no_shape,0.0,0.0,0.0,97.53834645342125,0,74.91721021557787,-0.19081021542848253,-0.20491128475779533
B1,no_recurrence,-0.01980241459051424,-0.07843063706553544,-0.0006391055036167881,98.49935956847172,1,72.1204786809781,-0.10356154739287993,-0.1512354481653428
B1,symmetric_readout,-0.022135306075963035,-0.08784055625632559,-0.0010109618321023652,98.61195836634315,1,72.2083825064344,-0.10625333208239507,-0.2505626548662241
B1,gamma,-0.03303744930773789,-0.1261300283757926,-0.0013834323915715707,99.1364633693698,1,72.14927045966529,-0.1044428460945741,-0.1582292361477669
B1,step,-0.032762109773105896,-0.1253042548601449,-0.0012372824103983326,99.12325087315782,2,72.08052407963254,-0.10233914429871471,-0.14772570144180305
B1,ramp,-0.07300550877716461,-0.292876936486842,-0.0011649618528959405,101.03605127373197,2,72.45729343407328,-0.1138932522807854,-0.1152981758181077
B1,zero,0.0,0.0,0.0,97.53834645342125,0,74.9187501289959,-0.19085916982681006,-0.20527681242009238
B2,full,0.2561995272187252,-1.1102243660012303,0.560661002852328,90.60749497952457,4,110.21843050582358,-0.11759511011158641,0.11932545995229762
B2,no_shape,0.0,0.0,0.0,105.05963765664048,0,116.54283761595866,-0.24953154459568383,-0.12504760136150328
B2,no_recurrence,0.26087863085578655,-1.113470150864012,0.5664309593091994,90.32204831358209,4,110.39591595411109,-0.12119734933569415,0.1171666092788003
B2,symmetric_readout,0.27533045517456034,-1.1056830427030864,0.5864803741637599,89.43466891384915,4,111.05211855694012,-0.13456594618645346,0.08684422162666885
B2,gamma,0.19867655150817876,-1.4016675548966608,0.5589697314323299,94.04589076994304,4,104.86750292257433,-0.011714330579732923,0.23880038640382947
B2,step,0.248164175609227,-1.1925016432262425,0.5699447436451578,91.09560121400857,4,106.58658811793633,-0.04515612249079992,0.1786514483324588
B2,ramp,0.23095831296052816,-1.3246129032904577,0.5543944254715806,92.13207227712766,4,98.2053729180814,0.11274890030180218,0.39222192271687795
B2,zero,0.0,0.0,0.0,105.05963765664048,0,116.54311916416275,-0.24953758192572462,-0.12629210013372827
