dataset,stage,model,held_block,condition,channel,RMSE,R2,Corr
A1,strict_oof,full,0,Left,Fz,4.036268770457242,-0.03653872180693285,0.4525189530414187
A1,strict_oof,full,0,Left,F3,94.6383644373851,-8.170717767188812,-0.4995123941541819
A1,strict_oof,full,0,Left,F4,101.56140185424341,-9.032731616671532,0.2925531097551546
A1,strict_oof,full,0,Right,Fz,3.586388668306658,-0.05105960297872736,-0.4405986164935202
A1,strict_oof,full,0,Right,F3,28.48741583069842,-5.361620061329277,0.6983833047803473
A1,strict_oof,full,0,Right,F4,42.74703008132251,-8.423980819072654,0.7198957115045276
A1,strict_oof,full,1,Left,Fz,9.799632959709463,0.0681944977552954,0.6988808849970184
A1,strict_oof,full,1,Left,F3,14.195982074486299,-0.7017820560392714,-0.7091675536582315
A1,strict_oof,full,1,Left,F4,33.36253824938997,-2.681617086194537,-0.5100292266841928
A1,strict_oof,full,1,Right,Fz,11.690772899229184,-0.0826475080682132,-0.7980008220155589
A1,strict_oof,full,1,Right,F3,21.08647125770965,-2.0773687318392144,0.761696699223825
A1,strict_oof,full,1,Right,F4,15.58386466409838,-0.1674188827191978,0.6854869816498658
A1,strict_oof,full,2,Left,Fz,8.978111258927544,-1.635465770260498,-0.568808920811198
A1,strict_oof,full,2,Left,F3,72.51627720200561,-61.871489600259245,-0.46089922788429055
A1,strict_oof,full,2,Left,F4,134.90975885198714,-27.6147952184095,-0.4296749294938087
A1,strict_oof,full,2,Right,Fz,38.304152520482006,-8.058664095282136,0.17670910096172118
A1,strict_oof,full,2,Right,F3,307.765943073915,-17.884114628846508,-0.6641018512366195
A1,strict_oof,full,2,Right,F4,274.5813711730875,-18.043246002226525,-0.7203987609107882
A1,strict_oof,full,3,Left,Fz,7.558424618127095,-0.08430168384368408,0.005300864144958716
A1,strict_oof,full,3,Left,F3,8.26401922487499,-0.4232719506120177,0.41251097323347896
A1,strict_oof,full,3,Left,F4,23.379553055837523,-4.418381873328175,0.4168378664218636
A1,strict_oof,full,3,Right,Fz,11.41743939456447,-2.796409338609821,-0.19022026961370458
A1,strict_oof,full,3,Right,F3,78.91208311342014,-9.527366748429582,-0.0157057212211532
A1,strict_oof,full,3,Right,F4,94.00880439158897,-5.235835648303818,0.034893071726561066
A1,strict_oof,full,4,Left,Fz,30.51669323025576,-5.952248853964017,-0.36874907476461727
