dataset,condition,channel,RMSE,R2,Corr
A1,Left,F3,71.83205307577502,-15.598037084179387,-0.33119987569153536
A1,Left,F4,79.9133180296759,-10.62646025024807,-0.06937522400120932
A1,Left,Fz,12.177826167495422,-1.5280721064239673,0.043828541321516104
A1,Right,F3,90.57996487823986,-7.570777649859856,0.0615632430645668
A1,Right,F4,89.00405153162836,-6.872624473007335,0.060335029832317075
A1,Right,Fz,14.386262633926588,-2.2508014290996945,-0.18900239703197047
A2,Left,F3,63.29213940930887,-2.6589681113304606,0.5993614740318121
A2,Left,F4,52.01391459903904,-0.14439663551114532,0.6130434812191169
A2,Left,Fz,30.666667323593128,0.3694474677815958,0.659696917587351
A2,Right,F3,79.001564125584,-2.269045144332894,0.638978915467139
A2,Right,F4,62.417197259285786,0.15692530612552325,0.6257178259482394
A2,Right,Fz,46.0498921572869,0.04258592640761959,0.6210488331083125
B1,Left,F3,33.43494258981472,-0.6002463909181244,-0.01125474428445798
B1,Left,F4,79.704782016898,-2.6489029575967087,-0.4061895202297192
B1,Left,Fz,40.426476633347285,-6.923176901511432,-0.21167055983694266
B1,Right,F3,47.43194126558586,-7.692934108039799,-0.28666642628943073
B1,Right,F4,60.299872527776905,-6.3619425683750235,-0.3848140589017277
B1,Right,Fz,55.39302234751798,-8.606767356792602,0.047229945919518804
B2,Left,F3,111.39247402344058,-3.2153331406608436,-0.008927420598250557
B2,Left,F4,115.82375519623592,-3.610866784411151,0.20327970480078408
B2,Left,Fz,87.7644173599582,-3.959120393793774,0.2524089316948505
B2,Right,F3,84.44490613120912,-3.3851516137944047,0.3484926712795827
B2,Right,F4,98.10217557781088,-0.6962571817423335,0.4841595645618547
B2,Right,Fz,71.9543212738469,-0.5763694723333982,0.49250768410663925
