dataset,trial_id,cue,role,PC1,PC2
A1,2,1,train,-0.27969322227383153,0.7378385163915551
A1,4,-1,train,-1.8045129932038155,1.7898143331341616
A1,5,1,train,-1.1258453138269429,1.4209107977881934
A1,6,-1,train,-2.8908141990184557,4.043781650535325
A1,7,-1,train,-1.0352637210635502,1.6347878080715819
A1,8,-1,train,-0.35357432519059095,-1.3011298664295128
A1,9,1,train,-1.0009572531012894,0.648246035048453
A1,10,1,train,-0.157498531738167,-1.3350432565909904
A1,11,1,train,-1.5540252091420197,2.0521634880014887
A1,12,1,train,-0.33032845239600245,-1.6511182694126538
A1,13,-1,train,-0.35750215172711086,-0.9923865218260972
A1,15,1,train,-0.827491879703024,1.162118219207316
A1,16,-1,train,-1.010509557459415,1.2170027180070142
A1,17,1,train,-0.023714938146712192,-1.6002789909403505
A1,24,-1,train,-0.21818280053123626,-0.18335365140996054
A1,25,-1,train,-1.9391976920131826,3.1391343877276796
A1,26,1,train,0.9019538491122118,-1.0574986745167754
A1,28,-1,train,0.948982663734464,-4.308224075454948
A1,29,-1,train,0.03571939263507519,-3.035612439816418
A1,30,-1,train,-1.106438990991117,-1.6418340697755889
A1,31,-1,train,-0.9003718003459842,1.500203884239959
A1,32,1,train,-0.7630430970860739,-0.5944670141775562
A1,33,1,train,-0.7632891930238455,-0.7704843646069645
A1,34,-1,train,-0.33227333627996997,0.6434996521840696
A1,35,1,train,-0.8300970841936239,-0.7512662751343949
A1,37,-1,train,-0.9000645485279718,-0.02792410362926086
A1,44,1,train,-0.29741770894179387,-1.9608203512368383
A1,45,-1,train,-1.5235106489513606,0.9846651892748388
A1,47,-1,train,-0.7927789810625803,-1.1117424674449061
A1,48,1,train,-1.1207604705740344,0.10275148795035914
A1,49,-1,train,-0.09222445133842949,-0.45695860680673345
A1,50,-1,train,-1.3125655007913886,1.3863335215612131
A1,51,1,train,1.2887075723930494,-5.714213711467576
A1,52,1,train,14.242989413859272,1.8602017043579562
A1,53,1,train,12.493823418104501,2.1931095117707944
A1,54,-1,train,7.9758529166100445,-0.16098435135921674
A1,55,1,train,0.14803762055823982,-1.6423359681414655
A1,56,-1,train,0.28022218041236496,-1.237932001688621
A1,57,-1,train,-0.46640757569940183,-1.0912015267059172
A1,64,1,train,-1.849144122677499,0.5279620368462895
A1,65,-1,train,-0.8613153028979618,0.42710234830685345
A1,66,1,train,-0.9922919277461716,-0.014659330891297185
A1,67,-1,train,-1.2997430551494824,0.9655202471104409
A1,68,-1,train,-0.30792431623246747,-0.3857744428280497
A1,69,1,train,-0.40750017443387915,-1.489950405593762
A1,70,1,train,-0.08204817799182787,-1.1662152122782825
A1,71,-1,train,-0.6163680938579106,1.134555938169263
A1,72,1,train,-1.2287704556561183,1.3941482246915207
A1,73,-1,train,-0.38629418859946413,-0.07366159634085065
A1,74,1,train,-1.6268938044527634,2.1904676459475723
A1,75,-1,train,-1.0790324960418272,0.9927335204976666
A1,76,1,train,-1.4686072833389263,1.6080186796834273
A1,84,1,test,-1.8636769334461096,2.711303502547647
A1,85,-1,test,-1.482291419523396,0.5019404615688904
A1,86,1,test,-1.8416186791674822,1.6916580462855222
A1,87,1,test,-0.45566005161526973,-0.8944671023764597
A1,89,1,test,0.7973330363537439,-2.2333229632148046
A1,90,1,test,-0.6933200309723369,0.05235008737603168
A1,91,-1,test,-2.737032419160985,1.6111866342510823
A1,92,1,test,-1.0961423752798662,0.2886887189085732
A1,93,1,test,-0.28647926672338203,-1.2088784539444155
A1,94,1,test,-0.5868999098714811,0.6223390147462853
A1,95,-1,test,-0.3919459860257732,-0.064383374497859
A1,96,1,test,-0.7840971350249023,0.9251900709841869
A1,97,1,test,0.9687566138572479,0.7449452323428074
A1,98,-1,test,-2.8341537478044256,-0.841309311965535
A1,99,-1,test,-1.062935859527005,-0.5158982620175797
A2,2,-1,train,-3.974616494692143,-1.1970662322854762
A2,3,-1,train,-1.7734259495578493,1.592731638611848
A2,4,-1,train,-2.4769378459703333,-0.19071880350539827
A2,5,1,train,-2.637589720029182,-0.3566857688163652
A2,6,-1,train,-0.8868529977294346,-2.1817226454618406
A2,7,1,train,-2.0426693039818007,1.8036024961470039
A2,8,1,train,0.6796612416848884,-0.6161150349697835
A2,9,-1,train,-1.9965253181457268,1.125584055253003
A2,10,-1,train,1.5982776993247152,-1.1567730295862069
A2,11,1,train,-2.2459165338170535,0.6148298344433214
A2,12,1,train,0.751114412473443,-0.7605542987633157
A2,13,1,train,0.8130421815450046,4.507769114968857
A2,14,-1,train,3.7280963713286166,-0.5096315121873738
A2,15,-1,train,-1.6588708684886282,-2.635210447734821
A2,16,-1,train,-2.931858310646692,1.6726789013020322
A2,17,1,train,6.203936396288243,5.683469472051968
A2,24,1,train,-2.117121788477233,1.7073221816098647
A2,25,-1,train,0.8354077484396228,-1.3563217844294277
A2,26,-1,train,-0.35807149649331993,0.32053067561268145
A2,27,1,train,3.2428840775577146,-1.1573493599035398
A2,28,1,train,0.13439278707301772,-0.8269769860494607
A2,29,1,train,5.728581279347437,-1.8346254995724187
A2,31,-1,train,-2.7359425595028974,-1.5835096279730216
A2,32,-1,train,-1.233509273314801,1.2853117411894848
A2,34,-1,train,0.2231939310912909,-1.265631144473623
A2,35,-1,train,0.4609040914712197,0.9846576823363574
A2,36,1,train,-2.51697991187209,0.28557331098677297
A2,37,1,train,-0.5655451753614008,-3.6803989096135425
A2,44,-1,train,-2.396367140653518,-1.1722431546735192
A2,46,-1,train,1.7197822804502267,0.03427603007450924
A2,47,-1,train,-1.0326138216029208,1.9778610822920624
A2,48,-1,train,-3.2796046993958314,-0.8368940885802187
A2,49,1,train,2.385572456915602,-0.8431852713353494
A2,50,1,train,-1.9683563057316886,4.937405931909789
A2,51,-1,train,6.894831660003056,0.6820323588520434
A2,52,1,train,0.9844718548369219,-1.4160019042457763
A2,53,1,train,-0.10906865094251457,0.48582685017742605
A2,54,-1,train,5.367893818555401,-1.910181146830226
A2,55,-1,train,2.1599895256264237,-0.8646390277233389
A2,56,1,train,3.8422242831849025,-3.3880305276926146
A2,57,1,train,-2.532820199892781,2.7238589014026733
A2,64,-1,train,3.732695568123269,2.366189823534882
A2,65,1,train,-2.586231363994514,-3.266072867734534
A2,66,-1,train,-3.7645273804797936,-1.7562600070173189
A2,67,1,train,4.903971183965577,-1.3156113505763878
A2,68,1,train,-2.6352357192694806,-1.7322286121363997
A2,69,-1,train,-1.8967734311651616,2.4447192680618586
A2,70,-1,train,1.674883493739947,0.15442005594964517
A2,71,1,train,-2.116902156459948,1.0134230218638176
A2,72,1,train,3.5644119474530997,1.700029283008579
A2,73,1,train,-2.223144048074482,-1.414132250167944
A2,74,1,train,1.0158461314753906,-0.7786573062375921
A2,75,-1,train,-0.3060908004973515,1.0831606262234563
A2,76,-1,train,-3.2757521263224807,1.0268471181115932
A2,77,-1,train,-0.3701450293919745,-0.21068285569869827
A2,84,-1,test,3.195883495008513,0.014893973755268403
A2,85,1,test,2.047356539118992,-2.408210219812423
A2,87,-1,test,8.294121414003369,-0.026637428992954498
A2,88,1,test,4.561192305907313,-5.568766639693414
A2,89,-1,test,1.2270968439684693,-1.2239053202047565
A2,90,-1,test,5.872121734127831,-0.5828412848152289
A2,91,-1,test,-2.9683636448733495,0.7575743782175005
A2,92,-1,test,0.13581040078368722,3.471154023418763
A2,93,1,test,1.8272345446845322,-0.8404667162171386
