train,test,features,n,Accuracy,BA,Precision,Recall,F1,AUC,TN,FP,FN,TP
A1,B1,amplitude,69,0.5652173913043478,0.5647058823529412,0.5625,0.5294117647058824,0.5454545454545454,0.5462184873949579,21,14,16,18
A1,B1,peak_latency,69,0.5942028985507246,0.5932773109243697,0.6,0.5294117647058824,0.5625,0.5714285714285715,23,12,16,18
A1,B1,spatial,69,0.5797101449275363,0.5785714285714285,0.5862068965517241,0.5,0.5396825396825397,0.5873949579831933,23,12,17,17
A1,B1,mechanism,69,0.6231884057971014,0.623109243697479,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.5806722689075631,22,13,13,21
A1,B1,covariance,69,0.5507246376811594,0.553781512605042,0.5306122448979592,0.7647058823529411,0.6265060240963856,0.4689075630252101,12,23,8,26
B1,A1,amplitude,67,0.44776119402985076,0.43258928571428573,0.48214285714285715,0.7714285714285715,0.5934065934065934,0.4446428571428571,3,29,8,27
B1,A1,peak_latency,67,0.5223880597014925,0.5214285714285714,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.5357142857142857,16,16,16,19
B1,A1,spatial,67,0.5074626865671642,0.5058035714285714,0.5277777777777778,0.5428571428571428,0.5352112676056338,0.5410714285714286,15,17,16,19
B1,A1,mechanism,67,0.47761194029850745,0.4745535714285714,0.5,0.5428571428571428,0.5205479452054794,0.5232142857142857,13,19,16,19
B1,A1,covariance,67,0.47761194029850745,0.46919642857142857,0.5,0.6571428571428571,0.5679012345679012,0.4616071428571428,9,23,12,23
A2,B2,amplitude,69,0.5507246376811594,0.5515202702702703,0.5882352941176471,0.5405405405405406,0.5633802816901409,0.5658783783783783,18,14,17,20
A2,B2,peak_latency,69,0.5507246376811594,0.5472972972972974,0.5789473684210527,0.5945945945945946,0.5866666666666667,0.5532094594594594,16,16,15,22
A2,B2,spatial,69,0.5652173913043478,0.5713682432432432,0.6206896551724138,0.4864864864864865,0.5454545454545454,0.5608108108108109,21,11,19,18
A2,B2,mechanism,69,0.5507246376811594,0.5557432432432432,0.6,0.4864864864864865,0.5373134328358209,0.527027027027027,20,12,19,18
A2,B2,covariance,69,0.5217391304347826,0.5202702702702703,0.5555555555555556,0.5405405405405406,0.547945205479452,0.5008445945945946,16,16,17,20
B2,A2,amplitude,70,0.5285714285714286,0.5218671152228764,0.4375,0.4827586206896552,0.45901639344262296,0.5559293523969722,23,18,15,14
B2,A2,peak_latency,70,0.5142857142857142,0.5096719932716569,0.42424242424242425,0.4827586206896552,0.45161290322580644,0.5374264087468461,22,19,15,14
B2,A2,spatial,70,0.5142857142857142,0.5096719932716569,0.42424242424242425,0.4827586206896552,0.45161290322580644,0.535744322960471,22,19,15,14
B2,A2,mechanism,70,0.5428571428571428,0.5441547518923465,0.45714285714285713,0.5517241379310345,0.5,0.5340622371740958,22,19,13,16
B2,A2,covariance,70,0.5,0.507569386038688,0.42105263157894735,0.5517241379310345,0.47761194029850745,0.5550883095037847,19,22,13,16
