dataset,trial_id,block,cue,features,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
A1,2,0,1,amplitude,2.896180016147378,93.60492299136907,-140.06227900637205,,,,,,,,,,,,,,,,,,,,,
A1,4,0,-1,amplitude,-4.875557060592079,-192.17105677378902,-141.6338650934752,,,,,,,,,,,,,,,,,,,,,
A1,5,0,1,amplitude,-8.464900596252372,-136.80728294716636,-75.11603396351363,,,,,,,,,,,,,,,,,,,,,
A1,6,0,-1,amplitude,-9.599403140923048,-324.0124284242342,-393.3618791679516,,,,,,,,,,,,,,,,,,,,,
A1,7,0,-1,amplitude,-1.007597806611069,-12.459103515774125,-42.51704051544475,,,,,,,,,,,,,,,,,,,,,
A1,8,0,-1,amplitude,5.9109469372257895,14.92817539290402,58.55633705457173,,,,,,,,,,,,,,,,,,,,,
A1,9,0,1,amplitude,7.202807697457891,17.066616021577584,-5.490634770049451,,,,,,,,,,,,,,,,,,,,,
A1,10,0,1,amplitude,6.933980019092985,23.983153077195862,45.55113440875836,,,,,,,,,,,,,,,,,,,,,
A1,11,0,1,amplitude,-0.9780023255041624,-161.33885593836865,-124.82936669703375,,,,,,,,,,,,,,,,,,,,,
A1,12,0,1,amplitude,7.670869755705198,8.539553617802296,41.457614755159824,,,,,,,,,,,,,,,,,,,,,
A1,13,0,-1,amplitude,6.189478072769888,25.725687023725634,34.32191943163869,,,,,,,,,,,,,,,,,,,,,
A1,15,0,1,amplitude,0.009875875551025592,-45.66556270664816,-66.19895837856156,,,,,,,,,,,,,,,,,,,,,
A1,16,0,-1,amplitude,12.045728132578649,-35.15923365207765,-80.0969097551172,,,,,,,,,,,,,,,,,,,,,
A1,17,0,1,amplitude,2.2865512759514472,31.622503023800192,34.43048857358452,,,,,,,,,,,,,,,,,,,,,
A1,24,1,-1,amplitude,20.45861462127415,26.47826227325544,31.476094480628117,,,,,,,,,,,,,,,,,,,,,
A1,25,1,-1,amplitude,-2.1354083860230544,-86.03081286574105,-273.4173645378273,,,,,,,,,,,,,,,,,,,,,
A1,26,1,1,amplitude,12.93560454909088,-2.151313064900741,8.512933590589475,,,,,,,,,,,,,,,,,,,,,
A1,28,1,-1,amplitude,19.331780753292453,52.2070020881338,49.52861483229315,,,,,,,,,,,,,,,,,,,,,
A1,29,1,-1,amplitude,25.14658683349892,64.5087418010223,95.63255258514339,,,,,,,,,,,,,,,,,,,,,
A1,30,1,-1,amplitude,11.973976357261895,-11.930418955880329,15.088345142864942,,,,,,,,,,,,,,,,,,,,,
A1,31,1,-1,amplitude,2.928910459227567,-23.756825576463847,-89.7888492492547,,,,,,,,,,,,,,,,,,,,,
A1,32,1,1,amplitude,11.91785248283689,-15.746911820830631,2.997313257599618,,,,,,,,,,,,,,,,,,,,,
A1,33,1,1,amplitude,1.1358544560674313,2.5464446970277232,7.865728501684737,,,,,,,,,,,,,,,,,,,,,
A1,34,1,-1,amplitude,-15.292655240161517,-39.58158337052391,-25.39570733701751,,,,,,,,,,,,,,,,,,,,,
A1,35,1,1,amplitude,11.32639475061539,-10.598956705437384,-11.710208925492733,,,,,,,,,,,,,,,,,,,,,
A1,37,1,-1,amplitude,-2.972269095243733,-11.296984456678176,3.2055696670403737,,,,,,,,,,,,,,,,,,,,,
A1,44,2,1,amplitude,5.720472406404621,18.434049829996944,39.39700851089437,,,,,,,,,,,,,,,,,,,,,
A1,45,2,-1,amplitude,5.340472254313682,-148.80388054800133,-47.83554867930666,,,,,,,,,,,,,,,,,,,,,
A1,47,2,-1,amplitude,8.734771274170217,-10.909844847193297,-9.070803886192477,,,,,,,,,,,,,,,,,,,,,
A1,48,2,1,amplitude,11.64814704240852,-1.3884608712156616,-8.414843453189347,,,,,,,,,,,,,,,,,,,,,
A1,49,2,-1,amplitude,-4.906884458571432,23.833400125104834,35.259326880998344,,,,,,,,,,,,,,,,,,,,,
A1,50,2,-1,amplitude,4.187957789878283,19.657479445952788,-74.16792211709392,,,,,,,,,,,,,,,,,,,,,
A1,51,2,1,amplitude,6.136109702313545,139.24563189117373,228.35811946866954,,,,,,,,,,,,,,,,,,,,,
A1,52,2,1,amplitude,-105.96186470039643,806.1784201086671,689.0591432446809,,,,,,,,,,,,,,,,,,,,,
A1,53,2,1,amplitude,-102.93051736696674,739.3732979450068,562.7661871805326,,,,,,,,,,,,,,,,,,,,,
A1,54,2,-1,amplitude,-54.94397474439459,214.29940923871203,681.3508971639595,,,,,,,,,,,,,,,,,,,,,
A1,55,2,1,amplitude,4.9578516117407725,60.8088170466174,32.09836981622606,,,,,,,,,,,,,,,,,,,,,
A1,56,2,-1,amplitude,3.2541154327751296,124.93821772123951,46.639804094012774,,,,,,,,,,,,,,,,,,,,,
A1,57,2,-1,amplitude,16.721022580120366,-0.8520733854401379,9.14748299909767,,,,,,,,,,,,,,,,,,,,,
A1,64,3,1,amplitude,31.90262037092971,-195.2202457697382,-155.14756579394245,,,,,,,,,,,,,,,,,,,,,
A1,65,3,-1,amplitude,14.38081869831283,-20.039986142760345,-23.390979124027087,,,,,,,,,,,,,,,,,,,,,
A1,66,3,1,amplitude,-7.401221672850298,45.83256814822245,-16.00387271134779,,,,,,,,,,,,,,,,,,,,,
A1,67,3,-1,amplitude,12.788839932941666,-71.79587009315412,-68.17935484042685,,,,,,,,,,,,,,,,,,,,,
A1,68,3,-1,amplitude,-8.320087795876699,0.2805957750252981,-3.6778321551101474,,,,,,,,,,,,,,,,,,,,,
A1,69,3,1,amplitude,1.752236614471298,-10.559080168581941,10.623893966647927,,,,,,,,,,,,,,,,,,,,,
A1,70,3,1,amplitude,5.144319119249355,26.32097764467496,41.26323020427861,,,,,,,,,,,,,,,,,,,,,
A1,71,3,-1,amplitude,-2.579514575942525,-30.943226753021467,-26.259706214145442,,,,,,,,,,,,,,,,,,,,,
A1,72,3,1,amplitude,5.677422399548027,-50.9195182949767,-61.70993919765524,,,,,,,,,,,,,,,,,,,,,
A1,73,3,-1,amplitude,1.0798568538401376,6.90256835731111,-0.9778510465967374,,,,,,,,,,,,,,,,,,,,,
A1,74,3,1,amplitude,6.541289003607342,-103.23150199751694,-174.9142389639745,,,,,,,,,,,,,,,,,,,,,
A1,75,3,-1,amplitude,12.292555075461907,-8.476102772061127,-52.63504225603842,,,,,,,,,,,,,,,,,,,,,
A1,76,3,1,amplitude,11.473905992760368,-85.13033530464061,-101.38939308496674,,,,,,,,,,,,,,,,,,,,,
A1,84,4,1,amplitude,3.015702311947525,-171.73119961624212,-250.02164200325294,,,,,,,,,,,,,,,,,,,,,
A1,85,4,-1,amplitude,22.28197105079159,-133.79112482595832,-38.24382846203568,,,,,,,,,,,,,,,,,,,,,
A1,86,4,1,amplitude,9.570144676332342,10.745518659111543,-30.821035074803582,,,,,,,,,,,,,,,,,,,,,
A1,87,4,1,amplitude,-2.243483911143116,4.572133362165282,27.989350098265326,,,,,,,,,,,,,,,,,,,,,
A1,89,4,1,amplitude,3.0675879903160257,54.576901762814074,97.2011471335594,,,,,,,,,,,,,,,,,,,,,
A1,90,4,1,amplitude,5.13858593623284,-24.407021014855072,-6.143700373789312,,,,,,,,,,,,,,,,,,,,,
A1,91,4,-1,amplitude,34.191497237429736,-333.08286726836894,-283.14730622531994,,,,,,,,,,,,,,,,,,,,,
