dataset,trial_id,block,cue,features,score,prediction
A1,2,0,1,amplitude,0.10078080004486303,1
A1,4,0,-1,amplitude,-0.7218469827293975,-1
A1,5,0,1,amplitude,-0.3640055903055066,-1
A1,6,0,-1,amplitude,-1.4054840954123202,-1
A1,7,0,-1,amplitude,-0.053542728022012244,-1
A1,8,0,-1,amplitude,0.022297884233254198,1
A1,9,0,1,amplitude,-0.08256793289430382,-1
A1,10,0,1,amplitude,0.014223377305749813,1
A1,11,0,1,amplitude,-0.678330016103167,-1
A1,12,0,1,amplitude,-0.06084261108041965,-1
A1,13,0,-1,amplitude,0.021860672692253405,1
A1,15,0,1,amplitude,-0.22202996989864052,-1
A1,16,0,-1,amplitude,-0.46760736026729943,-1
A1,17,0,1,amplitude,0.12798895784551612,1
A1,24,1,-1,amplitude,-0.18105521210220207,-1
A1,25,1,-1,amplitude,-0.5491178705747515,-1
A1,26,1,1,amplitude,-0.17220001313649744,-1
A1,28,1,-1,amplitude,-0.03827936823142147,-1
A1,29,1,-1,amplitude,-0.04743923869127921,-1
A1,30,1,-1,amplitude,-0.18263644428119913,-1
A1,31,1,-1,amplitude,-0.18167147918130175,-1
A1,32,1,1,amplitude,-0.21115857553925682,-1
A1,33,1,1,amplitude,0.07525291456993169,1
A1,34,1,-1,amplitude,0.19352464502203887,1
A1,35,1,1,amplitude,-0.19822007511962467,-1
A1,37,1,-1,amplitude,0.09672668537589033,1
A1,44,2,1,amplitude,0.7895764156822466,1
A1,45,2,-1,amplitude,-0.6032978147449433,-1
A1,47,2,-1,amplitude,0.28162537136022964,1
A1,48,2,1,amplitude,0.22082451229066358,1
A1,49,2,-1,amplitude,1.258763287544921,1
A1,50,2,-1,amplitude,0.4081511999376115,1
A1,51,2,1,amplitude,2.293597399314149,1
A1,52,2,1,amplitude,12.276780603533375,1
A1,53,2,1,amplitude,11.642784607430242,1
A1,54,2,-1,amplitude,7.176481653387927,1
A1,55,2,1,amplitude,1.0613799979748075,1
A1,56,2,-1,amplitude,1.5984293531514748,1
A1,57,2,-1,amplitude,0.07895229530004995,1
A1,64,3,1,amplitude,-1.575594251295357,-1
A1,65,3,-1,amplitude,-0.3740776412980609,-1
A1,66,3,1,amplitude,0.2915613290129985,1
A1,67,3,-1,amplitude,-0.610743499257217,-1
A1,68,3,-1,amplitude,0.16641138831983807,1
A1,69,3,1,amplitude,-0.038870057626299366,-1
A1,70,3,1,amplitude,0.08454452987067196,1
A1,71,3,-1,amplitude,-0.09593291417072435,-1
A1,72,3,1,amplitude,-0.38846161739745144,-1
A1,73,3,-1,amplitude,0.016328100515018956,1
A1,74,3,1,amplitude,-0.7959238948385742,-1
A1,75,3,-1,amplitude,-0.3447335109043385,-1
A1,76,3,1,amplitude,-0.6931692338812139,-1
A1,84,4,1,amplitude,-1.3232307051459096,-1
A1,85,4,-1,amplitude,-1.046153044464735,-1
A1,86,4,1,amplitude,-0.24376266396150822,-1
A1,87,4,1,amplitude,0.022260272179667653,1
