stage,dataset,trial_id,block,truth,score,prediction
before,A1,1,0,-1,-0.0032906984497516056,-1
before,A1,2,0,1,-0.20656714177147018,-1
before,A1,4,0,-1,0.266900121589153,1
before,A1,5,0,1,-0.1448396228247833,-1
before,A1,6,0,-1,0.09168046529873897,1
before,A1,7,0,-1,0.016885443033041625,1
before,A1,8,0,-1,0.05991643046899098,1
before,A1,9,0,1,-0.08265324911885474,-1
before,A1,10,0,1,-0.09437910093017549,-1
before,A1,11,0,1,-0.2468071020248505,-1
before,A1,12,0,1,-0.03536735451230327,-1
before,A1,13,0,-1,-0.05012057965948097,-1
before,A1,15,0,1,0.039781896304594166,1
before,A1,16,0,-1,-0.04070760143473229,-1
before,A1,17,0,1,0.0682143752336446,1
before,A1,18,0,-1,0.005880323090541539,1
before,A1,19,0,-1,0.07755365539701664,1
before,A1,21,1,-1,0.05091561800466471,1
before,A1,22,1,-1,-0.17576070984865166,-1
before,A1,23,1,1,0.10556915625279406,1
before,A1,24,1,-1,0.07080840757030882,1
before,A1,25,1,-1,-0.06349135428552244,-1
before,A1,26,1,1,0.07455049901962452,1
before,A1,28,1,-1,0.156280386633733,1
before,A1,29,1,-1,0.21315380964756836,1
before,A1,30,1,-1,-0.07150081492752675,-1
before,A1,31,1,-1,-0.00871213543788224,-1
before,A1,32,1,1,-0.005807843730520068,-1
before,A1,33,1,1,0.09577224327404632,1
before,A1,34,1,-1,0.06940938798131857,1
before,A1,35,1,1,-0.05031780693497828,-1
before,A1,37,1,-1,0.07626618971209764,1
before,A1,38,1,-1,0.08702545831070052,1
before,A1,41,2,-1,-0.20368518023222149,-1
before,A1,42,2,1,-0.09235125628077617,-1
before,A1,43,2,-1,-0.017706847496382072,-1
before,A1,44,2,1,-0.0850101578967733,-1
before,A1,45,2,-1,-0.20638619393116853,-1
before,A1,47,2,-1,0.029616910522416218,1
before,A1,48,2,1,0.1629831546700541,1
before,A1,49,2,-1,-0.005972974156150224,-1
before,A1,50,2,-1,0.016386456649906234,1
before,A1,51,2,1,0.29431678814435347,1
before,A1,52,2,1,-0.2487590288776158,-1
before,A1,53,2,1,-0.05857703273603726,-1
before,A1,54,2,-1,-0.21842131768104006,-1
before,A1,55,2,1,-0.16085681734062496,-1
before,A1,56,2,-1,-0.07713201192470348,-1
before,A1,57,2,-1,-0.07813759050239016,-1
before,A1,58,2,1,0.08181710023999644,1
before,A1,59,2,1,-0.029831061706869777,-1
before,A1,60,2,-1,0.19043247545169517,1
before,A1,61,3,1,-0.013399895704682419,-1
before,A1,62,3,-1,-0.11478759017187345,-1
before,A1,63,3,1,0.10402131005511572,1
before,A1,64,3,1,0.04723395584718282,1
before,A1,65,3,-1,-0.028342476845630182,-1
before,A1,66,3,1,0.06991245229268028,1
before,A1,67,3,-1,-0.06355869456075797,-1
before,A1,68,3,-1,-0.03609374416703465,-1
before,A1,69,3,1,0.06044315558790747,1
before,A1,70,3,1,-0.09043568853724815,-1
before,A1,71,3,-1,-0.01095996724473458,-1
before,A1,72,3,1,0.07272719926636839,1
before,A1,73,3,-1,0.06022713610703889,1
before,A1,74,3,1,-0.04407679142181142,-1
before,A1,75,3,-1,-0.003974166618352926,-1
before,A1,76,3,1,-0.11138020360435968,-1
before,A1,78,3,-1,-0.04761174858791656,-1
before,A1,79,3,-1,0.05226352391069322,1
before,A1,80,3,-1,-0.04044280167590786,-1
before,A1,81,4,-1,-0.10515164261875287,-1
before,A1,82,4,1,-0.011951678618513761,-1
before,A1,83,4,-1,-0.08818839941082052,-1
before,A1,84,4,1,0.01982220475675245,1
before,A1,85,4,-1,-0.13568155209334876,-1
before,A1,86,4,1,-0.004589138073755494,-1
before,A1,87,4,1,-0.03733061031449886,-1
before,A1,89,4,1,0.017151170719685527,1
before,A1,90,4,1,-0.07829840393832554,-1
before,A1,91,4,-1,0.07570717034421792,1
before,A1,92,4,1,0.014349039926485951,1
before,A1,93,4,1,-0.07416677629396018,-1
before,A1,94,4,1,0.03399489498090158,1
before,A1,95,4,-1,-0.2335936495249013,-1
before,A1,96,4,1,0.018812083468259133,1
before,A1,97,4,1,0.22657863568419545,1
before,A1,98,4,-1,-0.21425182154099864,-1
before,A1,99,4,-1,0.05576338607071296,1
before,A1,100,4,1,-0.0849927046242211,-1
before,A2,1,0,1,-0.02630673829330904,-1
before,A2,2,0,-1,-0.1640417296989839,-1
before,A2,3,0,-1,-0.18374017333667786,-1
before,A2,4,0,-1,-0.03849770306802719,-1
before,A2,5,0,1,-0.00919787263334948,-1
before,A2,6,0,-1,0.03632796781348613,1
before,A2,7,0,1,-0.012699820451540889,-1
before,A2,8,0,1,-0.1403715566159754,-1
before,A2,9,0,-1,-0.033954610005157815,-1
before,A2,10,0,-1,-0.04441304210175234,-1
before,A2,11,0,1,0.07778971081510155,1
before,A2,12,0,1,0.04816061833170704,1
before,A2,13,0,1,-0.09164459261249192,-1
before,A2,14,0,-1,-0.06445203322219611,-1
before,A2,15,0,-1,-0.026059935136206802,-1
before,A2,16,0,-1,-0.16975908143402307,-1
before,A2,17,0,1,-0.06647855501201638,-1
before,A2,18,0,1,-0.02303583850074503,-1
before,A2,19,0,-1,0.07346037912701564,1
before,A2,20,0,-1,-0.1595256464269636,-1
before,A2,21,1,1,0.1247778914332115,1
before,A2,22,1,-1,0.0712821705243254,1
before,A2,23,1,1,0.04680848159414741,1
before,A2,24,1,1,-0.11424644999476508,-1
before,A2,25,1,-1,0.028583147051510438,1
before,A2,26,1,-1,0.04389333119352845,1
before,A2,27,1,1,0.11515632447272461,1
before,A2,28,1,1,0.14552216540655782,1
before,A2,29,1,1,0.16383932560499392,1
before,A2,31,1,-1,0.09500046044728072,1
before,A2,32,1,-1,-0.11382086005253472,-1
before,A2,34,1,-1,0.035944080310768234,1
before,A2,35,1,-1,0.03226831081461656,1
before,A2,36,1,1,-0.023639516591958176,-1
before,A2,37,1,1,-0.15361971127743806,-1
before,A2,38,1,-1,-0.04191886643792936,-1
before,A2,39,1,1,0.24701746108589107,1
before,A2,40,1,-1,-0.018729041052900408,-1
before,A2,41,2,-1,-0.31585440762614325,-1
before,A2,42,2,-1,-0.12054844186410013,-1
before,A2,43,2,-1,-0.09162504684452244,-1
before,A2,44,2,-1,-0.04526633651133449,-1
before,A2,46,2,-1,0.14056744923312037,1
before,A2,47,2,-1,-0.045659999171391685,-1
before,A2,48,2,-1,-0.16629550883688565,-1
before,A2,49,2,1,-0.19047812245299062,-1
before,A2,50,2,1,-0.2672719746972488,-1
before,A2,51,2,-1,0.019329759476129804,1
before,A2,52,2,1,-0.24418926439497485,-1
before,A2,53,2,1,-0.15143392422075658,-1
before,A2,54,2,-1,-0.147344322051369,-1
before,A2,55,2,-1,-0.21660369924107098,-1
before,A2,56,2,1,0.29686947017127874,1
before,A2,57,2,1,-0.05356019885560337,-1
before,A2,58,2,1,-0.20649442058091588,-1
before,A2,59,2,1,-0.051644478652485004,-1
before,A2,60,2,1,0.1976338944227446,1
before,A2,61,3,-1,0.008852722499432586,1
before,A2,62,3,1,-0.131857747171726,-1
before,A2,64,3,-1,-0.1425800961670785,-1
before,A2,65,3,1,0.2265617511323249,1
before,A2,66,3,-1,-0.1653980535296427,-1
before,A2,67,3,1,0.012654685330678483,1
before,A2,68,3,1,-0.014939087943129481,-1
before,A2,69,3,-1,-0.07798034132386683,-1
before,A2,70,3,-1,-0.02394904933231118,-1
before,A2,71,3,1,-0.14016384723789438,-1
before,A2,72,3,1,-0.03722066420432063,-1
before,A2,73,3,1,0.04070556259296443,1
before,A2,74,3,1,-0.00029950248318644235,-1
before,A2,75,3,-1,-0.04905006250461419,-1
before,A2,76,3,-1,-0.14824732931780332,-1
before,A2,77,3,-1,-0.08795371000885216,-1
before,A2,78,3,1,-0.04690086754393108,-1
before,A2,79,3,-1,-0.031459576409748,-1
before,A2,80,3,1,0.1477250158606046,1
before,A2,81,4,-1,-0.008812962073742991,-1
before,A2,82,4,1,-0.00988558997902822,-1
before,A2,83,4,1,-0.09136034907708085,-1
before,A2,84,4,-1,0.3246498713255179,1
before,A2,85,4,1,-0.02248975973442663,-1
before,A2,87,4,-1,-0.041549365129218196,-1
before,A2,88,4,1,0.1577475932918153,1
before,A2,89,4,-1,-0.11689364881513276,-1
before,A2,90,4,-1,-0.25018981438389376,-1
before,A2,91,4,-1,-0.15794393068424034,-1
before,A2,92,4,-1,-0.1305548525029867,-1
before,A2,93,4,1,0.01103237459143036,1
before,A2,94,4,-1,-0.08704746372156308,-1
before,A2,95,4,-1,0.0845177212212408,1
before,A2,96,4,-1,-0.09809898405415923,-1
before,A2,97,4,-1,0.1925602206764424,1
before,A2,98,4,-1,0.04288917678427506,1
before,A2,99,4,-1,0.027080819197618622,1
before,A2,100,4,-1,0.2695986519571584,1
before,B1,1,0,-1,-0.08412323038837172,-1
before,B1,2,0,-1,0.08260952142024758,1
before,B1,3,0,1,-0.004001996113527695,-1
before,B1,4,0,-1,-0.09937936790677726,-1
before,B1,5,0,1,0.0706932239510113,1
before,B1,6,0,1,-0.09901483260082905,-1
before,B1,7,0,1,0.20830498406970133,1
before,B1,8,0,-1,0.1093466093222265,1
before,B1,9,0,-1,0.095127930249715,1
before,B1,10,0,-1,0.10945044286667083,1
before,B1,11,0,1,0.17640613902832325,1
before,B1,12,0,-1,0.10609255365281978,1
before,B1,13,0,1,0.026993762473579985,1
before,B1,15,0,-1,0.04354732216450952,1
before,B1,16,0,1,0.10563932811593202,1
before,B1,17,0,-1,-0.06648833154533745,-1
before,B1,18,0,-1,-0.054283243921906754,-1
before,B1,19,0,1,-0.07130250574938296,-1
before,B1,20,0,-1,-0.3151651378443303,-1
before,B1,21,1,1,-0.045087024979523715,-1
before,B1,22,1,1,0.04354688905063919,1
before,B1,24,1,1,-0.03374049835080273,-1
before,B1,25,1,1,0.0406846340380822,1
before,B1,26,1,1,0.020983685823583564,1
before,B1,27,1,1,-0.013154993339658805,-1
before,B1,28,1,1,0.09177801794414375,1
before,B1,29,1,1,0.053174532151191056,1
before,B1,30,1,-1,-0.22163605851820928,-1
before,B1,31,1,1,0.1289962491384773,1
before,B1,32,1,-1,0.03846502103935601,1
before,B1,33,1,-1,-0.02406934660792226,-1
before,B1,34,1,1,0.15147649435950372,1
before,B1,35,1,-1,-0.07104364720797107,-1
before,B1,37,1,-1,-0.04883827764558579,-1
before,B1,38,1,-1,-0.016827129808440755,-1
before,B1,39,1,1,0.1075786877585374,1
before,B1,40,1,1,-0.0015878115964310657,-1
before,B1,41,2,-1,-0.1719653841349701,-1
before,B1,42,2,1,-0.12107261159804183,-1
before,B1,43,2,1,0.19513226333694922,1
before,B1,44,2,1,-0.031436016474801376,-1
before,B1,45,2,1,0.006242210554497474,1
before,B1,46,2,-1,-0.22859405117372877,-1
before,B1,47,2,-1,-0.10595447864605329,-1
before,B1,48,2,1,0.022225407671357278,1
before,B1,49,2,1,0.17747235791791272,1
before,B1,50,2,-1,0.035868259449200135,1
before,B1,51,2,1,-0.1683678786312065,-1
before,B1,52,2,-1,-0.09450810346466276,-1
before,B1,53,2,1,-0.005346575327977499,-1
before,B1,55,2,1,-0.24699105019116202,-1
before,B1,56,2,-1,-0.11835840084346244,-1
before,B1,57,2,1,-0.16429823971504737,-1
before,B1,58,2,1,-0.15274749886705502,-1
before,B1,59,2,1,0.2188658106319299,1
before,B1,60,2,1,-0.13830746618559892,-1
before,B1,61,3,-1,0.0019418537157755988,1
before,B1,62,3,-1,0.137801621080184,1
before,B1,63,3,1,0.12088232323228243,1
before,B1,64,3,-1,-0.10994982960615507,-1
before,B1,65,3,-1,-0.25013792252665434,-1
before,B1,66,3,-1,-0.0747221406550958,-1
before,B1,67,3,1,0.05352868855982573,1
before,B1,68,3,1,0.006055325615862195,1
before,B1,69,3,-1,0.025656522304385976,1
before,B1,70,3,-1,-0.011733457240416967,-1
before,B1,71,3,1,-0.03572140757772252,-1
before,B1,72,3,1,0.10908533015709221,1
before,B1,73,3,-1,0.07766908540121842,1
before,B1,74,3,-1,-0.04452574158456246,-1
before,B1,75,3,1,-0.10354209228889999,-1
before,B1,76,3,-1,0.06556589973659288,1
before,B1,77,3,-1,0.1252629529208138,1
before,B1,78,3,-1,-0.13289557933129248,-1
before,B1,79,3,1,0.0750580985346726,1
before,B1,80,3,-1,-0.06836358552374461,-1
before,B1,81,4,-1,-0.2163405524153888,-1
before,B1,82,4,1,-0.12030260859126551,-1
before,B1,83,4,-1,-0.16362349625365363,-1
before,B1,84,4,-1,0.009314749221218555,1
before,B1,85,4,1,0.13870662839527914,1
before,B1,86,4,-1,-0.02883166221171657,-1
before,B1,87,4,-1,0.15619219964419206,1
before,B1,89,4,-1,-0.017883928016049988,-1
before,B1,90,4,-1,0.0024661850958794806,1
before,B1,91,4,1,0.13821284988157634,1
before,B1,93,4,-1,-0.0035277560769133576,-1
before,B1,94,4,1,0.20231494879616552,1
before,B1,95,4,-1,-0.0824942532565251,-1
before,B1,96,4,1,0.03943534741739918,1
before,B1,97,4,-1,-0.08029541966668347,-1
before,B1,98,4,1,0.127112827931263,1
before,B1,99,4,1,0.2518594330907742,1
before,B1,100,4,1,-0.05905325371242903,-1
before,B2,1,0,-1,-0.05917444011924905,-1
before,B2,2,0,-1,-0.016488976109297504,-1
before,B2,3,0,-1,-0.11166830280161938,-1
before,B2,4,0,1,0.02250031376206063,1
before,B2,5,0,-1,-0.18244721136092296,-1
before,B2,6,0,1,0.28645526936161814,1
before,B2,7,0,1,0.18397222513367684,1
before,B2,8,0,1,-0.048415594008292984,-1
before,B2,9,0,1,-0.033308796615809155,-1
before,B2,10,0,-1,0.11871995271773994,1
before,B2,11,0,1,-0.048014479778826114,-1
before,B2,12,0,1,-0.14518536180221359,-1
before,B2,13,0,1,-0.2030654390889295,-1
before,B2,15,0,1,-0.18027119006633452,-1
before,B2,17,0,-1,0.10004714327017272,1
before,B2,18,0,1,-0.15679981954432987,-1
before,B2,19,0,1,-0.010332261291021827,-1
before,B2,20,0,-1,0.20461727853151923,1
before,B2,21,1,1,-0.07874434757824583,-1
before,B2,22,1,1,-0.19467080646015938,-1
before,B2,24,1,-1,-0.13409626618277853,-1
before,B2,25,1,-1,0.043221680272943264,1
before,B2,26,1,1,0.04639461609866968,1
before,B2,27,1,-1,-0.13414273158934037,-1
before,B2,28,1,-1,0.011488140405575442,1
before,B2,29,1,-1,-0.013797361869374025,-1
before,B2,30,1,1,-0.030191961695302416,-1
before,B2,31,1,1,-0.018059953173249932,-1
before,B2,32,1,1,-0.025550788911870015,-1
before,B2,33,1,1,0.1436533876025311,1
before,B2,34,1,1,-0.20419384881411973,-1
before,B2,35,1,-1,-0.2439807980139148,-1
before,B2,36,1,1,0.17059630791579616,1
before,B2,37,1,-1,0.061356862431357406,1
before,B2,38,1,-1,-0.01703514031044656,-1
before,B2,39,1,1,-0.12839885711420634,-1
before,B2,40,1,1,0.07832762780015545,1
before,B2,41,2,1,0.18673807659032382,1
before,B2,42,2,-1,-0.16542818228332,-1
before,B2,44,2,1,0.02054850909753625,1
before,B2,45,2,-1,0.11132846625904724,1
before,B2,46,2,-1,0.11584172497612577,1
before,B2,47,2,1,0.07336676235236372,1
before,B2,48,2,-1,0.02929135611020872,1
before,B2,49,2,1,0.004337029545904092,1
before,B2,51,2,-1,-0.061568834913158677,-1
before,B2,52,2,-1,0.1234928761151155,1
before,B2,53,2,1,-0.03305194533170769,-1
before,B2,55,2,1,-0.019443480187112228,-1
before,B2,56,2,-1,0.12534594753398165,1
before,B2,58,2,-1,-0.29436698109299686,-1
before,B2,59,2,-1,0.029982756309256953,1
before,B2,60,2,-1,0.12996267412013518,1
before,B2,61,3,-1,-0.12393532008991592,-1
before,B2,62,3,1,0.10193197108529861,1
before,B2,63,3,-1,0.10594244215984383,1
before,B2,64,3,-1,0.23734984897707434,1
before,B2,65,3,1,-0.16717369119563763,-1
before,B2,66,3,1,0.1807933159150804,1
before,B2,67,3,1,0.08493925586530837,1
before,B2,68,3,1,0.05193713236079445,1
before,B2,69,3,-1,0.15392195354375326,1
before,B2,70,3,-1,-0.06588100484784326,-1
before,B2,71,3,1,0.05920932450221161,1
before,B2,72,3,1,0.10435944620578796,1
before,B2,73,3,1,-0.03291331549372928,-1
before,B2,74,3,-1,-0.10574368490441755,-1
before,B2,75,3,-1,0.05015230177440122,1
before,B2,76,3,1,0.033059979934350836,1
before,B2,77,3,1,0.006812852057674679,1
before,B2,78,3,-1,-0.00847789854990727,-1
before,B2,79,3,-1,-0.040900377072337346,-1
before,B2,80,3,-1,0.05208222719899902,1
before,B2,81,4,1,-0.04495656667448311,-1
before,B2,83,4,1,-0.003553749707230991,-1
before,B2,84,4,-1,0.17336480811756905,1
before,B2,85,4,-1,-0.1857967197092134,-1
before,B2,86,4,1,-0.1875567166735183,-1
before,B2,87,4,-1,-0.07802816116686595,-1
before,B2,88,4,1,-0.05873055880832462,-1
before,B2,89,4,-1,-0.048500455597069225,-1
before,B2,90,4,1,0.10025259965244582,1
before,B2,91,4,-1,-0.038328517775188975,-1
before,B2,92,4,-1,-0.08249576557152433,-1
before,B2,93,4,1,0.03185621198088728,1
before,B2,94,4,-1,-0.02460487648192128,-1
before,B2,95,4,1,-0.04120271109304441,-1
before,B2,96,4,1,0.098540500357434,1
before,B2,97,4,-1,0.1707280746095695,1
before,B2,98,4,-1,0.02221295784531807,1
before,B2,99,4,1,0.012649661147088431,1
before,B2,100,4,-1,-0.18295285475273138,-1
v7,A1,1,0,-1,0.0001640849671713518,1
v7,A1,2,0,1,-0.2681894759612806,-1
v7,A1,4,0,-1,0.1823297871440288,1
v7,A1,5,0,1,-0.19131640598711608,-1
v7,A1,6,0,-1,0.1274846652192695,1
v7,A1,7,0,-1,-0.005934289332685694,-1
