dataset,model,held_block,n_train,n_test,selected_lambda,MSE,zero_MSE
A1,prestim_only_polynomial,0,53,14,100.0,43.09617146787008,43.05637646323104
A1,prestim_only_polynomial,1,55,12,100.0,44.84580675453579,44.84704997879604
A1,prestim_only_polynomial,2,54,13,100.0,160.56429805286004,160.5071620037227
A1,prestim_only_polynomial,3,54,13,0.3,243.583184106731,163.56795230600534
A1,prestim_only_polynomial,4,52,15,100.0,52.630603846918746,52.77103627257399
A2,prestim_only_polynomial,0,54,16,100.0,185.80173860849058,185.88460802081866
A2,prestim_only_polynomial,1,58,12,100.0,24.962360133879002,25.09441248433173
A2,prestim_only_polynomial,2,57,13,0.3,327.0906458268694,170.8145846064472
A2,prestim_only_polynomial,3,56,14,100.0,124.86809665654272,125.22560570498656
A2,prestim_only_polynomial,4,55,15,100.0,78.02356183552736,78.31806914933317
B1,prestim_only_polynomial,0,54,15,100.0,34.749415757657935,34.834330216982856
B1,prestim_only_polynomial,1,56,13,100.0,168.70305847141438,167.80872510559323
B1,prestim_only_polynomial,2,56,13,100.0,561.1661607762721,559.7372301376082
B1,prestim_only_polynomial,3,55,14,100.0,131.7085800415404,131.67745712138353
B1,prestim_only_polynomial,4,55,14,100.0,48.42444568489438,48.3974767410698
B2,prestim_only_polynomial,0,55,14,10.0,328.633621521614,305.9665487912301
B2,prestim_only_polynomial,1,55,14,100.0,60.638736760540446,60.87746753277583
B2,prestim_only_polynomial,2,58,11,100.0,26.35201734440972,26.357937001186826
B2,prestim_only_polynomial,3,55,14,100.0,860.1938732807757,859.9722920923377
B2,prestim_only_polynomial,4,53,16,100.0,42.49937806666065,42.50504066850846
