dataset,model,held_block,n_train,n_test,selected_lambda,MSE,zero_MSE
A1,ocular_plus_neural,0,53,14,3.0,981.2967660230452,2559.007773143215
A1,ocular_plus_neural,1,55,12,0.3,1994.0334028490372,268.83902269013544
A1,ocular_plus_neural,2,54,13,100.0,28627.58271050364,28857.64635675483
A1,ocular_plus_neural,3,54,13,0.1,9476.435982510417,1532.4332174978288
A1,ocular_plus_neural,4,52,15,30.0,10175.90477901682,10854.09266628018
A1,ramp_plus_neural,0,53,14,3.0,1260.3257973792886,2559.007773143215
A1,ramp_plus_neural,1,55,12,0.1,2231.3992445997706,268.83902269013544
A1,ramp_plus_neural,2,54,13,100.0,28696.481391602763,28857.64635675483
A1,ramp_plus_neural,3,54,13,0.1,9336.796980564746,1532.4332174978288
A1,ramp_plus_neural,4,52,15,30.0,10379.261209540366,10854.09266628018
A2,ocular_plus_neural,0,54,16,100.0,2629.731144577608,2688.4530332073414
A2,ocular_plus_neural,1,58,12,100.0,2483.1621789858164,2545.648747607843
A2,ocular_plus_neural,2,57,13,0.1,16724.70196515506,6565.988739404193
A2,ocular_plus_neural,3,56,14,100.0,1377.409943354903,1417.9864907716194
A2,ocular_plus_neural,4,55,15,100.0,22091.32808235813,22184.13420248842
A2,ramp_plus_neural,0,54,16,100.0,2654.046390351204,2688.4530332073414
A2,ramp_plus_neural,1,58,12,100.0,2505.0575372816475,2545.648747607843
A2,ramp_plus_neural,2,57,13,0.1,16828.394318257957,6565.988739404193
A2,ramp_plus_neural,3,56,14,100.0,1395.334437918209,1417.9864907716194
A2,ramp_plus_neural,4,55,15,100.0,22124.668555747365,22184.13420248842
B1,ocular_plus_neural,0,54,15,100.0,2761.4727774838843,2770.9303448558785
B1,ocular_plus_neural,1,56,13,10.0,10951.520877421599,9630.662345732591
B1,ocular_plus_neural,2,56,13,100.0,31636.053101290996,31569.005626316484
B1,ocular_plus_neural,3,55,14,100.0,3288.3867718406327,3217.1279041586836
B1,ocular_plus_neural,4,55,14,100.0,382.9606792256727,380.9189232899665
B1,ramp_plus_neural,0,54,15,100.0,2765.4899517810863,2770.9303448558785
B1,ramp_plus_neural,1,56,13,10.0,10544.146514056252,9630.662345732591
B1,ramp_plus_neural,2,56,13,100.0,31613.84677226451,31569.005626316484
B1,ramp_plus_neural,3,55,14,100.0,3265.0855628670433,3217.1279041586836
B1,ramp_plus_neural,4,55,14,100.0,385.47409584386486,380.9189232899665
B2,ocular_plus_neural,0,55,14,0.1,15960.682764942938,1849.7114604083993
B2,ocular_plus_neural,1,55,14,1.0,7383.523337218457,14810.067520869356
B2,ocular_plus_neural,2,58,11,1.0,3318.7192542710086,8589.549533544889
B2,ocular_plus_neural,3,55,14,3.0,17967.62966351116,25123.256124781285
B2,ocular_plus_neural,4,53,16,1.0,1491.5287305881093,4815.052683107518
B2,ramp_plus_neural,0,55,14,0.1,15871.07547259085,1849.7114604083993
B2,ramp_plus_neural,1,55,14,1.0,8169.579052245978,14810.067520869356
B2,ramp_plus_neural,2,58,11,0.3,3356.2295170105026,8589.549533544889
B2,ramp_plus_neural,3,55,14,1.0,16150.275730938984,25123.256124781285
B2,ramp_plus_neural,4,53,16,0.3,1678.3023067162273,4815.052683107518
