dataset,stage,control,S_cog,ci_low,ci_high,n_blocks,n_bootstraps
A1,encoding,M0,-0.022107921206033554,-0.06465885301215213,0.0006161713385411938,5,2000
A1,encoding,M1,-0.0056613588968079664,-0.014266890064064786,0.0002387924446456413,5,2000
A1,encoding,M3,-0.02055897326913514,-0.08052236583427798,0.005888228068208528,5,2000
A1,encoding,M2_no_feedback,4.3268775027249795e-05,-3.273763941313845e-05,0.00017368825848207425,5,2000
A1,encoding,M2_no_direct_memory,-0.007291814687405251,-0.018071041591092074,0.00012937146367231477,5,2000
A1,maintenance,M0,-0.01262471234545437,-0.030982386297943254,0.0019669217889473067,5,2000
A1,maintenance,M1,-0.0040282752289491075,-0.010703727908024662,0.0015750302026386054,5,2000
A1,maintenance,M3,0.00958765416436036,5.22219276201108e-05,0.01946140298044674,5,2000
A1,maintenance,M2_no_feedback,0.0002679113294361546,-8.086500494486337e-05,0.0006793706564146573,5,2000
A1,maintenance,M2_no_direct_memory,-0.004626333965271234,-0.012503661760204565,0.002346558641308283,5,2000
A1,retrieval,M0,-0.034657885379979936,-0.09686597781501716,0.0035899869415976227,5,2000
A1,retrieval,M1,-0.019611612472515416,-0.05413526428169724,0.002999130694931962,5,2000
A1,retrieval,M3,-0.0007076004864114971,-0.011994962996930703,0.011326569675549902,5,2000
A1,retrieval,M2_no_feedback,-0.0023170167255297525,-0.006214862853740177,0.00044214220673877147,5,2000
A1,retrieval,M2_no_direct_memory,-0.013210247160363453,-0.036119397938181086,0.002280468214984288,5,2000
