dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,end_s,gap_s,filter_mode,pretarget_only,filter_start_sample,filter_stop_sample,retained,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump
A1,1,0,-1,5162,5214,0.203125,5758,platform_onset_hypothesis,6256,-1.0,,,6256,platform_end_proxy,2.328125,4.2734375,1.9453125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,4.1734375,0.1,causal,False,0,47511,False,block_boundary_24s_buffer,5098,6231,,,
A1,2,0,1,7538,7590,0.203125,8105,platform_onset_hypothesis,8407,1.0,,,8407,platform_end_proxy,2.21484375,3.39453125,1.1796875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.29453125,0.1,causal,False,0,47511,True,retained,7474,8382,0.0,1084.6276463575502,9.324739129292652
A1,3,0,-1,9690,9743,0.20703125,10258,platform_onset_hypothesis,10567,-1.0,,,10567,platform_end_proxy,2.21875,3.42578125,1.20703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.32578125,0.1,causal,False,0,47511,False,quality,9626,10542,0.24608763693270735,1450.2062586758475,13.313594610654036
A1,4,0,-1,11851,11903,0.203125,12418,platform_onset_hypothesis,12771,-1.0,,,12771,platform_end_proxy,2.21484375,3.59375,1.37890625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.49375,0.1,causal,False,0,47511,False,quality,11787,12746,0.06480446927374302,1261.856789215995,9.452890612183154
A1,5,0,1,14055,14107,0.203125,14623,platform_onset_hypothesis,14932,1.0,,,14932,platform_end_proxy,2.21875,3.42578125,1.20703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.32578125,0.1,causal,False,0,47511,True,retained,13991,14907,0.0,429.92814664183777,9.206681033235583
A1,6,0,-1,16216,16268,0.203125,16783,platform_onset_hypothesis,17086,-1.0,,,17086,platform_end_proxy,2.21484375,3.3984375,1.18359375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.2984375,0.1,causal,False,0,47511,True,retained,16152,17061,0.0,823.0038853618249,9.00650400256444
A1,7,0,-1,18368,18420,0.203125,18936,platform_onset_hypothesis,19306,-1.0,,,19306,platform_end_proxy,2.21875,3.6640625,1.4453125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.5640625,0.1,causal,False,0,47511,True,retained,18304,19281,0.0,366.71418743264803,9.257513931290262
A1,8,0,-1,20589,20641,0.203125,21156,platform_onset_hypothesis,21421,-1.0,,,21421,platform_end_proxy,2.21484375,3.25,1.03515625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.15,0.1,causal,False,0,47511,True,retained,20525,21396,0.0,912.0564765408661,10.254663738963472
A1,9,0,1,22705,22757,0.203125,23272,platform_onset_hypothesis,23572,1.0,,,23572,platform_end_proxy,2.21484375,3.38671875,1.171875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.28671875,0.1,causal,False,0,47511,True,retained,22641,23547,0.0,541.7705869982678,7.265338977725648
A1,10,0,1,24854,24906,0.203125,25421,platform_onset_hypothesis,25817,1.0,,,25817,platform_end_proxy,2.21484375,3.76171875,1.546875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.66171875,0.1,causal,False,0,47511,True,retained,24790,25792,0.0,305.74944112763603,8.089647536677134
A1,11,0,1,27102,27154,0.203125,27669,platform_onset_hypothesis,27970,1.0,,,27970,platform_end_proxy,2.21484375,3.390625,1.17578125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.290625,0.1,causal,False,0,47511,True,retained,27038,27945,0.0,847.1150425915558,9.821314751532412
A1,12,0,1,29254,29307,0.20703125,29822,platform_onset_hypothesis,30096,1.0,,,30096,platform_end_proxy,2.21875,3.2890625,1.0703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.1890625,0.1,causal,False,0,47511,True,retained,29190,30071,0.0,342.91256462895484,9.263844365034345
A1,13,0,-1,31379,31431,0.203125,31946,platform_onset_hypothesis,32238,-1.0,,,32238,platform_end_proxy,2.21484375,3.35546875,1.140625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.25546875,0.1,causal,False,0,47511,True,retained,31315,32213,0.0,141.60204596088198,9.22706744580071
A1,14,0,-1,33520,33572,0.203125,34087,platform_onset_hypothesis,34391,-1.0,,,34391,platform_end_proxy,2.21484375,3.40234375,1.1875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.30234375,0.1,causal,False,0,47511,False,quality,33456,34366,0.09613869188337273,1076.0805108154057,11.375796568948772
A1,15,0,1,35676,35728,0.203125,36243,platform_onset_hypothesis,36507,1.0,,,36507,platform_end_proxy,2.21484375,3.24609375,1.03125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.14609375,0.1,causal,False,0,47511,False,quality,35612,36482,0.07650951199338296,1179.8498305544763,14.491925578056794
