dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
A1,2,0,1,M0,encoding,0,205,420.4909178429609,422.81811291075206,511.4531195924576,0.11813601902182375
A1,2,0,1,M0,encoding,1,205,72205.37028395991,72675.77546396322,64021.56250278663,0.9503301554382262
A1,2,0,1,M0,encoding,2,205,112056.7301996154,112730.07936829781,99792.82370737057,1.398731366221621
A1,2,0,1,M0,maintenance,0,362,1010.8103271289931,1006.6197004443605,1705.0775590878281,0.2839849874659203
A1,2,0,1,M0,maintenance,1,362,120823.0561398605,120172.68903493244,104924.17946293092,1.590211271964383
A1,2,0,1,M0,maintenance,2,362,801028.0259400193,799035.9333558244,752711.2323186898,9.998712465632314
A1,2,0,1,M0,retrieval,0,277,542.5220378032895,544.2293924532466,664.8440393473353,0.15242039972341084
A1,2,0,1,M0,retrieval,1,277,89602.36117055832,89719.0375052592,55930.38000276752,1.1793004520851387
A1,2,0,1,M0,retrieval,2,277,1196035.4062239428,1196629.794008048,1054871.7142536282,14.929332979972934
A1,5,0,1,M0,encoding,0,205,112.38763438072704,111.03327415518118,80.5767437958299,0.031575064168158466
A1,5,0,1,M0,encoding,1,205,18224.516552370304,17945.32660479321,22909.492657979023,0.23986176623552333
A1,5,0,1,M0,encoding,2,205,43565.30531136711,43044.30590487275,52348.69422152261,0.5437974043101226
A1,5,0,1,M0,maintenance,0,363,270.99012577381194,270.94345967771807,454.0200394765904,0.07613409302004824
A1,5,0,1,M0,maintenance,1,363,7023.170119523631,7169.044879998665,9894.751035870813,0.09243537322927725
A1,5,0,1,M0,maintenance,2,363,95425.04130603874,96187.64712850118,113452.04596099514,1.1911287984218581
A1,5,0,1,M0,retrieval,0,284,729.4091686114941,730.8266277952056,870.0645656240454,0.20492593718745072
A1,5,0,1,M0,retrieval,1,284,29129.255470430962,29162.178504771855,12744.390103284895,0.3833843628271507
A1,5,0,1,M0,retrieval,2,284,42841.759686498444,42669.510271403815,71054.13902798208,0.5347658543211716
A1,6,0,-1,M0,encoding,0,205,62.13717457583244,61.70509638837528,68.89019765753893,0.01745730555919974
A1,6,0,-1,M0,encoding,1,205,42125.615669531355,42106.31207949606,49614.3106913724,0.5544358089948042
A1,6,0,-1,M0,encoding,2,205,81831.90192966172,81576.55387173094,94612.50060025198,1.0214544702731503
A1,6,0,-1,M0,maintenance,0,362,942.8175239231472,936.4228198451406,1530.1436393708943,0.26488255563676777
A1,6,0,-1,M0,maintenance,1,362,57381.348941173324,57376.304593775836,51285.07932223722,0.7552239680243588
A1,6,0,-1,M0,maintenance,2,362,44367.80590964241,44389.12989779392,41608.480335126515,0.55381449793957
A1,6,0,-1,M0,retrieval,0,278,2096.438438355613,2099.5218125504175,2340.3957700815977,0.5889898704641121
A1,6,0,-1,M0,retrieval,1,278,266740.15620201296,266858.19138793775,205797.4760537393,3.5106975161013416
A1,6,0,-1,M0,retrieval,2,278,190390.91168050835,190559.0350167323,136750.34663734716,2.3765260644020785
A1,7,0,-1,M0,encoding,0,205,67.95232714514495,68.81876553416949,80.84516082971453,0.019091060166950086
A1,7,0,-1,M0,encoding,1,205,3634.1785272892844,3638.1866088842257,2017.652142997295,0.047831199135839136
A1,7,0,-1,M0,encoding,2,205,6348.631503961442,6392.982188654882,3792.8863523157643,0.0792458427205124
A1,7,0,-1,M0,maintenance,0,363,96.31402945765504,95.09881273844437,301.2476829049241,0.027059219434383552
A1,7,0,-1,M0,maintenance,1,363,11714.76526206822,11706.198964109757,7306.319451719135,0.15418374905691395
A1,7,0,-1,M0,maintenance,2,363,44832.739096264275,44694.617444834694,34456.17310292099,0.5596179568676228
A1,7,0,-1,M0,retrieval,0,345,131.31584597256008,131.90239900530185,166.69834473148205,0.03689290450614409
A1,7,0,-1,M0,retrieval,1,345,8892.613215009944,8894.456671547305,1015.513704718482,0.11704002715639775
A1,7,0,-1,M0,retrieval,2,345,7586.750543535926,7661.168074242777,9100.59652895661,0.09470047835626615
A1,8,0,-1,M0,encoding,0,205,73.91961825095349,73.34712600363082,60.84848849677102,0.020767557769325967
A1,8,0,-1,M0,encoding,1,205,343.19273102447494,342.31944686478005,1079.3996686477315,0.004516927205513002
