dataset,block,model,stage,MSE,zero_MSE,S_delta,n_timepoints
A2,0,M0,encoding,3303.495875021879,3458.4725857971616,0.044810738535769334,205
A2,0,M1,encoding,2606.180106860293,3458.4725857971616,0.24643609506605912,205
A2,0,M2,encoding,1927.297277255844,3458.4725857971616,0.44273165987475627,205
A2,0,M3,encoding,1426.373204551023,3458.4725857971616,0.5875713427919942,205
A2,0,M2_no_feedback,encoding,1927.297277255844,3458.4725857971616,0.44273165987475627,205
A2,0,M2_no_direct_memory,encoding,2590.688565224353,3458.4725857971616,0.25091539662234685,205
A2,0,M0,maintenance,5469.582396593465,5333.097783900344,-0.025591995163700698,363
A2,0,M1,maintenance,8116.073586564816,5333.097783900344,-0.5218310099368084,363
A2,0,M2,maintenance,8909.249584099703,5333.097783900344,-0.670558078082707,363
A2,0,M3,maintenance,5479.4819339322075,5333.097783900344,-0.027448240396748425,363
A2,0,M2_no_feedback,maintenance,8909.249584099703,5333.097783900344,-0.670558078082707,363
A2,0,M2_no_direct_memory,maintenance,7900.223484950299,5333.097783900344,-0.48135732834294576,363
A2,0,M0,retrieval,5539.326418881167,5519.031090471896,-0.0036773354011918613,346
A2,0,M1,retrieval,5972.198213411073,5519.031090471896,-0.08210990579877842,346
A2,0,M2,retrieval,6382.583086044714,5519.031090471896,-0.15646804328818908,346
A2,0,M3,retrieval,6123.267745295323,5519.031090471896,-0.10948237922895321,346
A2,0,M2_no_feedback,retrieval,6382.583086044714,5519.031090471896,-0.15646804328818908,346
A2,0,M2_no_direct_memory,retrieval,5865.931342593708,5519.031090471896,-0.06285528137732421,346
A2,1,M0,encoding,4389.321882941292,4606.89653333601,0.047228030588558734,205
A2,1,M1,encoding,3421.2444758663696,4606.89653333601,0.2573645943402748,205
A2,1,M2,encoding,3412.468515899513,4606.89653333601,0.25926955571792953,205
A2,1,M3,encoding,3885.705969214185,4606.89653333601,0.15654585660937048,205
A2,1,M2_no_feedback,encoding,3412.468515899513,4606.89653333601,0.25926955571792953,205
A2,1,M2_no_direct_memory,encoding,3539.1352727540275,4606.89653333601,0.23177452605144155,205
A2,1,M0,maintenance,7917.085023264039,7500.146412411621,-0.05559072955728528,362
A2,1,M1,maintenance,8229.234168858928,7500.146412411621,-0.09720980316341232,362
