dataset,trial_id,block,gap_s,model,stage,MSE,method
A2,2,0,0.05,M0,encoding,26611.865327414027,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M0,maintenance,216602.77133204744,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M0,retrieval,118366.71069802859,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M1,encoding,15829.870550036425,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M1,maintenance,240636.27449388325,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M1,retrieval,129294.54155260026,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M2,encoding,15404.008574775035,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M2,maintenance,244163.1602423615,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M2,retrieval,148589.66920567193,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M3,encoding,21784.39635391528,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M3,maintenance,213967.10720380553,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M3,retrieval,139907.96176177665,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M2_no_feedback,encoding,15404.008574775035,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M2_no_feedback,maintenance,244163.1602423615,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M2_no_feedback,retrieval,148589.66920567193,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M2_no_direct_memory,encoding,16647.63334269955,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M2_no_direct_memory,maintenance,238894.82642013917,frozen_main_fit_common_trial_rescore
A2,2,0,0.05,M2_no_direct_memory,retrieval,144925.67371200275,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M0,encoding,939.300829591065,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M0,maintenance,26938.44766595443,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M0,retrieval,22671.753782468768,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M1,encoding,2871.6366985720333,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M1,maintenance,18456.09518441601,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M1,retrieval,25488.33376206026,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M2,encoding,3104.0551055537335,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M2,maintenance,17949.36345551695,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M2,retrieval,41574.8615168434,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M3,encoding,1667.1141312917641,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M3,maintenance,27036.050235114977,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M3,retrieval,32265.2130753721,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M2_no_feedback,encoding,3104.0551055537335,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M2_no_feedback,maintenance,17949.36345551695,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M2_no_feedback,retrieval,41574.8615168434,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M2_no_direct_memory,encoding,2579.175505693651,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M2_no_direct_memory,maintenance,19016.36659781497,frozen_main_fit_common_trial_rescore
A2,3,0,0.05,M2_no_direct_memory,retrieval,37017.84955300847,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M0,encoding,975.595972377837,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M0,maintenance,4486.449300277604,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M0,retrieval,4271.502525848665,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M1,encoding,1966.6423274283604,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M1,maintenance,9554.452142022337,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M1,retrieval,7733.688341511077,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M2,encoding,2116.018383243806,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M2,maintenance,9956.57838804694,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M2,retrieval,15757.791580491907,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M3,encoding,1402.0275541102405,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M3,maintenance,4593.628479294674,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M3,retrieval,9898.12017220364,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M2_no_feedback,encoding,2116.018383243806,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M2_no_feedback,maintenance,9956.57838804694,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M2_no_feedback,retrieval,15757.791580491907,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M2_no_direct_memory,encoding,1796.6871385756979,frozen_main_fit_common_trial_rescore
A2,4,0,0.05,M2_no_direct_memory,maintenance,9033.45704522708,frozen_main_fit_common_trial_rescore
