dataset,model,stage,MSE,zero_MSE,baseline_MSE,normalized_MSE,RMSE,NRMSE,S_zero,S_train_baseline,n_trials
A2,M0,encoding,44436.614677503305,44697.977958956806,44431.121155594,0.5015824283761452,210.7999399371435,0.7082248430944408,0.0058473177845649316,-0.0001236413074083842,68
A2,M0,maintenance,103665.5092549778,103906.94634634843,106218.9977643507,1.2176719249262506,321.97128638277326,1.103481728406162,0.0023235895179313237,0.02403984751426358,68
A2,M0,retrieval,119818.06850126635,119659.49333398242,117714.05526161636,1.4107184779202588,346.14746640885056,1.1877367039543145,-0.0013252201130529162,-0.017873933872840198,68
A2,M1,encoding,42175.980552413435,44697.977958956806,44431.121155594,0.47202012391793274,205.36791509973858,0.6870372070841089,0.056423075980286064,0.05075587886434951,68
A2,M1,maintenance,101841.55890446779,103906.94634634843,106218.9977643507,1.1963995228481343,319.1262428952965,1.0938004949935496,0.019877279763339084,0.04121144947718636,68
A2,M1,retrieval,118820.78725030417,119659.49333398242,117714.05526161636,1.3989494417829214,344.70391243834786,1.1827719314318046,0.007009106091877992,-0.009401867824773591,68
A2,M2,encoding,42297.733028762246,44697.977958956806,44431.121155594,0.4737634023116263,205.66412674251737,0.6883047307055402,0.05369918371695792,0.04801562669014836,68
A2,M2,maintenance,103242.22563034542,103906.94634634843,106218.9977643507,1.2130022059765677,321.31328268583206,1.1013637936561052,0.006397269281567808,0.028024856161882772,68
A2,M2,retrieval,119026.8680663484,119659.49333398242,117714.05526161636,1.3961812988993088,345.0027073319112,1.1816011589784892,0.005286879043255643,-0.011152557796215046,68
A2,M3,encoding,42888.23733718078,44697.977958956806,44431.121155594,0.4823106517737536,207.09475448977645,0.6944858902625406,0.04048819889431676,0.03472529565504723,68
A2,M3,maintenance,103492.94450120027,103906.94634634843,106218.9977643507,1.2155311022644182,321.70319317843314,1.1025112708106064,0.003984351958224108,0.025664460412234802,68
A2,M3,retrieval,116311.161085647,119659.49333398242,117714.05526161636,1.3682592176114698,341.04422159838305,1.16972612931894,0.02798216969705747,0.011917813661685983,68
A2,M2_no_feedback,encoding,42355.368782158264,44697.977958956806,44431.121155594,0.47446929547170535,205.80420010815683,0.688817316472013,0.05240973493140122,0.04671843337390991,68
A2,M2_no_feedback,maintenance,103287.40841352408,103906.94634634843,106218.9977643507,1.2135791676195544,321.38358454271446,1.1016256930643704,0.005962430372645766,0.027599482319823898,68
A2,M2_no_feedback,retrieval,119047.02099330115,119659.49333398242,117714.05526161636,1.3963897118947874,345.0319130070451,1.1816893466113618,0.005118460087172427,-0.011323760180738773,68
A2,M2_no_direct_memory,encoding,42332.78146373238,44697.977958956806,44431.121155594,0.4737682474917581,205.74931704317365,0.6883082503441014,0.052915066927551546,0.04722680043371885,68
A2,M2_no_direct_memory,maintenance,101694.61650796556,103906.94634634843,106218.9977643507,1.1946686932811748,318.89593366483297,1.0930090087831732,0.02129145274858335,0.04259484039213568,68
A2,M2_no_direct_memory,retrieval,119087.62346714536,119659.49333398242,117714.05526161636,1.4017094723890005,345.0907467133035,1.1839381201688712,0.004779143308261458,-0.011668684784295946,68
