dataset,stage,control,S_cog,ci_low,ci_high,n_blocks,n_bootstraps
B1,encoding,M0,0.0015962791012208433,-0.015315544843829354,0.02478302781584829,5,2000
B1,encoding,M1,-0.0035511977558357888,-0.011047921460719534,0.00415433737786397,5,2000
B1,encoding,M3,0.00898817083198189,0.00047332672585531643,0.018095255542005972,5,2000
B1,encoding,M2_no_feedback,-0.0008487976226012606,-0.0015721952868457123,0.0005931766133537077,5,2000
B1,encoding,M2_no_direct_memory,-0.002978144978279751,-0.012963126420712845,0.007675146320125559,5,2000
B1,maintenance,M0,-0.004155573272317081,-0.015347585507008432,-8.958446701079481e-05,5,2000
B1,maintenance,M1,-0.0014522453558856174,-0.003101161694847543,0.00014261687018657376,5,2000
B1,maintenance,M3,0.000677130381592006,-0.015187077266431315,0.010063319184146935,5,2000
B1,maintenance,M2_no_feedback,-0.0001535407370965025,-0.0010733238125884004,0.0014223248263656174,5,2000
B1,maintenance,M2_no_direct_memory,-0.0007951148094149652,-0.0028534713428269853,0.0019850296720747007,5,2000
B1,retrieval,M0,-0.0022009864354248787,-0.01079652906449125,0.0017475669414548367,5,2000
B1,retrieval,M1,-0.0014321631039140303,-0.007188902779861506,0.0011082754842786091,5,2000
B1,retrieval,M3,-0.0004077705980400914,-0.006309920528536628,0.005400535855019872,5,2000
B1,retrieval,M2_no_feedback,-0.0006260191710432128,-0.0019646881786608006,8.993870572926443e-05,5,2000
B1,retrieval,M2_no_direct_memory,-0.0012551024899671859,-0.008289765917479208,0.004363447398836429,5,2000
