dataset,block,model,stage,MSE,zero_MSE,S_delta,n_timepoints
B1,0,M0,encoding,682.2873670736984,681.9116682332012,-0.0005509494235089729,205
B1,0,M1,encoding,1013.127347430851,681.9116682332012,-0.4857163979255743,205
B1,0,M2,encoding,1145.9493423788585,681.9116682332012,-0.6804952837190124,205
B1,0,M3,encoding,754.551454830923,681.9116682332012,-0.10652374784248497,205
B1,0,M2_no_feedback,encoding,1165.4145447325664,681.9116682332012,-0.7090403332620729,205
B1,0,M2_no_direct_memory,encoding,1004.632577395185,681.9116682332012,-0.4732591099344836,205
B1,0,M0,maintenance,11313.22390153533,11361.931949329442,0.004286951199086064,362
B1,0,M1,maintenance,10700.026433066745,11361.931949329442,0.058256423222263876,362
B1,0,M2,maintenance,10808.73882907357,11361.931949329442,0.0486882972651953,362
B1,0,M3,maintenance,11375.797327709019,11361.931949329442,-0.0012203363337688344,362
B1,0,M2_no_feedback,maintenance,10788.378200974888,11361.931949329442,0.050480301317805676,362
B1,0,M2_no_direct_memory,maintenance,10664.243953621373,11361.931949329442,0.06140575377669333,362
B1,0,M0,retrieval,59708.38469227213,59693.11862799473,-0.0002557424478446535,267
B1,0,M1,retrieval,59429.11110468319,59693.11862799473,0.004422746363057839,267
B1,0,M2,retrieval,60565.09998551274,59693.11862799473,-0.014607736663117876,267
B1,0,M3,retrieval,61208.30440940878,59693.11862799473,-0.025382922123011076,267
B1,0,M2_no_feedback,retrieval,60104.56875814743,59693.11862799473,-0.006892756478629192,267
B1,0,M2_no_direct_memory,retrieval,59425.03135000521,59693.11862799473,0.004491091840254313,267
B1,1,M0,encoding,18731.793870694346,18785.082687661907,0.0028367624382383827,205
B1,1,M1,encoding,18779.667638274444,18785.082687661907,0.00028826327131470375,205
B1,1,M2,encoding,19589.127996490082,18785.082687661907,-0.042802330029469315,205
B1,1,M3,encoding,22774.32308018804,18785.082687661907,-0.21236214175124601,205
B1,1,M2_no_feedback,encoding,19517.37508000355,18785.082687661907,-0.03898265472222873,205
B1,1,M2_no_direct_memory,encoding,18797.358536205473,18785.082687661907,-0.0006534891939351528,205
B1,1,M0,maintenance,66074.040131241,65997.77797737363,-0.0011555260829161362,362
B1,1,M1,maintenance,66132.20876065872,65997.77797737363,-0.0020368986260594912,362
B1,1,M2,maintenance,66624.82257568507,65997.77797737363,-0.009500995602100826,362
B1,1,M3,maintenance,70879.08424590284,65997.77797737363,-0.0739616759552526,362
B1,1,M2_no_feedback,maintenance,66378.38870300917,65997.77797737363,-0.005767023334725563,362
B1,1,M2_no_direct_memory,maintenance,66110.77951001392,65997.77797737363,-0.001712202078667513,362
B1,1,M0,retrieval,15434.914896321394,15439.796238019238,0.00031615324597511485,277
B1,1,M1,retrieval,15779.10629065696,15439.796238019238,-0.021976329700660102,277
B1,1,M2,retrieval,16317.885872978357,15439.796238019238,-0.05687184088588526,277
B1,1,M3,retrieval,19439.48579649523,15439.796238019238,-0.25905066989336833,277
B1,1,M2_no_feedback,retrieval,16306.518075633476,15439.796238019238,-0.05613557486464793,277
B1,1,M2_no_direct_memory,retrieval,15716.764887468165,15439.796238019238,-0.017938620767993907,277
B1,2,M0,encoding,22720.18425242559,22732.27418136002,0.0005318398343242547,205
B1,2,M1,encoding,22663.090497668585,22732.27418136002,0.003043412336991902,205
B1,2,M2,encoding,22610.22572284708,22732.27418136002,0.005368950661919003,205
B1,2,M3,encoding,22058.72349042635,22732.27418136002,0.029629709969184126,205
B1,2,M2_no_feedback,encoding,22567.025024150786,22732.27418136002,0.007269363192211276,205
B1,2,M2_no_direct_memory,encoding,22683.10658606896,22732.27418136002,0.002162898216817033,205
B1,2,M0,maintenance,39856.273933161196,39915.802392301535,0.001491350682501169,362
B1,2,M1,maintenance,39812.1829204559,39915.802392301535,0.0025959511179867167,362
B1,2,M2,maintenance,39775.973071256696,39915.802392301535,0.00350310685654176,362
B1,2,M3,maintenance,39754.061351987926,39915.802392301535,0.004052055341991712,362
