dataset,trial_id,block,gap_s,model,stage,MSE,method
B2,2,0,0.05,M0,encoding,268610.5415945082,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M0,maintenance,278390.4278253605,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M0,retrieval,342726.86396481586,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M1,encoding,263979.4401629571,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M1,maintenance,271342.422393078,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M1,retrieval,363531.888952309,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M2,encoding,277309.041181475,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M2,maintenance,301664.77397867735,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M2,retrieval,297670.1465413499,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M3,encoding,295933.39616237837,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M3,maintenance,294982.7160905963,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M3,retrieval,293917.1636943899,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M2_no_feedback,encoding,285958.3005521714,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M2_no_feedback,maintenance,313405.7636108226,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M2_no_feedback,retrieval,294912.48546259326,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M2_no_direct_memory,encoding,268272.7069373457,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M2_no_direct_memory,maintenance,272112.2962018944,frozen_main_fit_common_trial_rescore
B2,2,0,0.05,M2_no_direct_memory,retrieval,318516.46934357815,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M0,encoding,15707.832066930116,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M0,maintenance,82226.66360851412,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M0,retrieval,111309.69402198473,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M1,encoding,13195.19130764488,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M1,maintenance,86993.2083617664,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M1,retrieval,151101.61184683943,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M2,encoding,16101.84953787918,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M2,maintenance,103684.91014422428,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M2,retrieval,190597.13594737247,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M3,encoding,22696.993247158312,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M3,maintenance,92180.17361837995,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M3,retrieval,188385.991073036,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M2_no_feedback,encoding,18325.858227758486,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M2_no_feedback,maintenance,114027.54572534947,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M2_no_feedback,retrieval,194249.7055121055,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M2_no_direct_memory,encoding,14720.996546997269,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M2_no_direct_memory,maintenance,84319.79367048129,frozen_main_fit_common_trial_rescore
B2,3,0,0.05,M2_no_direct_memory,retrieval,181440.47859461195,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M0,encoding,11582.555583995925,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M0,maintenance,162751.23829722832,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M0,retrieval,150348.2327835632,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M1,encoding,34723.53198932435,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M1,maintenance,127311.17556030916,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M1,retrieval,279019.64988300134,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M2,encoding,31501.053802497805,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M2,maintenance,121739.24923122593,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M2,retrieval,369894.0442480009,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M3,encoding,14347.264221794852,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M3,maintenance,134609.91207824927,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M3,retrieval,387796.6001429305,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M2_no_feedback,encoding,29342.815701504947,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M2_no_feedback,maintenance,109064.0913049385,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M2_no_feedback,retrieval,362872.4273307912,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M2_no_direct_memory,encoding,27944.940700494408,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M2_no_direct_memory,maintenance,132830.6476983782,frozen_main_fit_common_trial_rescore
B2,4,0,0.05,M2_no_direct_memory,retrieval,290210.3924927769,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M0,encoding,25632.516945023242,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M0,maintenance,80267.38717150039,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M0,retrieval,28970.103321548067,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M1,encoding,30333.753762019263,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M1,maintenance,75923.4464877731,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M1,retrieval,21618.954870087142,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M2,encoding,26233.40391179286,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M2,maintenance,58796.885282753865,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M2,retrieval,22787.056459600626,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M3,encoding,18901.687114376477,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M3,maintenance,68486.37605090596,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M3,retrieval,12956.644979540792,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M2_no_feedback,encoding,23616.486754679838,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M2_no_feedback,maintenance,51882.42379934366,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M2_no_feedback,retrieval,23234.708573838132,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M2_no_direct_memory,encoding,28234.128722791305,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M2_no_direct_memory,maintenance,77408.89240774474,frozen_main_fit_common_trial_rescore
B2,5,0,0.05,M2_no_direct_memory,retrieval,18893.041553914165,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M0,encoding,174524.77176738792,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M0,maintenance,107636.7419754504,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M0,retrieval,16147.466004562035,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M1,encoding,118434.00904293919,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M1,maintenance,126098.251764832,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M1,retrieval,15397.173374432652,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M2,encoding,123110.75776436878,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M2,maintenance,130532.41367155354,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M2,retrieval,26853.18838065339,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M3,encoding,167994.26490407842,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M3,maintenance,127676.25944443952,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M3,retrieval,29171.137238965668,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M2_no_feedback,encoding,128196.22664689049,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M2_no_feedback,maintenance,142707.86221028818,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M2_no_feedback,retrieval,25781.676459718812,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M2_no_direct_memory,encoding,129039.69644442401,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M2_no_direct_memory,maintenance,122919.08767678784,frozen_main_fit_common_trial_rescore
B2,6,0,0.05,M2_no_direct_memory,retrieval,11750.74609132279,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M0,encoding,165035.54007472107,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M0,maintenance,263583.7763645817,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M0,retrieval,372350.1367116615,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M1,encoding,126201.56227278069,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M1,maintenance,249275.74104514782,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M1,retrieval,329206.95035074296,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M2,encoding,128591.45763756425,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M2,maintenance,253424.2857875454,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M2,retrieval,294386.21393491887,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M3,encoding,156156.9625759014,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M3,maintenance,263812.3699349908,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M3,retrieval,288242.4762334762,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M2_no_feedback,encoding,132258.84102770532,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M2_no_feedback,maintenance,257411.35798063866,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M2_no_feedback,retrieval,296272.3015697978,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M2_no_direct_memory,encoding,132633.05980346742,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M2_no_direct_memory,maintenance,253268.79366628823,frozen_main_fit_common_trial_rescore
B2,7,0,0.05,M2_no_direct_memory,retrieval,314425.9013555659,frozen_main_fit_common_trial_rescore
B2,8,0,0.05,M0,encoding,22724.849702510775,frozen_main_fit_common_trial_rescore
