dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B2,2,0,-1,M0,encoding,0,205,10713.344936765163,12526.900900381486,14660.776387364182,0.09270860188119819
B2,2,0,-1,M0,encoding,1,205,312769.9885979512,309291.5878501823,363420.702845186,1.5084850862292092
B2,2,0,-1,M0,encoding,2,205,482348.29124880827,482842.596611469,497691.57070139406,2.4725718832436643
B2,2,0,-1,M0,maintenance,0,362,167313.18915192207,170632.94326292828,93320.42377148996,1.447855168867803
B2,2,0,-1,M0,maintenance,1,362,224730.77707045086,227760.44690903454,388221.7368384468,1.0838732550623522
B2,2,0,-1,M0,maintenance,2,362,443127.31725370866,442683.82240971166,584931.1057105073,2.2715207355706006
B2,2,0,-1,M0,retrieval,0,385,830394.1754289918,829088.4451703458,483036.13857502455,7.1858680429603865
B2,2,0,-1,M0,retrieval,1,385,85972.65501872654,85688.06512004627,95385.07387679485,0.4146448593122059
B2,2,0,-1,M0,retrieval,2,385,80641.8675439223,80529.3886405403,167292.93282647358,0.41337933173792435
B2,3,0,-1,M0,encoding,0,205,7367.299016577735,7662.669012367044,9047.441279627035,0.06375338379367816
B2,3,0,-1,M0,encoding,1,205,18608.5336331226,18160.96509789129,31245.702376139045,0.08974868588892475
B2,3,0,-1,M0,encoding,2,205,21147.663551090005,21209.749401104247,23924.890995969407,0.10840531466866933
B2,3,0,-1,M0,maintenance,0,363,34250.78869958217,32289.857376951837,95935.11998062312,0.2963913467184024
B2,3,0,-1,M0,maintenance,1,363,95948.87429515617,97485.5696408768,211115.9989475403,0.46276001915508685
B2,3,0,-1,M0,maintenance,2,363,116480.32783080399,116295.70667199962,193777.66756849448,0.5970913316595315
B2,3,0,-1,M0,retrieval,0,384,51851.028858028665,52287.77878440152,199700.59427796747,0.4486961280442965
B2,3,0,-1,M0,retrieval,1,384,109689.14186548612,109282.54803143581,292366.6362081737,0.5290291289362206
B2,3,0,-1,M0,retrieval,2,384,166947.62313320962,166955.11177419074,382332.45175930456,0.8557923940495632
B2,4,0,1,M0,encoding,0,205,6936.712593427176,5063.25162117945,3945.20794029761,0.060027277193458156
B2,4,0,1,M0,encoding,1,205,14338.536733875693,12451.152010294712,4799.656631297143,0.06915455321771508
B2,4,0,1,M0,encoding,2,205,13472.417424684905,11407.633957249485,9372.783538567286,0.06906113513402068
B2,4,0,1,M0,maintenance,0,363,99378.0038416072,105842.92710044651,41643.58100273295,0.8599737848711161
B2,4,0,1,M0,maintenance,1,363,190340.59955213932,196669.0314239954,102987.06164692412,0.9180099312450755
B2,4,0,1,M0,maintenance,2,363,198535.11149793846,205835.46913313086,132498.31225916464,1.0177134312127851
B2,4,0,1,M0,retrieval,0,248,51245.407997402086,51963.47985789724,183337.1446514522,0.4434553499688982
B2,4,0,1,M0,retrieval,1,248,217918.87110544264,218073.45816974624,459126.0625755034,1.0510195320978402
B2,4,0,1,M0,retrieval,2,248,169408.27570211378,170055.63181223485,376763.11667820724,0.8684059773599794
B2,5,0,-1,M0,encoding,0,205,20612.846858556917,18668.30540528371,16319.177170823801,0.17837456222380088
B2,5,0,-1,M0,encoding,1,205,17305.86670077961,18142.545021536014,8052.773403419505,0.08346594230290462
B2,5,0,-1,M0,encoding,2,205,38978.83727573319,38842.49293411236,34847.958419515446,0.199809927469596
B2,5,0,-1,M0,maintenance,0,363,81725.82229800524,85459.55937781517,25342.960474916777,0.7072195255132947
B2,5,0,-1,M0,maintenance,1,363,38501.415660664636,37287.56765168842,3096.9166640659764,0.1856917653230517
B2,5,0,-1,M0,maintenance,2,363,120574.92355583137,120794.01841963743,60591.41450569567,0.6180806923489632
B2,5,0,-1,M0,retrieval,0,285,44640.99363818396,44181.587556796236,1449.3095174856298,0.3863036363723324
B2,5,0,-1,M0,retrieval,1,285,2416.3692043710953,2502.6076287564024,38947.39196981979,0.01165411337563739
B2,5,0,-1,M0,retrieval,2,285,42293.75300804391,42343.47930687169,3704.0608866652565,0.2168025603528038
B2,6,0,1,M0,encoding,0,205,101244.86707051491,107231.59100143485,113167.43703320557,0.8761288028302141
B2,6,0,1,M0,encoding,1,205,158341.23074867256,164723.79756531026,204808.48790550043,0.7636774429358247
B2,6,0,1,M0,encoding,2,205,263988.21748297627,272457.7270857589,283499.2771497668,1.3532334537064317
B2,6,0,1,M0,maintenance,0,362,106182.63129833188,98931.28705171628,196163.20533367337,0.9188580550555352
B2,6,0,1,M0,maintenance,1,362,43834.849558399874,40940.627103807885,99073.83631680628,0.21141483910384481
B2,6,0,1,M0,maintenance,2,362,172892.74506961944,165411.62983522625,250741.2602389125,0.8862677613497442
B2,6,0,1,M0,retrieval,0,284,2686.671441725383,2639.2302150984087,48920.841901315966,0.023249279711114287
B2,6,0,1,M0,retrieval,1,284,37740.69364203648,37548.48496961824,1249.7764754274892,0.18202281413943333
B2,6,0,1,M0,retrieval,2,284,6962.4134186848405,6728.5873933045705,27453.284036285906,0.03569011847017934
B2,7,0,1,M0,encoding,0,205,2262.449426920455,2067.0524360570025,2094.635270726578,0.01957824791740962
B2,7,0,1,M0,encoding,1,205,120091.80431048908,125206.75546392566,160786.50504427668,0.5792010179518741
B2,7,0,1,M0,encoding,2,205,372752.3664867537,382800.0177448651,396071.5531626348,1.9107707801793985
B2,7,0,1,M0,maintenance,0,363,468820.43853023875,479332.2261203851,326905.09474780754,4.056967048667833
B2,7,0,1,M0,maintenance,1,363,53515.144798472626,50006.42792825704,126951.96156636962,0.2581027616420784
B2,7,0,1,M0,maintenance,2,363,268415.74576503376,259257.0811663027,365994.6090891068,1.3759294643300795
B2,7,0,1,M0,retrieval,0,297,1074912.1560657406,1072194.2833782984,665998.3913735924,9.30181971383897
B2,7,0,1,M0,retrieval,1,297,1836.8848011180546,1685.2897244922353,35889.77773272038,0.008859268563549906
B2,7,0,1,M0,retrieval,2,297,40829.99546562882,41011.801883531065,169888.44256112678,0.20929917367366546
B2,8,0,1,M0,encoding,0,205,5058.706147039696,5124.182114597277,6205.1962433180715,0.043775830703485286
B2,8,0,1,M0,encoding,1,205,44289.673881826784,46593.86142747045,67420.60323188976,0.2136084501718995
B2,8,0,1,M0,encoding,2,205,18826.169078665855,19758.05749090168,22394.341621882908,0.09650507149633339
B2,8,0,1,M0,maintenance,0,362,6104.816793650952,6536.676610351934,12682.395593754321,0.052828414750093006
B2,8,0,1,M0,maintenance,1,362,27226.253946774486,24897.291958384823,87076.05179300111,0.13131182507856345
B2,8,0,1,M0,maintenance,2,362,10394.509483309579,9237.512595815637,29782.748103581966,0.0532834309871817
B2,8,0,1,M0,retrieval,0,257,4521.113457204979,4365.844592965325,24267.720061994467,0.039123738667776235
B2,8,0,1,M0,retrieval,1,257,23135.81866942069,23018.37336512168,135144.1203422616,0.11158371548680304
B2,8,0,1,M0,retrieval,2,257,5991.665656991115,6031.677083556469,82956.36506659923,0.030713955674886013
B2,9,0,1,M0,encoding,0,205,1931.3588584831623,868.3828803792793,499.59321262264365,0.016713134931965065
