dataset,stage,control,S_cog,ci_low,ci_high,n_blocks,n_bootstraps
A1,encoding,M0,-0.022107921206033554,-0.06465885301215213,0.0006161713385411938,5,2000
A1,encoding,M1,-0.0056613588968079664,-0.014266890064064786,0.0002387924446456413,5,2000
A1,encoding,M3,-0.02055897326913514,-0.08052236583427798,0.005888228068208528,5,2000
A1,encoding,M2_no_feedback,4.3268775027249795e-05,-3.273763941313845e-05,0.00017368825848207425,5,2000
A1,encoding,M2_no_direct_memory,-0.007291814687405251,-0.018071041591092074,0.00012937146367231477,5,2000
A1,maintenance,M0,-0.01262471234545437,-0.030982386297943254,0.0019669217889473067,5,2000
A1,maintenance,M1,-0.0040282752289491075,-0.010703727908024662,0.0015750302026386054,5,2000
A1,maintenance,M3,0.00958765416436036,5.22219276201108e-05,0.01946140298044674,5,2000
A1,maintenance,M2_no_feedback,0.0002679113294361546,-8.086500494486337e-05,0.0006793706564146573,5,2000
A1,maintenance,M2_no_direct_memory,-0.004626333965271234,-0.012503661760204565,0.002346558641308283,5,2000
A1,retrieval,M0,-0.034657885379979936,-0.09686597781501716,0.0035899869415976227,5,2000
A1,retrieval,M1,-0.019611612472515416,-0.05413526428169724,0.002999130694931962,5,2000
A1,retrieval,M3,-0.0007076004864114971,-0.011994962996930703,0.011326569675549902,5,2000
A1,retrieval,M2_no_feedback,-0.0023170167255297525,-0.006214862853740177,0.00044214220673877147,5,2000
A1,retrieval,M2_no_direct_memory,-0.013210247160363453,-0.036119397938181086,0.002280468214984288,5,2000
A2,encoding,M0,0.053290936892899876,-0.03066311386242293,0.2596690759841326,5,2000
A2,encoding,M1,-0.0030747718540184987,-0.009223923551920699,0.01626911353335936,5,2000
A2,encoding,M3,0.016476134348582305,-0.012882411291848417,0.0991434633835595,5,2000
A2,encoding,M2_no_feedback,0.0012855368022243185,0.0,0.004263025647278762,5,2000
A2,encoding,M2_no_direct_memory,0.001597704218674334,-0.008167016826979623,0.032535186459428544,5,2000
A2,maintenance,M0,0.0029624858738046544,-0.027799302503771273,0.02784879500084747,5,2000
A2,maintenance,M1,-0.013647881051004562,-0.0282447745870249,-0.000900363312029917,5,2000
A2,maintenance,M3,0.0012669533738085548,-0.03847993218411073,0.03428209122540549,5,2000
A2,maintenance,M2_no_feedback,0.0003795078743147329,-0.00046237977858490376,0.001491108121497442,5,2000
A2,maintenance,M2_no_direct_memory,-0.015437428433877631,-0.029756330482392457,-0.004572779669361315,5,2000
A2,retrieval,M0,0.006586273834649492,-0.05104829667107526,0.04977138526754987,5,2000
A2,retrieval,M1,-0.00034476475092981573,-0.03441977749059899,0.021279563074572683,5,2000
A2,retrieval,M3,-0.02370605001413484,-0.03507579683122852,-0.010605245952206577,5,2000
A2,retrieval,M2_no_feedback,0.00017343840985473147,0.0,0.0004281046234263508,5,2000
A2,retrieval,M2_no_direct_memory,0.0008652193681858433,-0.021448005052595365,0.019856585357112655,5,2000
B1,encoding,M0,0.0015962791012208433,-0.015315544843829354,0.02571970526451639,5,2000
B1,encoding,M1,-0.0035511977558357888,-0.011116209282364897,0.00415433737786397,5,2000
B1,encoding,M3,0.00898817083198189,0.00047332672585531643,0.018095255542006083,5,2000
B1,encoding,M2_no_feedback,-0.0008487976226012606,-0.0015721952868454903,0.0005886259428750096,5,2000
B1,encoding,M2_no_direct_memory,-0.002978144978279751,-0.012963126420712845,0.008993737521607703,5,2000
