noise_level,model,tau_m,tau_p,delay,feedback,beta,trend_tau,test_normalized_MSE
0.0,M2,1.0,0.3,0.0,0.3,1.0,1.0,0.0001136380113167126
0.0,M2,1.0,0.3,0.05,0.3,1.0,1.0,0.0001333999484959796
0.0,M2,1.0,0.3,0.05,0.1,1.0,1.0,0.00013401261279734198
0.0,M2,1.0,0.3,0.1,0.1,1.0,1.0,0.00013545874786258577
0.0,M2,1.0,0.3,0.0,0.1,1.0,1.0,0.00013690420054557185
0.0,M2,1.0,0.3,0.1,0.3,1.0,1.0,0.00016496474774303253
0.0,M2,1.0,0.3,0.1,0.3,0.5,1.0,0.0001999864858901831
0.0,M2,1.0,0.3,0.1,0.0,1.0,1.0,0.00021378360847514518
0.0,M2,1.0,0.3,0.05,0.0,1.0,1.0,0.0002190220769196825
0.0,M2,1.0,0.3,0.0,0.0,1.0,1.0,0.00022226518590404376
0.5,M2,1.0,0.3,0.1,0.0,2.0,1.0,1.2637267378811783
0.5,M2,1.0,0.3,0.1,0.1,2.0,1.0,1.2642637318438326
0.5,M2,1.0,0.3,0.05,0.0,2.0,1.0,1.2643869815026392
0.5,M2,1.0,0.3,0.05,0.1,2.0,1.0,1.2648161328346588
0.5,M2,1.0,0.3,0.0,0.0,2.0,1.0,1.2652748041135797
0.5,M2,1.0,0.3,0.0,0.1,2.0,1.0,1.2654470479299276
0.5,M2,1.0,0.3,0.05,0.3,2.0,1.0,1.2659807702052934
0.5,M2,1.0,0.3,0.1,0.3,2.0,1.0,1.2660015798413187
0.5,M2,1.0,0.3,0.0,0.3,2.0,1.0,1.266033939402887
0.5,M2,0.5,0.3,0.1,0.3,2.0,1.0,1.2698160179198905
1.0,M2,1.0,0.3,0.1,0.0,2.0,1.0,5.06189857217656
1.0,M2,1.0,0.3,0.1,0.1,2.0,1.0,5.062809920226569
1.0,M2,1.0,0.3,0.05,0.0,2.0,1.0,5.0632085670114915
1.0,M2,1.0,0.3,0.05,0.1,2.0,1.0,5.064152038146839
1.0,M2,1.0,0.3,0.0,0.0,2.0,1.0,5.0651294701022715
1.0,M2,0.5,0.6,0.1,0.3,2.0,1.0,5.065598119973927
1.0,M2,1.0,0.3,0.0,0.1,2.0,1.0,5.065692729144848
1.0,M2,1.0,0.3,0.1,0.3,2.0,1.0,5.065827307260858
1.0,M2,1.0,0.3,0.05,0.3,2.0,1.0,5.066135985884048
1.0,M2,1.0,0.3,0.0,0.3,2.0,1.0,5.0664993736614266
