dataset,block,model,tau_m,tau_p,delay,feedback,beta,trend_tau,lambda_ridge,edf,min_singular,irls_last_change,grid_boundary_parameters
A1,0,M2,0.5,0.1,0.0,0.3,1.0,1.0,10.0,0.6908819138390111,0.054142518816853766,4.0875120396050013e-07,"tau_m,tau_p,delay,feedback"
A1,1,M2,0.5,0.1,0.0,0.3,1.0,1.0,10.0,0.6905336688993731,0.05447923196890125,4.5299440596573495e-07,"tau_m,tau_p,delay,feedback"
A1,2,M2,0.5,0.1,0.0,0.3,1.0,1.0,0.001,8.68185051580863,0.05421370404394314,5.352411253101153e-07,"tau_m,tau_p,delay,feedback"
A1,3,M2,0.5,0.1,0.1,0.0,1.0,1.0,10.0,0.6807588116711494,0.02873880802156076,1.688044774684084e-07,"tau_m,tau_p,delay,feedback"
A1,4,M2,0.5,0.1,0.1,0.0,1.0,1.0,10.0,0.6808471579510802,0.028766956671812238,3.946218544765732e-07,"tau_m,tau_p,delay,feedback"
A2,0,M2,0.5,0.6,0.1,0.0,0.5,1.0,0.001,7.96802884644551,0.03265369880497607,1.5713476853029817e-06,"tau_m,tau_p,delay,feedback,beta"
A2,1,M2,0.5,0.6,0.05,0.0,0.5,1.0,0.001,7.95074115926022,0.03267002671487739,2.34521720432479e-06,"tau_m,tau_p,feedback,beta"
A2,2,M2,4.0,0.3,0.1,0.0,0.5,1.0,0.1,6.349390389834334,0.11243582159989786,3.6372935124928674e-07,"tau_m,delay,feedback,beta"
A2,3,M2,4.0,0.1,0.1,0.1,0.5,1.0,1.0,3.013981514344239,0.10920513404941967,5.23364961826922e-07,"tau_m,tau_p,delay,beta"
A2,4,M2,4.0,0.6,0.1,0.3,0.5,1.0,1.0,3.081177124909784,0.09218118965594559,4.632201775767175e-07,"tau_m,tau_p,delay,feedback,beta"
B1,0,M2,2.0,0.6,0.1,0.3,1.0,1.0,1.0,3.0396528204906494,0.03598929915925485,6.271996187967588e-07,"tau_p,delay,feedback"
B1,1,M2,4.0,0.6,0.05,0.3,1.0,1.0,1.0,3.088834466962201,0.05754070513189319,7.296858411231372e-07,"tau_m,tau_p,feedback"
B1,2,M2,0.5,0.1,0.05,0.3,1.0,1.0,10.0,0.6917822325285892,0.04642075369744405,8.416829802798762e-07,"tau_m,tau_p,feedback"
B1,3,M2,0.5,0.6,0.0,0.3,1.0,1.0,1.0,2.8483643954991558,0.019049852431982615,4.886405545016792e-07,"tau_m,tau_p,delay,feedback"
B1,4,M2,0.5,0.3,0.0,0.3,1.0,1.0,10.0,0.6935514815868553,0.00502568205747807,4.932707867927929e-07,"tau_m,delay,feedback"
B2,0,M2,2.0,0.6,0.0,0.3,0.5,1.0,0.001,8.75009187870947,0.061338508742441636,5.357096142244444e-07,"tau_p,delay,feedback,beta"
B2,1,M2,0.5,0.6,0.0,0.3,2.0,1.0,0.001,7.9575819962847945,0.026999973975940915,8.871238545982152e-07,"tau_m,tau_p,delay,feedback,beta"
B2,2,M2,0.5,0.6,0.1,0.0,1.0,1.0,0.001,8.021369517863658,0.031342773488105484,8.492140098903533e-07,"tau_m,tau_p,delay,feedback"
B2,3,M2,0.5,0.6,0.0,0.3,2.0,1.0,0.001,7.958354101235434,0.02700102993101083,7.05510229015438e-07,"tau_m,tau_p,delay,feedback,beta"
B2,4,M2,4.0,0.6,0.0,0.1,0.5,1.0,0.001,8.808768400673305,0.07385061024999849,1.3285790205763703e-06,"tau_m,tau_p,delay,beta"
