dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,end_s,gap_s,filter_mode,pretarget_only,filter_start_sample,filter_stop_sample,retained,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump
A1,1,0,-1,5162,5214,0.203125,5758,platform_onset_hypothesis,6256,-1.0,,,6256,platform_end_proxy,2.328125,4.2734375,1.9453125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.328125,0.1,causal,True,0,47511,False,block_boundary_24s_buffer,5098,5758,,,
A1,2,0,1,7538,7590,0.203125,8105,platform_onset_hypothesis,8407,1.0,,,8407,platform_end_proxy,2.21484375,3.39453125,1.1796875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,0,47511,True,retained,7474,8105,0.0,1048.5045362171286,9.324739129292652
A1,3,0,-1,9690,9743,0.20703125,10258,platform_onset_hypothesis,10567,-1.0,,,10567,platform_end_proxy,2.21875,3.42578125,1.20703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21875,0.1,causal,True,0,47511,False,quality,9626,10258,0.3444835680751174,1161.8023265780664,13.313594610654036
A1,4,0,-1,11851,11903,0.203125,12418,platform_onset_hypothesis,12771,-1.0,,,12771,platform_end_proxy,2.21484375,3.59375,1.37890625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,0,47511,True,retained,11787,12418,0.011757789535567314,861.5466739988367,9.452890612183154
A1,5,0,1,14055,14107,0.203125,14623,platform_onset_hypothesis,14932,1.0,,,14932,platform_end_proxy,2.21875,3.42578125,1.20703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21875,0.1,causal,True,0,47511,True,retained,13991,14623,0.0,287.67284979785404,9.206681033235583
A1,6,0,-1,16216,16268,0.203125,16783,platform_onset_hypothesis,17086,-1.0,,,17086,platform_end_proxy,2.21484375,3.3984375,1.18359375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,0,47511,True,retained,16152,16783,0.0,721.44763625298,9.00650400256444
A1,7,0,-1,18368,18420,0.203125,18936,platform_onset_hypothesis,19306,-1.0,,,19306,platform_end_proxy,2.21875,3.6640625,1.4453125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21875,0.1,causal,True,0,47511,True,retained,18304,18936,0.0,288.53392451972434,7.835678525755469
A1,8,0,-1,20589,20641,0.203125,21156,platform_onset_hypothesis,21421,-1.0,,,21421,platform_end_proxy,2.21484375,3.25,1.03515625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,0,47511,True,retained,20525,21156,0.0,623.3823620154232,10.254663738963472
A1,9,0,1,22705,22757,0.203125,23272,platform_onset_hypothesis,23572,1.0,,,23572,platform_end_proxy,2.21484375,3.38671875,1.171875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,0,47511,True,retained,22641,23272,0.0,163.22162168869323,7.265338977725648
A1,10,0,1,24854,24906,0.203125,25421,platform_onset_hypothesis,25817,1.0,,,25817,platform_end_proxy,2.21484375,3.76171875,1.546875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,0,47511,True,retained,24790,25421,0.0,199.76831634044666,8.089647536677134
