dataset,block,model,stage,MSE,zero_MSE,S_delta,n_timepoints
A1,0,M0,encoding,1493.7858981447764,1553.7870004773547,0.03861604088214454,205
A1,0,M1,encoding,1436.5734604415484,1553.7870004773547,0.07543732828231664,205
A1,0,M2,encoding,1473.3496986698885,1553.7870004773547,0.05176855114810086,205
A1,0,M3,encoding,1959.2752326541076,1553.7870004773547,-0.26096770796266067,205
A1,0,M0,maintenance,3685.5067447998645,3726.644944459459,0.011038937240521518,362
A1,0,M1,maintenance,3636.5289765905736,3726.644944459459,0.02418152767755999,362
A1,0,M2,maintenance,3669.0578413961352,3726.644944459459,0.015452801090949264,362
A1,0,M3,maintenance,3779.898231463071,3726.644944459459,-0.01428987408172211,362
A1,1,M0,encoding,62.470693246244664,56.94846346706975,-0.09696889859667812,205
A1,1,M1,encoding,75.77828105023735,56.94846346706975,-0.3306466309500322,205
A1,1,M2,encoding,77.6270425597108,56.94846346706975,-0.3631103954999306,205
A1,1,M3,encoding,59.16026783217389,56.94846346706975,-0.03883870135290146,205
A1,1,M0,maintenance,394.37752731385234,400.8889390730507,0.016242433064514783,362
A1,1,M1,maintenance,388.3384594800393,400.8889390730507,0.031306624777503345,362
A1,1,M2,maintenance,387.77019849394196,400.8889390730507,0.03272412705983452,362
A1,1,M3,maintenance,387.5213345024818,400.8889390730507,0.03334490744862639,362
A1,2,M0,encoding,1293.9435320676412,1559.6054979893213,0.17033920838582417,205
A1,2,M1,encoding,1464.9972367713983,1559.6054979893213,0.06066166177273291,205
A1,2,M2,encoding,1517.8505760231653,1559.6054979893213,0.026772746069430586,205
A1,2,M3,encoding,987.38127054569,1559.6054979893213,0.3669031868516466,205
A1,2,M0,maintenance,80851.07590112608,82434.00343866895,0.019202361543929736,362
A1,2,M1,maintenance,78730.26498642213,82434.00343866895,0.0449297413415376,362
A1,2,M2,maintenance,77966.24001228882,82434.00343866895,0.05419806439103925,362
A1,2,M3,maintenance,60156.540573142884,82434.00343866895,0.27024603848217243,362
A1,3,M0,encoding,17555.09657444743,17344.18680013561,-0.01216025730939263,205
A1,3,M1,encoding,17877.70678364927,17344.18680013561,-0.030760737857683296,205
A1,3,M2,encoding,18125.560999903755,17344.18680013561,-0.045051071507257845,205
A1,3,M3,encoding,17961.804861827975,17344.18680013561,-0.03560951394316958,205
A1,3,M0,maintenance,47723.829371251726,48106.897532954965,0.0079628531738265,363
A1,3,M1,maintenance,47271.31169005465,48106.897532954965,0.017369356282597614,363
A1,3,M2,maintenance,47224.699343616456,48106.897532954965,0.018338288989311224,363
A1,3,M3,maintenance,47860.2614077567,48106.897532954965,0.005126834983056439,363
A1,4,M0,encoding,1448.5048025837095,1487.9041525870512,0.026479763454411498,205
A1,4,M1,encoding,1411.4175911204186,1487.9041525870512,0.051405570267173295,205
A1,4,M2,encoding,1421.3597856006331,1487.9041525870512,0.04472355754281343,205
A1,4,M3,encoding,1686.9427106075464,1487.9041525870512,-0.13377108846320684,205
A1,4,M0,maintenance,22135.173533732766,22289.25443220875,0.006912788354792587,363
A1,4,M1,maintenance,21962.960128026643,22289.25443220875,0.014639085626417359,363
A1,4,M2,maintenance,22010.771792325137,22289.25443220875,0.012494031181285004,363
A1,4,M3,maintenance,22105.177478433434,22289.25443220875,0.008258551417014481,363
