dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
A1,2,0,1,M0,encoding,0,205,421.3090041938552,422.81811291075206,511.4531195924576,0.1710898918468243
A1,2,0,1,M0,encoding,1,205,72347.63205016794,72675.77546396322,64021.56250278663,1.2876348799747461
A1,2,0,1,M0,encoding,2,205,112206.94588998788,112730.07936829781,99792.82370737057,1.729363938684075
A1,2,0,1,M0,maintenance,0,362,1009.3232289122777,1006.6197004443605,1705.0775590878281,0.40987731179282416
A1,2,0,1,M0,maintenance,1,362,120625.76915973544,120172.68903493244,104924.17946293092,2.1468836421094286
A1,2,0,1,M0,maintenance,2,362,800581.2769446503,799035.9333558244,752711.2323186898,12.33877617247636
A1,4,0,-1,M0,encoding,0,205,1641.5887344498926,1651.0324066777441,1817.6206700543532,0.6666347888087546
A1,4,0,-1,M0,encoding,1,205,38002.51021965387,38109.57779122622,45224.51633864372,0.6763643300929498
A1,4,0,-1,M0,encoding,2,205,37153.053059405705,37105.272648745005,45831.01016020093,0.5726129488984277
A1,4,0,-1,M0,maintenance,0,362,6746.508532542758,6726.023815539777,8417.060251935685,2.739697950166081
A1,4,0,-1,M0,maintenance,1,362,13853.920709239257,13826.720659053926,14456.437867722932,0.2465704961463149
A1,4,0,-1,M0,maintenance,2,362,111540.42745841967,111565.26495291266,110195.42294494717,1.7190913755118058
A1,5,0,1,M0,encoding,0,205,111.90313276621437,111.03327415518118,80.5767437958299,0.04544288085873213
A1,5,0,1,M0,encoding,1,205,18139.265937434968,17945.32660479321,22909.492657979023,0.32284058035213686
A1,5,0,1,M0,encoding,2,205,43447.58918993795,43044.30590487275,52348.69422152261,0.6696260500798739
A1,5,0,1,M0,maintenance,0,363,270.97361997731,270.94345967771807,454.0200394765904,0.11004001071367708
A1,5,0,1,M0,maintenance,1,363,7067.109973908567,7169.044879998665,9894.751035870813,0.1257796149666928
A1,5,0,1,M0,maintenance,2,363,95595.5966989818,96187.64712850118,113452.04596099514,1.4733453113525732
A1,6,0,-1,M0,encoding,0,205,62.038734845528296,61.70509638837528,68.89019765753893,0.025193386159274623
A1,6,0,-1,M0,encoding,1,205,41994.71166966279,42106.31207949606,49614.3106913724,0.7474170748649236
A1,6,0,-1,M0,encoding,2,205,81654.64063181626,81576.55387173094,94612.50060025198,1.2584835084391204
A1,6,0,-1,M0,maintenance,0,362,941.5828884886682,936.4228198451406,1530.1436393708943,0.3823685536096982
A1,6,0,-1,M0,maintenance,1,362,57351.296486809304,57376.304593775836,51285.07932223722,1.0207318149263098
A1,6,0,-1,M0,maintenance,2,362,44383.15734972252,44389.12989779392,41608.480335126515,0.6840452807690216
A1,7,0,-1,M0,encoding,0,205,68.10429978736146,68.81876553416949,80.84516082971453,0.027656558888928946
A1,7,0,-1,M0,encoding,1,205,3658.743242777188,3638.1866088842257,2017.652142997295,0.06511789374122137
A1,7,0,-1,M0,encoding,2,205,6378.8531301772855,6392.982188654882,3792.8863523157643,0.0983126176904076
A1,7,0,-1,M0,maintenance,0,363,96.07488990805419,95.09881273844437,301.2476829049241,0.039015170243077095
A1,7,0,-1,M0,maintenance,1,363,11655.817700338706,11706.198964109757,7306.319451719135,0.20744891021693518
A1,7,0,-1,M0,maintenance,2,363,44736.76506328126,44694.617444834694,34456.17310292099,0.6894951789319088
A1,8,0,-1,M0,encoding,0,205,73.79345364673212,73.34712600363082,60.84848849677102,0.02996687437900997
A1,8,0,-1,M0,encoding,1,205,338.90566011158484,342.31944686478005,1079.3996686477315,0.006031804174018293
A1,8,0,-1,M0,encoding,2,205,682.9154182486562,681.2573689467138,1836.2824475213783,0.010525277986342188
A1,8,0,-1,M0,maintenance,0,362,176.70322897326358,179.48875708075855,74.60124168407958,0.0717576316505918
A1,8,0,-1,M0,maintenance,1,362,18596.410907583864,18608.32043445226,20426.466680471793,0.33097679424177134
A1,8,0,-1,M0,maintenance,2,362,49141.071563906175,49150.852536212304,56313.102708273036,0.7573755474481345
A1,9,0,1,M0,encoding,0,205,61.289687195433515,60.89160109143923,55.39622149450274,0.024889204477499153
A1,9,0,1,M0,encoding,1,205,2302.684249059997,2256.8311170498882,4009.3365733915475,0.04098291087954446
A1,9,0,1,M0,encoding,2,205,115.67299036731832,133.6175019023245,225.32030832638188,0.0017827835579547677
A1,9,0,1,M0,maintenance,0,362,474.7185147367266,476.37254875518425,180.55008073158294,0.19277902569255415
A1,9,0,1,M0,maintenance,1,362,5955.272208067228,6052.457410062766,9214.176336233064,0.10599125358428073
A1,9,0,1,M0,maintenance,2,362,249.97941827667665,238.52348518827804,664.9495075209298,0.003852750718344626
A1,10,0,1,M0,encoding,0,205,115.21379937069187,116.17689838659756,128.83113823778254,0.04678731353323611
A1,10,0,1,M0,encoding,1,205,495.56328664511454,480.5922967269523,1471.5477341447076,0.00881997869227693
A1,10,0,1,M0,encoding,2,205,380.99214078055905,435.6430556349127,129.47419700662198,0.005871954396066813
A1,10,0,1,M0,maintenance,0,362,84.2374817324724,84.31903479888761,191.6371193592785,0.03420810259356841
A1,10,0,1,M0,maintenance,1,362,4897.062855664141,4974.449261361922,8612.84088722734,0.08715736457012688
A1,10,0,1,M0,maintenance,2,362,5516.694318399677,5594.20117988077,9574.381112261788,0.08502479181937171
A1,11,0,1,M0,encoding,0,205,155.6216454069657,155.18378224554513,126.15681487165213,0.06319658544361806
A1,11,0,1,M0,encoding,1,205,101166.29741084906,100779.25339389872,111826.2001606457,1.800546189732629
