dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,end_s,gap_s,filter_mode,pretarget_only,filter_start_sample,filter_stop_sample,retained,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump
A1,1,0,-1,5162,5214,0.203125,5758,platform_onset_hypothesis,6256,-1.0,,,6256,platform_end_proxy,2.328125,4.2734375,1.9453125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,4.1734375,0.1,zero_phase,False,0,47511,False,block_boundary_24s_buffer,5098,6231,,,
A1,2,0,1,7538,7590,0.203125,8105,platform_onset_hypothesis,8407,1.0,,,8407,platform_end_proxy,2.21484375,3.39453125,1.1796875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.29453125,0.1,zero_phase,False,0,47511,True,retained,7474,8382,0.0,229.04327873185525,6.06531196083057
A1,3,0,-1,9690,9743,0.20703125,10258,platform_onset_hypothesis,10567,-1.0,,,10567,platform_end_proxy,2.21875,3.42578125,1.20703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.32578125,0.1,zero_phase,False,0,47511,False,quality,9626,10542,0.24608763693270735,1115.9685179726964,15.681871152928238
A1,4,0,-1,11851,11903,0.203125,12418,platform_onset_hypothesis,12771,-1.0,,,12771,platform_end_proxy,2.21484375,3.59375,1.37890625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.49375,0.1,zero_phase,False,0,47511,False,quality,11787,12746,0.06480446927374302,1220.9901983242576,11.093275365322654
A1,5,0,1,14055,14107,0.203125,14623,platform_onset_hypothesis,14932,1.0,,,14932,platform_end_proxy,2.21875,3.42578125,1.20703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.32578125,0.1,zero_phase,False,0,47511,True,retained,13991,14907,0.0,371.3358904520595,7.744585213963788
A1,6,0,-1,16216,16268,0.203125,16783,platform_onset_hypothesis,17086,-1.0,,,17086,platform_end_proxy,2.21484375,3.3984375,1.18359375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.2984375,0.1,zero_phase,False,0,47511,True,retained,16152,17061,0.0,628.910208096082,8.216583935761719
A1,7,0,-1,18368,18420,0.203125,18936,platform_onset_hypothesis,19306,-1.0,,,19306,platform_end_proxy,2.21875,3.6640625,1.4453125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.5640625,0.1,zero_phase,False,0,47511,True,retained,18304,19281,0.0,442.74692483797975,9.484340079220317
A1,8,0,-1,20589,20641,0.203125,21156,platform_onset_hypothesis,21421,-1.0,,,21421,platform_end_proxy,2.21484375,3.25,1.03515625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.15,0.1,zero_phase,False,0,47511,True,retained,20525,21396,0.0,647.2306606370373,8.401935041681725
A1,9,0,1,22705,22757,0.203125,23272,platform_onset_hypothesis,23572,1.0,,,23572,platform_end_proxy,2.21484375,3.38671875,1.171875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.28671875,0.1,zero_phase,False,0,47511,True,retained,22641,23547,0.0,435.49107973068465,6.885686272818035
A1,10,0,1,24854,24906,0.203125,25421,platform_onset_hypothesis,25817,1.0,,,25817,platform_end_proxy,2.21484375,3.76171875,1.546875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.66171875,0.1,zero_phase,False,0,47511,True,retained,24790,25792,0.0,162.79793130134877,7.607641577058189
A1,11,0,1,27102,27154,0.203125,27669,platform_onset_hypothesis,27970,1.0,,,27970,platform_end_proxy,2.21484375,3.390625,1.17578125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.290625,0.1,zero_phase,False,0,47511,True,retained,27038,27945,0.0,752.7502538694071,9.769990001233936
A1,12,0,1,29254,29307,0.20703125,29822,platform_onset_hypothesis,30096,1.0,,,30096,platform_end_proxy,2.21875,3.2890625,1.0703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.1890625,0.1,zero_phase,False,0,47511,True,retained,29190,30071,0.0,148.9282223638486,7.796629507190488
A1,13,0,-1,31379,31431,0.203125,31946,platform_onset_hypothesis,32238,-1.0,,,32238,platform_end_proxy,2.21484375,3.35546875,1.140625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.25546875,0.1,zero_phase,False,0,47511,True,retained,31315,32213,0.0,65.51392666823608,8.44222242472222
A1,14,0,-1,33520,33572,0.203125,34087,platform_onset_hypothesis,34391,-1.0,,,34391,platform_end_proxy,2.21484375,3.40234375,1.1875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.30234375,0.1,zero_phase,False,0,47511,False,quality,33456,34366,0.09613869188337273,1040.031668820604,10.555575659819056
A1,15,0,1,35676,35728,0.203125,36243,platform_onset_hypothesis,36507,1.0,,,36507,platform_end_proxy,2.21484375,3.24609375,1.03125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.14609375,0.1,zero_phase,False,0,47511,False,quality,35612,36482,0.07650951199338296,1007.025695579732,17.849876877911015
A1,16,0,-1,37789,37841,0.203125,38356,platform_onset_hypothesis,38614,-1.0,,,38614,platform_end_proxy,2.21484375,3.22265625,1.0078125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.12265625,0.1,zero_phase,False,0,47511,True,retained,37725,38589,0.0,154.7932750012805,10.186178076940934
A1,17,0,1,39897,39949,0.203125,40465,platform_onset_hypothesis,40824,1.0,,,40824,platform_end_proxy,2.21875,3.62109375,1.40234375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.52109375,0.1,zero_phase,False,0,47511,True,retained,39833,40799,0.0,302.2219427081376,8.46381090325724
A1,18,0,-1,42110,42162,0.203125,42677,platform_onset_hypothesis,42997,-1.0,,,42997,platform_end_proxy,2.21484375,3.46484375,1.25,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.36484375,0.1,zero_phase,False,0,47511,False,block_boundary_24s_buffer,42046,42972,,,
A1,19,0,-1,44282,44334,0.203125,44849,platform_onset_hypothesis,45160,-1.0,,,45160,platform_end_proxy,2.21484375,3.4296875,1.21484375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.3296875,0.1,zero_phase,False,0,47511,False,block_boundary_24s_buffer,44218,45135,,,
A1,20,0,1,46443,46495,0.203125,47010,platform_onset_hypothesis,47295,1.0,,,47295,platform_end_proxy,2.21484375,3.328125,1.11328125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.228125,0.1,zero_phase,False,0,47511,False,block_boundary_24s_buffer,46379,47270,,,
A1,21,1,-1,48579,48631,0.203125,49147,platform_onset_hypothesis,49392,-1.0,,,49392,platform_end_proxy,2.21875,3.17578125,0.95703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.07578125,0.1,zero_phase,False,47511,90403,False,block_boundary_24s_buffer,48515,49367,,,
A1,22,1,-1,50676,50728,0.203125,51243,platform_onset_hypothesis,51571,-1.0,,,51571,platform_end_proxy,2.21484375,3.49609375,1.28125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.39609375,0.1,zero_phase,False,47511,90403,False,block_boundary_24s_buffer,50612,51546,,,
A1,23,1,1,52856,52908,0.203125,53423,platform_onset_hypothesis,53716,1.0,,,53716,platform_end_proxy,2.21484375,3.359375,1.14453125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.259375,0.1,zero_phase,False,47511,90403,False,block_boundary_24s_buffer,52792,53691,,,
A1,24,1,-1,55001,55053,0.203125,55568,platform_onset_hypothesis,55850,-1.0,,,55850,platform_end_proxy,2.21484375,3.31640625,1.1015625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.21640625,0.1,zero_phase,False,47511,90403,True,retained,54937,55825,0.0,177.18236687387156,6.749152353985963
