dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
A1,2,0,1,M0,encoding,0,205,73.40553365253369,75.48951626221888,56.4441348505898,0.033649225499954784
A1,2,0,1,M0,encoding,1,205,15505.519518053397,14989.670557827021,13754.049021237906,0.2914157631310625
A1,2,0,1,M0,encoding,2,205,17797.012254125737,18233.37031217802,20844.71182860111,0.25740971157515363
A1,2,0,1,M0,maintenance,0,362,173.80332164916715,173.61034168514135,247.21874200705167,0.07967174777990509
A1,2,0,1,M0,maintenance,1,362,39330.672999759634,39360.52484611001,55558.799407637365,0.7391934254984669
A1,2,0,1,M0,maintenance,2,362,19386.27897288091,19371.020148598873,11317.812667979873,0.28039630515891223
A1,2,0,1,M0,retrieval,0,277,299.0789309639154,303.8220093314653,236.03253982980374,0.13709830702855785
A1,2,0,1,M0,retrieval,1,277,27065.897894310467,26602.43114240216,57480.150031325735,0.5086852640128829
A1,2,0,1,M0,retrieval,2,277,1391.2404357905536,1433.2388160795965,3732.7700609548565,0.02012241123368995
A1,5,0,1,M0,encoding,0,205,146.05674546382647,139.78719625380737,183.00981281341674,0.06695266854356774
A1,5,0,1,M0,encoding,1,205,20558.687797894392,21204.078394617485,22892.499738931143,0.3863866468080006
A1,5,0,1,M0,encoding,2,205,7063.64410337285,7324.34928770187,8886.66137997106,0.10216605828864504
A1,5,0,1,M0,maintenance,0,363,802.5568883037929,802.7504647730461,642.2157722395722,0.3678934865988026
A1,5,0,1,M0,maintenance,1,363,81722.93097621434,81676.38389252755,61790.90576587679,1.535927272092492
A1,5,0,1,M0,maintenance,2,363,46357.804552263966,46327.578311834564,33197.56702364177,0.6705029433403514
A1,5,0,1,M0,retrieval,0,284,913.4896258070924,906.9067672330789,1037.2792563857893,0.41874524822817905
A1,5,0,1,M0,retrieval,1,284,67576.60999954352,68339.18471211624,34961.06968864612,1.2700567272124177
A1,5,0,1,M0,retrieval,2,284,62347.11432135631,62949.36041455147,37025.654858859096,0.901766683409627
A1,6,0,-1,M0,encoding,0,205,278.9508828011787,263.37028637200376,313.1249105961504,0.1278715744131687
A1,6,0,-1,M0,encoding,1,205,127012.93223089693,129601.71718878632,133718.5469974978,2.38712224575804
A1,6,0,-1,M0,encoding,2,205,179871.7592922864,182309.49613272672,189994.87512622864,2.6016017193677765
A1,6,0,-1,M0,maintenance,0,362,759.3054817861502,759.284080877074,598.5353702426893,0.3480669659172499
A1,6,0,-1,M0,maintenance,1,362,350288.3202779913,350224.03598058247,307383.34801222914,6.583432309433781
