dataset,block,model,stage,MSE,zero_MSE,S_delta,n_timepoints
A2,0,M0,encoding,1379.635007641846,2524.2494793678597,0.4534474429257508,205
A2,0,M1,encoding,3122.4740035613127,2524.2494793678597,-0.23699104588634579,205
A2,0,M2,encoding,1856.8518536241384,2524.2494793678597,0.26439447891293844,205
A2,0,M3,encoding,1279.9681328837903,2524.2494793678597,0.49293120852526473,205
A2,0,M0,maintenance,12133.322298401405,12194.134972817119,0.004987042914587736,363
A2,0,M1,maintenance,9488.360959620984,12194.134972817119,0.22189142724988553,363
A2,0,M2,maintenance,7226.767231512671,12194.134972817119,0.4073571231069353,363
A2,0,M3,maintenance,5384.688771262164,12194.134972817119,0.5584197826852346,363
A2,0,M0,retrieval,40580.49376823235,41055.32250588996,0.011565582942126174,346
A2,0,M1,retrieval,38935.83186693827,41055.32250588996,0.051625234186082,346
A2,0,M2,retrieval,31212.58972790842,41055.32250588996,0.23974316062355772,346
A2,0,M3,retrieval,22482.186161483405,41055.32250588996,0.45239289842972197,346
A2,1,M0,encoding,1787.5565828018262,2081.6958768185536,0.14129791834254835,205
A2,1,M1,encoding,1013.5044874310244,2081.6958768185536,0.5131351804472233,205
A2,1,M2,encoding,1033.884756042784,2081.6958768185536,0.5033449566019867,205
A2,1,M3,encoding,1381.7456194813865,2081.6958768185536,0.33624040145907286,205
A2,1,M0,maintenance,46054.53194730675,46181.81156015878,0.0027560550041703102,362
A2,1,M1,maintenance,38976.49183269857,46181.81156015878,0.1560207251305894,362
A2,1,M2,maintenance,36551.421413048156,46181.81156015878,0.20853210001443068,362
A2,1,M3,maintenance,34243.19471310669,46181.81156015878,0.2585133939906241,362
A2,1,M0,retrieval,181537.31980287365,182507.31865779238,0.005314849081408668,301
A2,1,M1,retrieval,179366.84740316874,182507.31865779238,0.017207371615119316,301
A2,1,M2,retrieval,167104.90720334018,182507.31865779238,0.08439339072934526,301
A2,1,M3,retrieval,161054.99785215902,182507.31865779238,0.1175422496116838,301
A2,2,M0,encoding,26235.10417373656,21627.582727888075,-0.21303913173372035,205
A2,2,M1,encoding,34501.99686441403,21627.582727888075,-0.5952775351045039,205
A2,2,M2,encoding,30704.978847008882,21627.582727888075,-0.41971385491064583,205
A2,2,M3,encoding,30263.263171782957,21627.582727888075,-0.3992901357746028,205
A2,2,M0,maintenance,33890.4510386515,33759.53980425592,-0.0038777552998243703,363
A2,2,M1,maintenance,50005.6925023078,33759.53980425592,-0.48123146204747136,363
A2,2,M2,maintenance,116007.2086664084,33759.53980425592,-2.4362793254599957,363
A2,2,M3,maintenance,107771.59415562572,33759.53980425592,-2.192330072640369,363
A2,2,M0,retrieval,17668.88721172485,17340.35685132825,-0.018945997663908143,355
A2,2,M1,retrieval,18456.58765997677,17340.35685132825,-0.06437184760491332,355
A2,2,M2,retrieval,52493.02946610931,17340.35685132825,-2.027217370217407,355
A2,2,M3,retrieval,69560.75729387486,17340.35685132825,-3.01149514339704,355
A2,3,M0,encoding,2023.6494602975988,3246.422767123498,0.37665251710557124,205
A2,3,M1,encoding,460.78315892464025,3246.422767123498,0.8580643397431202,205
A2,3,M2,encoding,697.6541930939559,3246.422767123498,0.7851006344093273,205
A2,3,M3,encoding,609.3200432164975,3246.422767123498,0.8123103221838273,205
A2,3,M0,maintenance,54254.380299973054,54334.584468339315,0.0014761163474618089,362
A2,3,M1,maintenance,45655.91958102804,54334.584468339315,0.15972635057820894,362
A2,3,M2,maintenance,39046.244676532224,54334.584468339315,0.2813740077595621,362
A2,3,M3,maintenance,25080.452602985846,54334.584468339315,0.5384072069677797,362
A2,3,M0,retrieval,11813.405650816989,12010.787426924424,0.016433708223406507,340
A2,3,M1,retrieval,11469.9039313263,12010.787426924424,0.045033141989144876,340
A2,3,M2,retrieval,9124.9047448837,12010.787426924424,0.24027422844662782,340
A2,3,M3,retrieval,11349.28383067339,12010.787426924424,0.05507578918332612,340
A2,4,M0,encoding,22867.342273976705,25664.058678326524,0.1089740496389866,205
A2,4,M1,encoding,17262.469620212883,25664.058678326524,0.3273679024592022,205
A2,4,M2,encoding,18370.756207692793,25664.058678326524,0.2841835175818459,205
A2,4,M3,encoding,18382.35057939608,25664.058678326524,0.2837317429093902,205
A2,4,M0,maintenance,110891.15530177778,111034.02745672934,0.0012867420755969805,362
A2,4,M1,maintenance,97659.2805491241,111034.02745672934,0.12045628906703809,362
A2,4,M2,maintenance,89608.85032128327,111034.02745672934,0.19296046109644716,362
A2,4,M3,maintenance,82354.82091130789,111034.02745672934,0.2582920497646356,362
A2,4,M0,retrieval,52172.12947554584,52374.83855219259,0.003870352296069579,300
A2,4,M1,retrieval,51218.82776103035,52374.83855219259,0.022071873119193564,300
A2,4,M2,retrieval,45713.002008146745,52374.83855219259,0.12719536189896197,300
A2,4,M3,retrieval,39345.74162529417,52374.83855219259,0.24876634061438985,300
