dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,end_s,gap_s,filter_mode,pretarget_only,filter_start_sample,filter_stop_sample,retained,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump
B1,1,0,-1,5154,5207,0.20703125,5726,platform_onset_hypothesis,6204,-1.0,,,6204,platform_end_proxy,2.234375,4.1015625,1.8671875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.234375,0.1,causal,True,0,47236,False,block_boundary_24s_buffer,5090,5726,,,
B1,2,0,-1,7486,7539,0.20703125,8054,platform_onset_hypothesis,8363,-1.0,,,8363,platform_end_proxy,2.21875,3.42578125,1.20703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21875,0.1,causal,True,0,47236,True,retained,7422,8054,0.0,213.5820927136397,14.645211631260707
B1,3,0,1,9647,9699,0.203125,10214,platform_onset_hypothesis,10493,1.0,,,10493,platform_end_proxy,2.21484375,3.3046875,1.08984375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,0,47236,True,retained,9583,10214,0.0,652.3316919939294,10.257333585686638
B1,4,0,-1,11776,11828,0.203125,12343,platform_onset_hypothesis,12604,-1.0,,,12604,platform_end_proxy,2.21484375,3.234375,1.01953125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,0,47236,True,retained,11712,12343,0.0,513.5982853790662,9.847247604584027
B1,5,0,1,13888,13940,0.203125,14455,platform_onset_hypothesis,14763,1.0,,,14763,platform_end_proxy,2.21484375,3.41796875,1.203125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,0,47236,True,retained,13824,14455,0.0,989.5622720278886,11.745304126409792
B1,6,0,1,16049,16101,0.203125,16616,platform_onset_hypothesis,16950,1.0,,,16950,platform_end_proxy,2.21484375,3.51953125,1.3046875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,0,47236,False,quality,15985,16616,0.36331569664902996,2340.6521751954638,545.0526440522573
B1,7,0,1,18233,18285,0.203125,18800,platform_onset_hypothesis,19092,1.0,,,19092,platform_end_proxy,2.21484375,3.35546875,1.140625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,0,47236,True,retained,18169,18800,0.0,280.3855321312443,12.159892003285734
B1,8,0,-1,20378,20430,0.203125,20945,platform_onset_hypothesis,21193,-1.0,,,21193,platform_end_proxy,2.21484375,3.18359375,0.96875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,0,47236,True,retained,20314,20945,0.0,115.6762154331757,9.135866807742374
B1,9,0,-1,22478,22530,0.203125,23046,platform_onset_hypothesis,23499,-1.0,,,23499,platform_end_proxy,2.21875,3.98828125,1.76953125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21875,0.1,causal,True,0,47236,True,retained,22414,23046,0.0,79.32661173413331,9.380814101857975
B1,10,0,-1,24782,24835,0.20703125,25350,platform_onset_hypothesis,25681,-1.0,,,25681,platform_end_proxy,2.21875,3.51171875,1.29296875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21875,0.1,causal,True,0,47236,True,retained,24718,25350,0.0,308.0457339014393,9.573771080038853
B1,11,0,1,26963,27015,0.203125,27530,platform_onset_hypothesis,27820,1.0,,,27820,platform_end_proxy,2.21484375,3.34765625,1.1328125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,0,47236,True,retained,26899,27530,0.0,210.78631179920177,9.53427960573623
