dataset,block,model,stage,MSE,zero_MSE,S_delta,n_timepoints
B1,0,M0,encoding,685.2255282582781,681.9116682332012,-0.004859661711996921,205
B1,0,M1,encoding,938.1993497743589,681.9116682332012,-0.3758370672922875,205
B1,0,M2,encoding,723.8081988694834,681.9116682332012,-0.061439820709966675,205
B1,0,M3,encoding,684.8717044331636,681.9116682332012,-0.0043407912459272335,205
B1,0,M0,maintenance,11319.750979333372,11361.931949329442,0.0037124821891368898,362
B1,0,M1,maintenance,10508.147104175705,11361.931949329442,0.0751443371568623,362
B1,0,M2,maintenance,11129.555011968932,11361.931949329442,0.020452238087398933,362
B1,0,M3,maintenance,11205.87682763139,11361.931949329442,0.013734910787532306,362
B1,1,M0,encoding,18730.915762854933,18785.082687661907,0.002883507392945961,205
B1,1,M1,encoding,18759.040432992202,18785.082687661907,0.0013863263261976178,205
B1,1,M2,encoding,21977.522483558194,18785.082687661907,-0.16994547476722532,205
B1,1,M3,encoding,24924.64588384763,18785.082687661907,-0.32683184302500856,205
B1,1,M0,maintenance,66081.47025773718,65997.77797737363,-0.001268107547382158,362
B1,1,M1,maintenance,66163.74729175887,65997.77797737363,-0.002514771246422187,362
B1,1,M2,maintenance,71647.93707725457,65997.77797737363,-0.08561135348856763,362
B1,1,M3,maintenance,72568.14993181475,65997.77797737363,-0.09955444191914586,362
B1,2,M0,encoding,22723.595191102588,22732.27418136002,0.0003817915527584148,205
B1,2,M1,encoding,22682.040086337485,22732.27418136002,0.00220981388055419,205
B1,2,M2,encoding,22634.51681856566,22732.27418136002,0.0043003776047413345,205
B1,2,M3,encoding,22510.180298893352,22732.27418136002,0.009769980807673773,205
B1,2,M0,maintenance,39858.207193219285,39915.802392301535,0.0014429172315313377,362
B1,2,M1,maintenance,39823.85674589464,39915.802392301535,0.0023034898685796446,362
B1,2,M2,maintenance,39811.34561876359,39915.802392301535,0.0026169278149872355,362
B1,2,M3,maintenance,39808.81805117438,39915.802392301535,0.002680250294750164,362
B1,3,M0,encoding,5784.570693138183,5698.6406675042035,-0.015079039133663041,205
B1,3,M1,encoding,5926.560319896569,5698.6406675042035,-0.0399954420169093,205
B1,3,M2,encoding,6055.941866128972,5698.6406675042035,-0.06269937331936615,205
B1,3,M3,encoding,6098.004565430072,5698.6406675042035,-0.07008055450893602,205
B1,3,M0,maintenance,5469.434135015195,5541.738059057895,0.013047156554886197,362
B1,3,M1,maintenance,5404.847373530006,5541.738059057895,0.02470176036273375,362
B1,3,M2,maintenance,5351.664249308918,5541.738059057895,0.03429859147498027,362
B1,3,M3,maintenance,5422.214073112341,5541.738059057895,0.021567960208836223,362
B1,4,M0,encoding,4269.805252935078,4312.4301257781535,0.009884188636073099,205
B1,4,M1,encoding,4180.851244327615,4312.4301257781535,0.030511539343909044,205
B1,4,M2,encoding,4132.9736727340005,4312.4301257781535,0.0416137648170638,205
B1,4,M3,encoding,4226.905648294685,4312.4301257781535,0.01983208422838756,205
B1,4,M0,maintenance,17751.574800308925,17644.021184892114,-0.006095754153191857,363
B1,4,M1,maintenance,17851.372723301585,17644.021184892114,-0.01175194340545338,363
B1,4,M2,maintenance,17878.436977180525,17644.021184892114,-0.013285848494057229,363
B1,4,M3,maintenance,17807.40406180277,17644.021184892114,-0.009259956967777372,363
