dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B1,2,0,-1,M0,encoding,0,205,966.4839839899201,1028.0596442798471,1150.1446171810605,0.015008324749873871
B1,2,0,-1,M0,encoding,1,205,2433.8615952940213,2427.5414767490415,861.3043737150209,0.03711657257278986
B1,2,0,-1,M0,encoding,2,205,329.37404210542644,275.2097722087127,1454.514898301205,0.004802454010930027
B1,2,0,-1,M0,maintenance,0,363,1010.3867307467586,971.5772713016715,3267.8692362465126,0.015690081190387194
B1,2,0,-1,M0,maintenance,1,363,21087.43959807428,21111.310490446205,13120.17498387342,0.3215850415363055
B1,2,0,-1,M0,maintenance,2,363,1758.1609876869293,1776.3728806535803,1435.7558328932482,0.025634950566247698
B1,3,0,1,M0,encoding,0,205,27226.67118880281,27073.834143808774,26492.947717736857,0.42279720081098493
B1,3,0,1,M0,encoding,1,205,58078.005651542226,58172.96910128798,45341.12129430885,0.8856939588579825
B1,3,0,1,M0,encoding,2,205,129818.75957147479,130412.34894993603,111778.51956338949,1.8928286473723874
B1,3,0,1,M0,maintenance,0,362,138079.41437713426,138451.38069961197,117859.47665975617,2.1442059326107237
B1,3,0,1,M0,maintenance,1,362,167017.79080667126,166856.30089315234,142390.90765913122,2.5470338845105793
B1,3,0,1,M0,maintenance,2,362,485765.1606162062,484578.61190955836,529445.2697527512,7.0827222116813395
B1,4,0,-1,M0,encoding,0,205,66055.78495136986,65704.85582198881,64780.75935849698,1.0257662709166322
B1,4,0,-1,M0,encoding,1,205,37863.36604228646,37830.415592298974,27552.3255268929,0.5774191828639537
B1,4,0,-1,M0,encoding,2,205,50374.66689982582,51251.20817148876,39640.09870766429,0.7344902456669548
B1,4,0,-1,M0,maintenance,0,362,284559.9177360063,285328.6145673192,255191.16092851805,4.418870593745832
B1,4,0,-1,M0,maintenance,1,362,46476.26925184345,46513.579505836446,34273.31392968702,0.708766605272054
B1,4,0,-1,M0,maintenance,2,362,79891.29448892396,78740.82239533214,97220.33980925562,1.1648588492408212
B1,5,0,1,M0,encoding,0,205,27567.442001690426,27761.7681547819,28386.409421524346,0.4280889584705192
B1,5,0,1,M0,encoding,1,205,32804.74737348527,32711.2184616875,44315.727069018765,0.500274867303172
B1,5,0,1,M0,encoding,2,205,44666.34314204052,44203.480253441034,57039.79526879068,0.6512597574626399
B1,5,0,1,M0,maintenance,0,362,25431.541516544607,25356.678799456855,25819.481508708017,0.3949210129633995
B1,5,0,1,M0,maintenance,1,362,219202.89078049752,219099.36526688567,195995.98857759126,3.342860588108665
B1,5,0,1,M0,maintenance,2,362,157839.43844817183,157552.65497803275,176895.21755556593,2.301385499030124
B1,7,0,1,M0,encoding,0,205,10888.684396161194,10990.683343075365,11368.45274325536,0.16908806997693182
B1,7,0,1,M0,encoding,1,205,5761.985440613715,5730.354568523071,10944.564104464565,0.08787071178715139
B1,7,0,1,M0,encoding,2,205,4241.456759781952,4136.608465767525,8424.877271858772,0.0618427636191235
B1,7,0,1,M0,maintenance,0,362,52477.23456251236,52248.72402775717,66265.89003405103,0.8149078425884241
B1,7,0,1,M0,maintenance,1,362,13837.632067115139,13874.098804777897,21707.61591574986,0.21102493085380125
B1,7,0,1,M0,maintenance,2,362,11338.936455327497,11524.1090515989,5775.4353707174205,0.1653279065693292
B1,8,0,-1,M0,encoding,0,205,373.3225144549492,404.3892687378161,469.2132132722871,0.005797246127399661
B1,8,0,-1,M0,encoding,1,205,481.6228802960203,483.8386946713542,2595.6241034958607,0.007344785185726141
B1,8,0,-1,M0,encoding,2,205,6145.782596747257,5832.370946073686,10922.748283460109,0.08960887777733764
B1,8,0,-1,M0,maintenance,0,362,1547.3189142966287,1493.0253373302037,4537.382663321704,0.02402798715972127
B1,8,0,-1,M0,maintenance,1,362,984.7922591799481,979.9225804539432,3832.707101284795,0.015018156097145928
B1,8,0,-1,M0,maintenance,2,362,3592.859423402281,3850.76799868295,1307.4139916826593,0.05238585906263729
B1,9,0,-1,M0,encoding,0,205,247.89078396251264,237.8174624912947,195.24384048423659,0.003849443394655381
B1,9,0,-1,M0,encoding,1,205,562.8209191575131,562.1584043512469,1950.823142402535,0.008583061391734776
B1,9,0,-1,M0,encoding,2,205,175.11276060216974,178.07045134721875,884.0296394052865,0.00255324000077013
B1,9,0,-1,M0,maintenance,0,363,106.41754311580084,118.22292973843048,558.6368297739149,0.001652535450791599
B1,9,0,-1,M0,maintenance,1,363,137.44225654255948,138.55100990051568,625.6327354397044,0.002096004760251636
B1,9,0,-1,M0,maintenance,2,363,91.70586970969232,90.92085247425307,1129.6030337871514,0.001337121829631524
B1,10,0,-1,M0,encoding,0,205,124.92893150106549,117.53840318104422,104.19762000126944,0.0019399948738750058
B1,10,0,-1,M0,encoding,1,205,169.87920668092423,169.7900200033769,1317.4297210796024,0.002590670692027899
B1,10,0,-1,M0,encoding,2,205,188.56832917513682,230.88321897973842,505.9010076317719,0.0027494295634008913
