dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,end_s,gap_s,filter_mode,pretarget_only,filter_start_sample,filter_stop_sample,retained,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump
B2,1,0,-1,5134,5187,0.20703125,5702,platform_onset_hypothesis,6062,1.0,6062,1,6062,explicit_click,2.21875,3.625,1.40625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.525,0.1,zero_phase,False,0,47907,False,block_boundary_24s_buffer,5070,6037,,,
B2,2,0,-1,7347,7399,0.203125,7914,platform_onset_hypothesis,8324,-1.0,8324,-1,8324,explicit_click,2.21484375,3.81640625,1.6015625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.71640625,0.1,zero_phase,False,0,47907,True,retained,7283,8299,0.0,1193.531676853619,13.110329816864635
B2,3,0,-1,9611,9663,0.203125,10179,platform_onset_hypothesis,10588,-1.0,10588,-1,10588,explicit_click,2.21875,3.81640625,1.59765625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.71640625,0.1,zero_phase,False,0,47907,True,retained,9547,10563,0.0,671.4923067426226,8.63930912905711
B2,4,0,1,11871,11924,0.20703125,12439,platform_onset_hypothesis,12712,1.0,12712,1,12712,explicit_click,2.21875,3.28515625,1.06640625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.18515625,0.1,zero_phase,False,0,47907,True,retained,11807,12687,0.0,1098.7563014294255,12.552330801370317
B2,5,0,-1,13996,14048,0.203125,14564,platform_onset_hypothesis,14874,-1.0,14874,-1,14874,explicit_click,2.21875,3.4296875,1.2109375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.3296875,0.1,zero_phase,False,0,47907,True,retained,13932,14849,0.0,220.90139350000902,12.577546271920824
B2,6,0,1,16161,16213,0.203125,16728,platform_onset_hypothesis,17037,-1.0,17037,-1,17037,explicit_click,2.21484375,3.421875,1.20703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.321875,0.1,zero_phase,False,0,47907,True,retained,16097,17012,0.0,800.1818855581506,14.502485427516149
B2,7,0,1,18321,18373,0.203125,18889,platform_onset_hypothesis,19211,1.0,19211,1,19211,explicit_click,2.21875,3.4765625,1.2578125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.3765625,0.1,zero_phase,False,0,47907,True,retained,18257,19186,0.0,761.4751853223073,9.273071380600413
B2,8,0,1,20498,20550,0.203125,21065,platform_onset_hypothesis,21347,1.0,21347,1,21347,explicit_click,2.21484375,3.31640625,1.1015625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.21640625,0.1,zero_phase,False,0,47907,True,retained,20434,21322,0.0,411.78081627574795,10.002845079685812
B2,9,0,1,22630,22682,0.203125,23197,platform_onset_hypothesis,23474,1.0,23474,1,23474,explicit_click,2.21484375,3.296875,1.08203125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.196875,0.1,zero_phase,False,0,47907,True,retained,22566,23449,0.0,501.97513493752274,9.343131735732157
B2,10,0,-1,24759,24811,0.203125,25326,platform_onset_hypothesis,25641,1.0,25641,1,25641,explicit_click,2.21484375,3.4453125,1.23046875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.3453125,0.1,zero_phase,False,0,47907,True,retained,24695,25616,0.0,1050.501448785778,12.58189010647186
B2,11,0,1,26927,26979,0.203125,27494,platform_onset_hypothesis,27849,1.0,27849,1,27849,explicit_click,2.21484375,3.6015625,1.38671875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.5015625,0.1,zero_phase,False,0,47907,True,retained,26863,27824,0.0,526.0586320123939,10.042888267625699
B2,12,0,1,29131,29184,0.20703125,29699,platform_onset_hypothesis,30089,-1.0,30089,-1,30089,explicit_click,2.21875,3.7421875,1.5234375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.6421875,0.1,zero_phase,False,0,47907,True,retained,29067,30064,0.0,644.9269684737394,11.340227547592121
B2,13,0,1,31372,31424,0.203125,31939,platform_onset_hypothesis,32293,1.0,32293,1,32293,explicit_click,2.21484375,3.59765625,1.3828125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.49765625,0.1,zero_phase,False,0,47907,True,retained,31308,32268,0.0,859.5102115022039,10.52146796523715
B2,14,0,1,33576,33629,0.20703125,34144,platform_onset_hypothesis,34523,-1.0,34523,-1,34523,explicit_click,2.21875,3.69921875,1.48046875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.59921875,0.1,zero_phase,False,0,47907,False,quality,33512,34498,0.05133767172812726,2288.7491012249593,482.2277633330296
B2,15,0,1,35809,35861,0.203125,36376,platform_onset_hypothesis,36748,-1.0,36748,-1,36748,explicit_click,2.21484375,3.66796875,1.453125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.56796875,0.1,zero_phase,False,0,47907,True,retained,35745,36723,0.0,802.7716579958378,12.095751509532533
B2,16,0,1,38033,38085,0.203125,38601,platform_onset_hypothesis,38910,1.0,38910,1,38910,explicit_click,2.21875,3.42578125,1.20703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.32578125,0.1,zero_phase,False,0,47907,False,quality,37969,38885,0.061815336463223784,2286.8954199883287,476.5580862520004
B2,17,0,-1,40198,40250,0.203125,40765,platform_onset_hypothesis,41094,-1.0,41094,-1,41094,explicit_click,2.21484375,3.5,1.28515625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.4,0.1,zero_phase,False,0,47907,True,retained,40134,41069,0.0,515.7489180270861,12.043857225920533
B2,18,0,1,42378,42430,0.203125,42946,platform_onset_hypothesis,43318,-1.0,43318,-1,43318,explicit_click,2.21875,3.671875,1.453125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.571875,0.1,zero_phase,False,0,47907,False,block_boundary_24s_buffer,42314,43293,,,
B2,19,0,1,44603,44655,0.203125,45170,platform_onset_hypothesis,45526,1.0,45526,1,45526,explicit_click,2.21484375,3.60546875,1.390625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.50546875,0.1,zero_phase,False,0,47907,False,block_boundary_24s_buffer,44539,45501,,,
