dataset,block,model,stage,MSE,zero_MSE,S_delta,n_timepoints
B2,0,M0,encoding,8742.134555228726,2077.397414338856,-3.208214805163297,205
B2,0,M1,encoding,7905.648514920961,2077.397414338856,-2.8055542287449033,205
B2,0,M2,encoding,8794.733089929447,2077.397414338856,-3.233534243003004,205
B2,0,M3,encoding,2949.3114769307304,2077.397414338856,-0.41971461819180433,205
B2,0,M0,maintenance,61383.47132046501,61189.6901641032,-0.0031668922630938567,363
B2,0,M1,maintenance,68236.43103866998,61189.6901641032,-0.11516222513414087,363
B2,0,M2,maintenance,74111.1394764436,61189.6901641032,-0.2111703667347662,363
B2,0,M3,maintenance,66163.09881869648,61189.6901641032,-0.08127853959147702,363
B2,0,M0,retrieval,44327.21182410096,43581.640405265156,-0.017107465710394232,347
B2,0,M1,retrieval,44805.74739697841,43581.640405265156,-0.028087675918811117,347
B2,0,M2,retrieval,48911.164336363945,43581.640405265156,-0.12228828198157782,347
B2,0,M3,retrieval,46602.16384458526,43581.640405265156,-0.06930724523520215,347
B2,1,M0,encoding,12091.625105159996,16988.858388637822,0.288261469455364,205
B2,1,M1,encoding,9243.34276908825,16988.858388637822,0.45591736904051106,205
B2,1,M2,encoding,12654.434289163544,16988.858388637822,0.2551333350552353,205
B2,1,M3,encoding,14058.63012782478,16988.858388637822,0.17247940937413342,205
B2,1,M0,maintenance,60397.41890514771,60734.265873648736,0.005546242531387469,363
B2,1,M1,maintenance,51337.06444865116,60734.265873648736,0.15472651706283014,363
B2,1,M2,maintenance,57998.62887144,60734.265873648736,0.04504272773955875,363
B2,1,M3,maintenance,54710.375593842095,60734.265873648736,0.09918437628502352,363
B2,1,M0,retrieval,51780.38496891685,52943.38626710685,0.021966885388148283,322
B2,1,M1,retrieval,50740.765203569834,52943.38626710685,0.041603327985567096,322
B2,1,M2,retrieval,50171.982308199345,52943.38626710685,0.05234655646930819,322
B2,1,M3,retrieval,50463.63482343847,52943.38626710685,0.046837794453828185,322
B2,2,M0,encoding,23448.26476003626,26932.234047947244,0.1293605752017638,205
B2,2,M1,encoding,28873.40772104776,26932.234047947244,-0.07207622173655026,205
B2,2,M2,encoding,24260.409203759053,26932.234047947244,0.09920546655845786,205
B2,2,M3,encoding,21155.94606103263,26932.234047947244,0.21447489193176972,205
B2,2,M0,maintenance,39730.60838480778,39543.70258431494,-0.0047265629740746995,363
B2,2,M1,maintenance,54876.56621799892,39543.70258431494,-0.3877447641882119,363
B2,2,M2,maintenance,49039.77632779783,39543.70258431494,-0.24014123925890352,363
B2,2,M3,maintenance,59292.98101851983,39543.70258431494,-0.49942916680843297,363
B2,2,M0,retrieval,80075.27964710862,78744.29195186465,-0.016902656208497957,328
B2,2,M1,retrieval,83218.60286233453,78744.29195186465,-0.05682076503024458,328
B2,2,M2,retrieval,91612.56338342132,78744.29195186465,-0.16341846643846747,328
B2,2,M3,retrieval,115102.8294837253,78744.29195186465,-0.46172918227629944,328
B2,3,M0,encoding,24117.035397461434,30073.198209293267,0.19805551675548927,205
B2,3,M1,encoding,21068.261449999583,30073.198209293267,0.29943395765971326,205
B2,3,M2,encoding,25499.208413956443,30073.198209293267,0.15209522324510738,205
B2,3,M3,encoding,28483.139078242173,30073.198209293267,0.052872964158488855,205
B2,3,M0,maintenance,127412.53401559377,127802.60477420704,0.003052134651734373,363
B2,3,M1,maintenance,118737.0847240725,127802.60477420704,0.07093376591307265,363
B2,3,M2,maintenance,128244.19282073867,127802.60477420704,-0.003455235105041865,363
B2,3,M3,maintenance,128298.72553821153,127802.60477420704,-0.0038819299878980473,363
B2,3,M0,retrieval,170802.82517688305,172532.90466295418,0.010027533527305232,318
B2,3,M1,retrieval,169394.17013892022,172532.90466295418,0.018192092286196226,318
B2,3,M2,retrieval,174156.2488178064,172532.90466295418,-0.009408895990149935,318
B2,3,M3,retrieval,198701.67731621693,172532.90466295418,-0.15167409778664465,318
B2,4,M0,encoding,2111.977226020023,5421.0964960596475,0.610415120344173,205
B2,4,M1,encoding,2657.3371729211344,5421.0964960596475,0.5098155557915942,205
B2,4,M2,encoding,1915.5744852857604,5421.0964960596475,0.6466444589801886,205
B2,4,M3,encoding,1051.396093704324,5421.0964960596475,0.8060547170727294,205
B2,4,M0,maintenance,19486.303599789047,19555.18490508345,0.003522406237974063,363
B2,4,M1,maintenance,18068.327004982002,19555.18490508345,0.07603394738113334,363
B2,4,M2,maintenance,20797.413728356554,19555.18490508345,-0.0635242688475004,363
B2,4,M3,maintenance,26128.020672268936,19555.18490508345,-0.3361172905850076,363
B2,4,M0,retrieval,75966.56351346185,74742.35467990508,-0.01637905092500258,305
B2,4,M1,retrieval,78445.98555670031,74742.35467990508,-0.049551969464389556,305
B2,4,M2,retrieval,86502.11032159273,74742.35467990508,-0.15733723792955812,305
B2,4,M3,retrieval,116195.1589386637,74742.35467990508,-0.5546092899572972,305
