dataset,model,stage,MSE,zero_MSE,baseline_MSE,normalized_MSE,RMSE,NRMSE,S_zero,S_train_baseline,n_trials
B2,M0,encoding,72327.76281822377,74005.14444052156,72233.76725757896,0.537482764857919,268.93821375591784,0.733132160567192,0.022665743509843628,-0.0013012689800551147,71
B2,M0,maintenance,157867.29950699327,157514.5901440242,147465.96631337376,1.2185492910427471,397.3251810633115,1.1038792012909506,-0.0022392170950422674,-0.07053378792172338,71
B2,M0,retrieval,166442.98594972817,169726.8869315319,163075.26423159658,1.278971730466153,407.9742466746255,1.1309163233706343,0.01934814831741094,-0.020651333812029327,71
B2,M1,encoding,69690.91086218023,74005.14444052156,72233.76725757896,0.5155728043928451,263.9903613054466,0.718033985541663,0.05829640102667066,0.03520315348265224,71
B2,M1,maintenance,152469.8204589904,157514.5901440242,147465.96631337376,1.1746697236215398,390.47384094070935,1.0838218135937012,0.0320273168372599,-0.0339322643096045,71
B2,M1,retrieval,165836.1808174221,169726.8869315319,163075.26423159658,1.2724244361711463,407.22988694031545,1.128017923692326,0.02292333397759949,-0.016930321093360456,71
B2,M2,encoding,68810.83709909963,74005.14444052156,72233.76725757896,0.5084357616656813,262.31819818514236,0.7130468159003877,0.07018846298714576,0.04738684258670156,71
B2,M2,maintenance,149986.0364140144,157514.5901440242,147465.96631337376,1.153105827850665,387.2803072891964,1.073827652768667,0.0477959135285565,-0.017089164121335987,71
B2,M2,retrieval,164221.79546953615,169726.8869315319,163075.26423159658,1.2582904058131805,405.24288453905785,1.1217354437714717,0.032434999318737834,-0.007030687599017371,71
B2,M3,encoding,71395.74896572564,74005.14444052156,72233.76725757896,0.5314630529368329,267.1998296513784,0.7290151253141686,0.035259649778713875,0.01160147564870917,71
B2,M3,maintenance,152390.29193459495,157514.5901440242,147465.96631337376,1.1754387850048023,390.3719917394112,1.0841765469723104,0.032532213077809624,-0.03339296343643605,71
B2,M3,retrieval,169863.78747861242,169726.8869315319,163075.26423159658,1.3038676276250416,412.1453475154274,1.1418702323929115,-0.0008065931659710923,-0.04162816034058303,71
