dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B2,2,0,-1,M0,encoding,0,205,138011.347552418,161155.36071619755,122410.86963119694,1.9252348257340377
B2,2,0,-1,M0,encoding,1,205,262608.32302306994,259460.22638347346,232205.7778448793,2.141618467633468
B2,2,0,-1,M0,encoding,2,205,327292.69019848906,325591.4438059195,293579.73161831213,1.9989360431888188
B2,2,0,-1,M0,maintenance,0,362,528331.3038512161,524973.3961136026,392871.1259744775,7.370131831467737
B2,2,0,-1,M0,maintenance,1,362,873518.1507573414,873037.2074781338,763982.1266895374,7.123698830027619
B2,2,0,-1,M0,maintenance,2,362,1104731.432131797,1099551.6322678826,894235.3853175974,6.747133510353133
B2,2,0,-1,M0,retrieval,0,385,359911.69818808715,392105.4059511316,277893.23285069,5.020706976849191
B2,2,0,-1,M0,retrieval,1,385,785418.6312186994,788891.2685723844,768463.2869548138,6.405231281620876
B2,2,0,-1,M0,retrieval,2,385,941372.0225555891,983928.5833753013,817980.024108399,5.749417943904362
B2,3,0,-1,M0,encoding,0,205,3772.9153670404926,1255.4303102473652,5209.109122758867,0.052631527682277246
B2,3,0,-1,M0,encoding,1,205,1327.2641527057494,1481.1419612374627,3269.296705577778,0.010824079709814869
B2,3,0,-1,M0,encoding,2,205,2053.3941682632026,2132.1147572929162,4572.6316825414615,0.012541079396932987
B2,3,0,-1,M0,maintenance,0,363,1693.3925729328946,1901.3863607881506,19684.848091476797,0.023622538384472546
B2,3,0,-1,M0,maintenance,1,363,1091.8473102893006,1103.39772653783,8258.3410486699,0.008904212694530919
B2,3,0,-1,M0,maintenance,2,363,3136.3724636102643,3401.5944422035795,25738.445246551975,0.019155355894362753
B2,3,0,-1,M0,retrieval,0,384,38987.87789896328,34748.639509205874,80455.81273046222,0.5438742657305169
B2,3,0,-1,M0,retrieval,1,384,141037.28188898618,141031.57111745092,148623.96515778516,1.150184594460646
B2,3,0,-1,M0,retrieval,2,384,82431.22116286634,79373.73643735803,131602.0329589579,0.5034476601557879
B2,4,0,1,M0,encoding,0,205,2677.3718932631314,3390.96967543666,1393.202208628692,0.03734888255035624
B2,4,0,1,M0,encoding,1,205,1820.8460936959643,986.5294911141408,952.7334864699005,0.014849329892087863
B2,4,0,1,M0,encoding,2,205,4528.107183383158,2706.952083305735,1435.9739425008077,0.027655358421838003
B2,4,0,1,M0,maintenance,0,363,192110.54056006973,194235.36938893516,279018.5085731693,2.679909367136367
B2,4,0,1,M0,maintenance,1,363,561776.3640256681,561879.1863914924,647881.4858764661,4.581388061229347
B2,4,0,1,M0,maintenance,2,363,484865.2252419877,487779.83574621787,626963.25261473,2.9613083452529505
B2,4,0,1,M0,retrieval,0,248,149282.31235407456,122409.24519494368,204229.41649339345,2.082462867779857
B2,4,0,1,M0,retrieval,1,248,184628.43402472849,181285.50644315418,190946.3232235358,1.5056783402971963
B2,4,0,1,M0,retrieval,2,248,213533.92879699467,186030.08723080915,265678.46700332017,1.3041558198478769
B2,5,0,-1,M0,encoding,0,205,1133.376160725862,1796.6141907368449,1100.2855599268473,0.01581040468036455
B2,5,0,-1,M0,encoding,1,205,607.1949418658052,727.0511205657682,2605.4800758581036,0.00495178479487568
B2,5,0,-1,M0,encoding,2,205,474.62031797663815,467.80339051078687,1316.3837228336702,0.002898737701284658
B2,5,0,-1,M0,maintenance,0,363,593.9318001834491,699.9243913193835,14066.52009515245,0.008285247598135292
B2,5,0,-1,M0,maintenance,1,363,7923.096775887902,7968.00346258473,22324.499539123102,0.06461429013656232
B2,5,0,-1,M0,maintenance,2,363,7547.87777559967,7978.2773321836885,36068.871954635506,0.046098569833869396
B2,5,0,-1,M0,retrieval,0,285,6004.22603026719,1561.0347310467973,21741.182713889964,0.08375793193859514
