dataset,block,model,stage,MSE,zero_MSE,S_delta,n_timepoints
A1,0,B0,encoding,372.0073993862481,569.460230154093,0.34673682254231375,205
A1,0,N0,encoding,407.49512343715435,569.460230154093,0.2844186444295007,205
A1,0,N1,encoding,568.8441990868806,569.460230154093,0.001081780666308596,205
A1,0,N2,encoding,2084.408101539941,569.460230154093,-2.660322514490452,205
A1,0,N3,encoding,1072.59045850097,569.460230154093,-0.8835212745422671,205
A1,0,B0,maintenance,6345.234529289126,3966.128712300647,-0.5998559274210802,362
A1,0,N0,maintenance,5485.717411947519,3966.128712300647,-0.3831415493233954,362
A1,0,N1,maintenance,4917.471861194411,3966.128712300647,-0.2398669377378615,362
A1,0,N2,maintenance,4694.795519969432,3966.128712300647,-0.1837224307443377,362
A1,0,N3,maintenance,5515.634521476544,3966.128712300647,-0.39068470076884365,362
A1,0,B0,retrieval,3170.6708580159975,4416.47379038973,0.28208090696351606,278
A1,0,N0,retrieval,3154.390972087,4416.47379038973,0.2857670798475084,278
A1,0,N1,retrieval,3132.8293223631194,4416.47379038973,0.29064917600548834,278
A1,0,N2,retrieval,2212.5705480734455,4416.47379038973,0.49901875272349394,278
A1,0,N3,retrieval,2977.935527303135,4416.47379038973,0.32572100081672895,278
A1,1,B0,encoding,335.13158355530584,56.94846346706975,-4.884822226135996,205
A1,1,N0,encoding,698.0184592169161,56.94846346706975,-11.257020062016998,205
A1,1,N1,encoding,1076.660018855008,56.94846346706975,-17.905865993690647,205
A1,1,N2,encoding,2826.236421151145,56.94846346706975,-48.62796621870942,205
A1,1,N3,encoding,1166.3781091338424,56.94846346706975,-19.481291998480284,205
A1,1,B0,maintenance,4151.067367102621,400.8889390730507,-9.354656770278726,362
A1,1,N0,maintenance,3493.156642232826,400.8889390730507,-7.7135271187821335,362
A1,1,N1,maintenance,3132.13225931333,400.8889390730507,-6.812967518025204,362
A1,1,N2,maintenance,2210.0205141671054,400.8889390730507,-4.5127999272745996,362
A1,1,N3,maintenance,3218.275929666321,400.8889390730507,-7.0278491522059205,362
A1,1,B0,retrieval,12614.339944441452,569.728630408339,-21.140961979390845,277
A1,1,N0,retrieval,12600.973699028822,569.728630408339,-21.117501256690197,277
A1,1,N1,retrieval,12512.34101252688,569.728630408339,-20.961931250600777,277
A1,1,N2,retrieval,8914.659739470251,569.728630408339,-14.647203359046372,277
A1,1,N3,retrieval,7620.131558102271,569.728630408339,-12.375019529281387,277
A1,2,B0,encoding,3657.876980347428,1559.6054979893213,-1.3453860511925906,205
A1,2,N0,encoding,3831.1894363027345,1559.6054979893213,-1.4565118815251616,205
A1,2,N1,encoding,5980.999307309241,1559.6054979893213,-2.8349437181518535,205
A1,2,N2,encoding,5432.927370781496,1559.6054979893213,-2.4835266852968583,205
A1,2,N3,encoding,2587.131557850495,1559.6054979893213,-0.6588371618245021,205
A1,2,B0,maintenance,120602.0589374484,82434.00343866895,-0.4630134884468706,362
A1,2,N0,maintenance,115011.67745813729,82434.00343866895,-0.3951970383642254,362
A1,2,N1,maintenance,105764.3029260151,82434.00343866895,-0.2830179114702822,362
A1,2,N2,maintenance,105802.36880918984,82434.00343866895,-0.28347968551481295,362
A1,2,N3,maintenance,104463.33216695485,82434.00343866895,-0.267235944020064,362
A1,2,B0,retrieval,88455.19438609398,60859.543672065374,-0.45343177173204885,285
A1,2,N0,retrieval,87298.26230915138,60859.543672065374,-0.4344219006890355,285
A1,2,N1,retrieval,80973.21113297572,60859.543672065374,-0.33049323487028626,285
A1,2,N2,retrieval,78102.78471516297,60859.543672065374,-0.2833284642423677,285
A1,2,N3,retrieval,64148.24043532634,60859.543672065374,-0.05403748639624584,285
A1,3,B0,encoding,15407.195128999321,17344.18680013561,0.11167959002385419,205
A1,3,N0,encoding,19208.607704740763,17344.18680013561,-0.1074954349886601,205
A1,3,N1,encoding,22650.49406505267,17344.18680013561,-0.30594154260813045,205
A1,3,N2,encoding,31113.573930606828,17344.18680013561,-0.7938906152903957,205
A1,3,N3,encoding,27295.327916065475,17344.18680013561,-0.573745038069589,205
A1,3,B0,maintenance,42474.83915966282,48106.897532954965,0.11707382230238361,363
A1,3,N0,maintenance,37354.431999081426,48106.897532954965,0.2235119304151283,363
A1,3,N1,maintenance,35699.75573532546,48106.897532954965,0.2579077519835937,363
A1,3,N2,maintenance,40731.51456334447,48106.897532954965,0.15331238029968763,363
A1,3,N3,maintenance,42336.707936572035,48106.897532954965,0.11994516155256407,363
A1,3,B0,retrieval,4345.641434233117,8026.973678591813,0.4586201963234192,255
A1,3,N0,retrieval,4369.752126069096,8026.973678591813,0.45561648747854244,255
A1,3,N1,retrieval,4423.9959952634945,8026.973678591813,0.44885878882816965,255
A1,3,N2,retrieval,1721.713499124297,8026.973678591813,0.7855090139742005,255
A1,3,N3,retrieval,2917.1468938331564,8026.973678591813,0.6365819783845464,255
A1,4,B0,encoding,1961.1316906795673,1487.9041525870512,-0.3180497461948104,205
A1,4,N0,encoding,1875.359858483363,1487.9041525870512,-0.2604036726577006,205
A1,4,N1,encoding,1790.0346313318178,1487.9041525870512,-0.20305775625361733,205
A1,4,N2,encoding,1683.5147376354716,1487.9041525870512,-0.13146719478422586,205
A1,4,N3,encoding,1791.1930882758381,1487.9041525870512,-0.2038363392974285,205
A1,4,B0,maintenance,16864.76707776835,22289.25443220875,0.2433678242104782,363
A1,4,N0,maintenance,16674.439835027577,22289.25443220875,0.2519067927668127,363
A1,4,N1,maintenance,16459.919849916783,22289.25443220875,0.2615311606775135,363
A1,4,N2,maintenance,16033.709523431071,22289.25443220875,0.28065294547215525,363
A1,4,N3,maintenance,16573.604657093678,22289.25443220875,0.2564307295472278,363
A1,4,B0,retrieval,105837.79370858001,124719.11656069974,0.15139076809392205,300
A1,4,N0,retrieval,105932.37391559014,124719.11656069974,0.15063242238383112,300
A1,4,N1,retrieval,105974.08243688633,124719.11656069974,0.1502980027499663,300
A1,4,N2,retrieval,105618.26149229355,124719.11656069974,0.15315098114177206,300
A1,4,N3,retrieval,102707.89592616151,124719.11656069974,0.17648634180170408,300
