dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
A1,past,2,0,1,B0,encoding,0,205,680.6816732857421,422.81811291075206,511.4531195924576,0.19123605217348072
A1,past,2,0,1,B0,encoding,1,205,54866.709117374725,72675.77546396322,64021.56250278663,0.7221275647343595
A1,past,2,0,1,B0,encoding,2,205,32344.486906327733,112730.07936829781,99792.82370737057,0.4037352176851257
A1,past,2,0,1,B0,maintenance,0,362,2358.6221870181466,1006.6197004443605,1705.0775590878281,0.6626498307745454
A1,past,2,0,1,B0,maintenance,1,362,60148.3201519838,120172.68903493244,104924.17946293092,0.791641427979505
A1,past,2,0,1,B0,maintenance,2,362,295937.3106232747,799035.9333558244,752711.2323186898,3.6939931949349902
A1,past,2,0,1,B0,retrieval,0,277,2174.3714296727735,544.2293924532466,664.8440393473353,0.6108849767648623
A1,past,2,0,1,B0,retrieval,1,277,22259.294447713393,89719.0375052592,55930.38000276752,0.29296544937378305
A1,past,2,0,1,B0,retrieval,2,277,423465.90766386606,1196629.794008048,1054871.7142536282,5.2858498237439315
A1,past,5,0,1,B0,encoding,0,205,1127.5993518274743,111.03327415518118,80.5767437958299,0.31679661277782
A1,past,5,0,1,B0,encoding,1,205,2806.012087254395,17945.32660479321,22909.492657979023,0.03693129600409226
A1,past,5,0,1,B0,encoding,2,205,17664.08184586436,43044.30590487275,52348.69422152261,0.22048925833641
A1,past,5,0,1,B0,maintenance,0,363,2890.6800879295884,270.94345967771807,454.0200394765904,0.8121303537433197
A1,past,5,0,1,B0,maintenance,1,363,39793.61290694616,7169.044879998665,9894.751035870813,0.5237431812977994
A1,past,5,0,1,B0,maintenance,2,363,19367.50583954315,96187.64712850118,113452.04596099514,0.24175199343218384
A1,past,5,0,1,B0,retrieval,0,284,3140.1781008065786,730.8266277952056,870.0645656240454,0.8822262838679058
A1,past,5,0,1,B0,retrieval,1,284,246251.06447970573,29162.178504771855,12744.390103284895,3.2410305696585255
A1,past,5,0,1,B0,retrieval,2,284,26336.794827521517,42669.510271403815,71054.13902798208,0.3287451003199461
A1,past,6,0,-1,B0,encoding,0,205,887.6401034954413,61.70509638837528,68.89019765753893,0.2493805780372016
