dataset,block,model,stage,MSE,zero_MSE,S_delta,n_timepoints
A1,0,N0,encoding,533.1750820602018,569.460230154093,0.06371849371126859,205
A1,0,N1,encoding,511.2626571303591,569.460230154093,0.10219778299177429,205
A1,0,N2,encoding,523.3638492838181,569.460230154093,0.08094749805056867,205
A1,0,N3,encoding,556.7455712281209,569.460230154093,0.022327562580676807,205
A1,0,N2_no_projection,encoding,513.5156200558417,569.460230154093,0.09824146996729333,205
A1,0,N2_no_retrieval,encoding,505.8912763824907,569.460230154093,0.11163019014409648,205
A1,0,N2_fixed_target,encoding,523.3403012130523,569.460230154093,0.08098884961388941,205
A1,0,N2_equal_penalty,encoding,523.3638492838181,569.460230154093,0.08094749805056867,205
A1,0,V1_M2,encoding,521.9675831552465,569.460230154093,0.08339940962338177,205
A1,0,N0,maintenance,3851.3246417672567,3966.128712300647,0.028946128293147466,362
A1,0,N1,maintenance,3726.174544467693,3966.128712300647,0.06050085240268532,362
A1,0,N2,maintenance,3666.4105067936616,3966.128712300647,0.07556946010789611,362
A1,0,N3,maintenance,3870.200329334538,3966.128712300647,0.02418690615576702,362
A1,0,N2_no_projection,maintenance,3744.7714263336993,3966.128712300647,0.05581192695043524,362
A1,0,N2_no_retrieval,maintenance,3525.1747917809007,3966.128712300647,0.11117993199569165,362
A1,0,N2_fixed_target,maintenance,3666.4012105848014,3966.128712300647,0.07557180400783847,362
A1,0,N2_equal_penalty,maintenance,3666.4105067936616,3966.128712300647,0.07556946010789611,362
A1,0,V1_M2,maintenance,3672.8231150090533,3966.128712300647,0.07395261691380028,362
A1,0,N0,retrieval,4411.518083725847,4416.47379038973,0.0011220957938586906,278
A1,0,N1,retrieval,4407.768933843187,4416.47379038973,0.001970996989834939,278
A1,0,N2,retrieval,4379.75080571887,4416.47379038973,0.008315001155621005,278
A1,0,N3,retrieval,4494.144182453955,4416.47379038973,-0.017586517151587433,278
A1,0,N2_no_projection,retrieval,4408.11676876638,4416.47379038973,0.0018922384734932907,278
A1,0,N2_no_retrieval,retrieval,4401.508855139556,4416.47379038973,0.003388435199760176,278
A1,0,N2_fixed_target,retrieval,4379.759274248446,4416.47379038973,0.00831308366896133,278
A1,0,N2_equal_penalty,retrieval,4379.75080571887,4416.47379038973,0.008315001155621005,278
A1,0,V1_M2,retrieval,4406.196000644526,4416.47379038973,0.0023271483615658894,278
A1,1,N0,encoding,67.66505968376734,56.94846346706975,-0.18818060337825315,205
A1,1,N1,encoding,92.95544658573093,56.94846346706975,-0.632273127781263,205
A1,1,N2,encoding,133.45148430062812,56.94846346706975,-1.3433728704163541,205
A1,1,N3,encoding,105.15194768152811,56.94846346706975,-0.8464404705551338,205
A1,1,N2_no_projection,encoding,89.80304744932411,56.94846346706975,-0.5769178302984841,205
A1,1,N2_no_retrieval,encoding,133.88009080956206,56.94846346706975,-1.3508990876808777,205
A1,1,N2_fixed_target,encoding,121.86801707418505,56.94846346706975,-1.1399702407186947,205
A1,1,N2_equal_penalty,encoding,133.45148430062812,56.94846346706975,-1.3433728704163541,205
A1,1,V1_M2,encoding,96.5080496570717,56.94846346706975,-0.6946559008194688,205
A1,1,N0,maintenance,391.62302153101024,400.8889390730507,0.023113427782431306,362
A1,1,N1,maintenance,385.52048966957847,400.8889390730507,0.038335927748487486,362
A1,1,N2,maintenance,377.67696347195204,400.8889390730507,0.057901262266727094,362
A1,1,N3,maintenance,385.22887432551033,400.8889390730507,0.039063349524559476,362
A1,1,N2_no_projection,maintenance,385.878680830591,400.8889390730507,0.037442435496391924,362
A1,1,N2_no_retrieval,maintenance,377.67328317565125,400.8889390730507,0.05791044260557432,362
A1,1,N2_fixed_target,maintenance,378.4402937976834,400.8889390730507,0.055997168011853504,362
