dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
A2,stimulus,2,0,-1,N0,encoding,0,205,17269.85717072121,17704.319062562845,10041.680637797777,0.4087394534550424
A2,stimulus,2,0,-1,N0,encoding,1,205,24711.489374955094,25502.861191340715,19616.95554895514,0.2297878893427597
A2,stimulus,2,0,-1,N0,encoding,2,205,38492.35132989073,39981.3242949262,33437.40089179911,0.28385183259440006
A2,stimulus,2,0,-1,N0,maintenance,0,362,90545.04884139824,89270.12535940799,101532.87736181154,2.1430017290031644
A2,stimulus,2,0,-1,N0,maintenance,1,362,256051.06032197244,249270.85338202107,330557.7484352128,2.3809747693715697
A2,stimulus,2,0,-1,N0,maintenance,2,362,299322.4072512545,292974.3200044752,380746.0705452436,2.2072752351935137
A2,stimulus,2,0,-1,N0,retrieval,0,480,64993.69424864242,65135.628993483966,95389.40153070005,1.5382574854326279
A2,stimulus,2,0,-1,N0,retrieval,1,480,130420.15155645162,131104.1636054363,232269.3129110626,1.2127545571693943
A2,stimulus,2,0,-1,N0,retrieval,2,480,167814.84310907667,168483.137287682,291660.8940461728,1.237506910004304
A2,stimulus,3,0,-1,N0,encoding,0,205,731.0315469872771,726.409480579543,3105.7003615431477,0.017301905396215598
A2,stimulus,3,0,-1,N0,encoding,1,205,1040.376152849066,954.0683523544016,2481.5545668912528,0.009674278901538758
A2,stimulus,3,0,-1,N0,encoding,2,205,902.7277765150102,856.5254137618575,1621.2303964388664,0.006656931178394217
A2,stimulus,3,0,-1,N0,maintenance,0,362,13522.489535101045,13965.033677641288,9984.884899702027,0.32004752137147596
A2,stimulus,3,0,-1,N0,maintenance,1,362,29927.546207889853,31680.80490289129,13306.23991513041,0.2782911046749249
A2,stimulus,3,0,-1,N0,maintenance,2,362,38383.24009008764,40144.82499465216,18812.363127999724,0.2830472201375168
A2,stimulus,3,0,-1,N0,retrieval,0,360,8109.661847429126,8012.891169328908,19012.005797658392,0.19193782082014552
A2,stimulus,3,0,-1,N0,retrieval,1,360,29228.884631728022,29406.782421823416,75296.96418548435,0.27179437084738706
A2,stimulus,3,0,-1,N0,retrieval,2,360,28704.603043962266,28951.09709910813,80876.91920087236,0.2116746287618022
A2,stimulus,4,0,-1,N0,encoding,0,205,613.6582484770565,572.3128621939094,1997.2363536371865,0.014523938131690754
A2,stimulus,4,0,-1,N0,encoding,1,205,822.0416183231058,481.06218796160175,1507.087574755453,0.007644023618334265
A2,stimulus,4,0,-1,N0,encoding,2,205,1175.8925286115355,782.6855593639508,1480.0739407565725,0.008671313589545659
A2,stimulus,4,0,-1,N0,maintenance,0,362,1420.0658468593192,1318.926697364024,2704.2414312330084,0.03360982852246777
A2,stimulus,4,0,-1,N0,maintenance,1,362,3089.6182490959686,2689.3939294534944,13990.644977157828,0.02872982868665825
A2,stimulus,4,0,-1,N0,maintenance,2,362,8537.218034658017,7689.548761747011,25337.76095352507,0.06295549377140428
A2,stimulus,4,0,-1,N0,retrieval,0,363,2202.7822960368417,2198.772435962912,10226.08635277396,0.05213500163099159
A2,stimulus,4,0,-1,N0,retrieval,1,363,3732.3569982435847,3837.801395759074,34373.074836692904,0.034706545764469125
A2,stimulus,4,0,-1,N0,retrieval,2,363,7331.139515388754,7460.692006860506,48688.38213756133,0.05406158144546445
A2,stimulus,5,0,1,N0,encoding,0,205,21003.035337405803,21568.924729032493,12652.680932932577,0.49709555208496736
A2,stimulus,5,0,1,N0,encoding,1,205,61806.08474378362,64967.53886508249,52099.98263116973,0.5747241514389533
A2,stimulus,5,0,1,N0,encoding,2,205,60625.34418790181,63254.575598622534,53812.06898076127,0.4470658313886652
A2,stimulus,5,0,1,N0,maintenance,0,362,130493.58410022497,128745.89376147125,143462.43577856204,3.0884955050434924
A2,stimulus,5,0,1,N0,maintenance,1,362,233338.3024825108,226409.75032172134,304733.9366936679,2.169772740797256
A2,stimulus,5,0,1,N0,maintenance,2,362,238387.80586464776,232504.00504092238,312160.71365577524,1.75792886703423
A2,stimulus,5,0,1,N0,retrieval,0,346,52442.5701355133,52743.7806023514,79746.37444584703,1.2412000425404954
A2,stimulus,5,0,1,N0,retrieval,1,346,77455.92479945224,77933.06101914124,159569.89318461943,0.7202493223575681
A2,stimulus,5,0,1,N0,retrieval,2,346,88677.63487907234,89062.37995197842,184862.15705807926,0.6539301523784888
A2,stimulus,6,0,-1,N0,encoding,0,205,4575.698395613439,4428.347000244747,4132.025360547781,0.1082966953872061
A2,stimulus,6,0,-1,N0,encoding,1,205,4196.800135615848,3484.8615724099436,3680.9008219531793,0.0390253226150731
A2,stimulus,6,0,-1,N0,encoding,2,205,9853.823649852944,9413.011214100992,8043.748616239607,0.07266445941692327
A2,stimulus,6,0,-1,N0,maintenance,0,362,18556.704060961478,18973.766277863306,15214.30936257987,0.4391962829121423
A2,stimulus,6,0,-1,N0,maintenance,1,362,19239.31777012979,20535.98637057796,8937.5922484946,0.17890310679830518
A2,stimulus,6,0,-1,N0,maintenance,2,362,22153.09039573574,23073.53120543711,14153.026902637897,0.16336220285862293
A2,stimulus,6,0,-1,N0,retrieval,0,318,575.8106102806971,578.6943498354115,5074.68156951499,0.013628167958375641
A2,stimulus,6,0,-1,N0,retrieval,1,318,2484.1790708001167,2536.7697434168535,26705.65959580302,0.023099953902703786
A2,stimulus,6,0,-1,N0,retrieval,2,318,5659.131401686584,5779.15873252052,42099.813282479045,0.0417317925188389
A2,stimulus,7,0,1,N0,encoding,0,205,479.3496849415745,499.1654549699783,1873.1191930791415,0.011345150472294485
A2,stimulus,7,0,1,N0,encoding,1,205,774.9150894585877,828.8630208107691,879.1156314870311,0.007205802132145597
A2,stimulus,7,0,1,N0,encoding,2,205,870.254565760627,708.6474306878368,1510.10615858168,0.006417465932328614
A2,stimulus,7,0,1,N0,maintenance,0,363,4892.702765169486,5141.559407991913,4746.7267992645775,0.1157994900817026
A2,stimulus,7,0,1,N0,maintenance,1,363,10289.49089006081,11574.99567207281,7906.3762857357115,0.09568020600308007
A2,stimulus,7,0,1,N0,maintenance,2,363,17218.85263474801,18842.255671311654,8118.55348085239,0.1269759499402348
A2,stimulus,7,0,1,N0,retrieval,0,312,18172.598200913668,18295.088753019158,36061.00638219853,0.43010534384108895
A2,stimulus,7,0,1,N0,retrieval,1,312,55131.20818018405,55536.274897863106,129008.01152441259,0.512655622347077
A2,stimulus,7,0,1,N0,retrieval,2,312,32686.386487206917,32952.85120330225,99224.90765235049,0.24103725505793505
A2,stimulus,8,0,1,N0,encoding,0,205,3462.290817561463,3488.7557884171306,1779.2889875733147,0.08194479215912272
A2,stimulus,8,0,1,N0,encoding,1,205,3552.5655554931486,3591.28037353719,1820.6659145201086,0.03303469606230655
A2,stimulus,8,0,1,N0,encoding,2,205,5623.220034710022,5733.004270998983,3807.6630990967724,0.04146697348401546
A2,stimulus,8,0,1,N0,maintenance,0,362,8577.010042216622,8683.575660684784,7286.6539579854725,0.20299892247386944
A2,stimulus,8,0,1,N0,maintenance,1,362,10562.815464900877,11061.732225895905,6407.529553030427,0.09822180421292576
A2,stimulus,8,0,1,N0,maintenance,2,362,21764.7603802417,22246.88764640641,15068.145279809616,0.16049856416830993
