dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B1,past,2,0,-1,B0,encoding,0,205,218.28845317953076,1028.0596442798471,1150.1446171810605,0.002674353392787869
B1,past,2,0,-1,B0,encoding,1,205,137.94237831596053,2427.5414767490415,861.3043737150209,0.0017450150194583793
B1,past,2,0,-1,B0,encoding,2,205,551.3042059711072,275.2097722087127,1454.514898301205,0.006837784281654792
B1,past,2,0,-1,B0,maintenance,0,363,942.7476642468996,971.5772713016715,3267.8692362465126,0.01155004022291526
B1,past,2,0,-1,B0,maintenance,1,363,994.8080136874619,21111.310490446205,13120.17498387342,0.012584638213109019
B1,past,2,0,-1,B0,maintenance,2,363,5269.095202025437,1776.3728806535803,1435.7558328932482,0.06535218843013947
B1,past,2,0,-1,B0,retrieval,0,284,3721.223796460976,1673.5306624527198,7301.52865572354,0.04559044393064382
B1,past,2,0,-1,B0,retrieval,1,284,1968.947514002412,13291.911098313958,3125.48856440389,0.024907813149267002
B1,past,2,0,-1,B0,retrieval,2,284,32641.748444314664,16175.779236475131,7713.102997408106,0.40485313193848904
B1,past,3,0,1,B0,encoding,0,205,1194.4468255504892,27073.834143808774,26492.947717736857,0.014633723744372532
B1,past,3,0,1,B0,encoding,1,205,30259.06438711868,58172.96910128798,45341.12129430885,0.38278680181470204
B1,past,3,0,1,B0,encoding,2,205,82186.71386332656,130412.34894993603,111778.51956338949,1.0193555828684653
B1,past,3,0,1,B0,maintenance,0,362,4322.457451725204,138451.38069961197,117859.47665975617,0.05295643714922107
B1,past,3,0,1,B0,maintenance,1,362,99504.86434120574,166856.30089315234,142390.90765913122,1.2587682255764174
B1,past,3,0,1,B0,maintenance,2,362,281757.62601558294,484578.61190955836,529445.2697527512,3.494618480212886
B1,past,3,0,1,B0,retrieval,0,254,5186.613479441194,182525.90718209045,145877.13591330728,0.06354361467033173
B1,past,3,0,1,B0,retrieval,1,254,105705.45510999973,177389.14204504734,130811.97823840042,1.3372076736499943
B1,past,3,0,1,B0,retrieval,2,254,196907.8392648348,433484.35142499296,487514.28760337224,2.442233006164039
B1,past,4,0,-1,B0,encoding,0,205,9265.061910345838,65704.85582198881,64780.75935849698,0.11351058378678602
B1,past,4,0,-1,B0,encoding,1,205,60429.81218147383,37830.415592298974,27552.3255268929,0.7644563706026779
B1,past,4,0,-1,B0,encoding,2,205,96055.43564919618,51251.20817148876,39640.09870766429,1.191368288026446
B1,past,4,0,-1,B0,maintenance,0,362,64081.28662497207,285328.6145673192,255191.16092851805,0.7850896545533639
B1,past,4,0,-1,B0,maintenance,1,362,109288.00500632913,46513.579505836446,34273.31392968702,1.3825280708576921
B1,past,4,0,-1,B0,maintenance,2,362,151118.44919371643,78740.82239533214,97220.33980925562,1.8743106716276292
B1,past,4,0,-1,B0,retrieval,0,236,23878.16219803832,260466.78070229443,216333.42173687083,0.2925424737667753
B1,past,4,0,-1,B0,retrieval,1,236,32598.96314619736,3635.508880389611,2966.8490155616705,0.4123872663597728
B1,past,4,0,-1,B0,retrieval,2,236,26674.74701423565,10676.464206473283,19194.142506579406,0.3308448654582143
