dataset,block,model,stage,MSE,zero_MSE,S_delta,n_timepoints
B2,0,B0,encoding,22213.016148416307,28717.503769221064,0.22649906040148782,205
B2,0,N0,encoding,23891.667450262546,28717.503769221064,0.16804511832712865,205
B2,0,N1,encoding,30491.981923199924,28717.503769221064,-0.06179082166189942,205
B2,0,N2,encoding,32163.317454167358,28717.503769221064,-0.11999001419613142,205
B2,0,N3,encoding,33587.44114352135,28717.503769221064,-0.16958080386916508,205
B2,0,B0,maintenance,85226.16163690962,116790.03997876383,0.270261730774247,363
B2,0,N0,maintenance,82081.00016940464,116790.03997876383,0.2971917795016631,363
B2,0,N1,maintenance,74960.95397512168,116790.03997876383,0.35815627780629256,363
B2,0,N2,maintenance,76750.30369050293,116790.03997876383,0.34283519635357096,363
B2,0,N3,maintenance,81323.50329550955,116790.03997876383,0.3036777510282832,363
B2,0,B0,retrieval,33796.693210157624,56705.25935509444,0.4039936754628156,347
B2,0,N0,retrieval,33936.70337148099,56705.25935509444,0.4015245894747488,347
B2,0,N1,retrieval,31805.96831720601,56705.25935509444,0.4391002055376625,347
B2,0,N2,retrieval,28845.068005583158,56705.25935509444,0.4913158261925541,347
B2,0,N3,retrieval,24775.204744643892,56705.25935509444,0.5630880622642268,347
B2,1,B0,encoding,19008.064147027744,14244.731659637597,-0.3343925741252842,205
B2,1,N0,encoding,16920.637836793034,14244.731659637597,-0.18785234015587737,205
B2,1,N1,encoding,11145.126359863067,14244.731659637597,0.21759660861546815,205
B2,1,N2,encoding,10733.453975577504,14244.731659637597,0.24649658329537283,205
B2,1,N3,encoding,12972.311507136294,14244.731659637597,0.08932566670291875,205
B2,1,B0,maintenance,13767.810779710895,8662.827929946938,-0.5892975008907082,363
B2,1,N0,maintenance,16296.783214225024,8662.827929946938,-0.8812313191501713,363
B2,1,N1,maintenance,16867.63703906821,8662.827929946938,-0.9471282559772058,363
B2,1,N2,maintenance,15767.629156440062,8662.827929946938,-0.8201480260195637,363
B2,1,N3,maintenance,15296.193926973627,8662.827929946938,-0.7657275488637485,363
B2,1,B0,retrieval,2773.149083258314,22585.526294636922,0.877215653641119,322
B2,1,N0,retrieval,2915.9478905240694,22585.526294636922,0.8708930731795044,322
B2,1,N1,retrieval,3105.5872018870514,22585.526294636922,0.8624965758435971,322
B2,1,N2,retrieval,2521.1600840913216,22585.526294636922,0.8883727546924605,322
B2,1,N3,retrieval,3091.4414148397923,22585.526294636922,0.86312289673879,322
B2,2,B0,encoding,16355.631372674794,34162.56680455053,0.521241144839966,205
B2,2,N0,encoding,16989.86057820637,34162.56680455053,0.5026761110952798,205
B2,2,N1,encoding,28714.736299713586,34162.56680455053,0.15946783319897617,205
B2,2,N2,encoding,27963.73749364846,34162.56680455053,0.18145092394159246,205
B2,2,N3,encoding,20074.089284953043,34162.56680455053,0.4123951692564527,205
B2,2,B0,maintenance,24416.43833643649,115263.91056399867,0.7881692698350746,363
B2,2,N0,maintenance,22455.056696358133,115263.91056399867,0.8051857117593605,363
B2,2,N1,maintenance,20332.308067603546,115263.91056399867,0.8236021321147671,363
B2,2,N2,maintenance,25020.83731783615,115263.91056399867,0.7829256599450208,363
B2,2,N3,maintenance,23822.19394986882,115263.91056399867,0.7933247810758435,363
B2,2,B0,retrieval,22965.956360944012,50628.16212120484,0.5463798131568938,328
B2,2,N0,retrieval,22652.33221262728,50628.16212120484,0.552574471133336,328
B2,2,N1,retrieval,24411.973718290395,50628.16212120484,0.5178182913326452,328
B2,2,N2,retrieval,33400.494708739854,50628.16212120484,0.34027834886088903,328
B2,2,N3,retrieval,31535.962672239548,50628.16212120484,0.3771063109748717,328
B2,3,B0,encoding,44059.882734502644,77720.80297588043,0.4331005207424836,205
B2,3,N0,encoding,38640.68649844614,77720.80297588043,0.5028269778628285,205
B2,3,N1,encoding,26942.3095585253,77720.80297588043,0.6533449407761978,205
B2,3,N2,encoding,33523.012332887236,77720.80297588043,0.5686738807460515,205
B2,3,N3,encoding,38282.84152453666,77720.80297588043,0.5074312145691906,205
B2,3,B0,maintenance,35866.79437227667,90740.13007130794,0.6047306264153376,363
B2,3,N0,maintenance,44882.68186668998,90740.13007130794,0.5053711976011164,363
B2,3,N1,maintenance,48619.0505450634,90740.13007130794,0.46419461260573214,363
B2,3,N2,maintenance,43194.892683546146,90740.13007130794,0.5239714484693649,363
B2,3,N3,maintenance,41902.19849101729,90740.13007130794,0.5382175619751863,363
B2,3,B0,retrieval,30727.85487129544,10400.80885174029,-1.9543716560230768,318
B2,3,N0,retrieval,31737.264346394913,10400.80885174029,-2.0514227113292782,318
B2,3,N1,retrieval,28699.052042449253,10400.80885174029,-1.759309631735733,318
B2,3,N2,retrieval,27558.44174744869,10400.80885174029,-1.6496440940588522,318
