dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B2,stimulus,2,0,-1,N0,encoding,0,205,11314.691203242872,12526.900900381486,14660.776387364182,0.09791238948821425
B2,stimulus,2,0,-1,N0,encoding,1,205,314690.58991033584,309291.5878501823,363420.702845186,1.5177481183037114
B2,stimulus,2,0,-1,N0,encoding,2,205,485079.8437025944,482842.596611469,497691.57070139406,2.4865741299964217
B2,stimulus,2,0,-1,N0,maintenance,0,362,168460.23079023443,170632.94326292828,93320.42377148996,1.4577811655770592
B2,stimulus,2,0,-1,N0,maintenance,1,362,223101.7846108442,227760.44690903454,388221.7368384468,1.0760166482251303
B2,stimulus,2,0,-1,N0,maintenance,2,362,440484.1904802869,442683.82240971166,584931.1057105073,2.257971768854265
B2,stimulus,2,0,-1,N0,retrieval,0,385,834312.2883272438,829088.4451703458,483036.13857502455,7.219773678497527
B2,stimulus,2,0,-1,N0,retrieval,1,385,93254.66616729212,85688.06512004627,95385.07387679485,0.4497658927099671
B2,stimulus,2,0,-1,N0,retrieval,2,385,87806.6777320575,80529.3886405403,167292.93282647358,0.4501069589346438
B2,stimulus,3,0,-1,N0,encoding,0,205,7437.211659941445,7662.669012367044,9047.441279627035,0.0643583772348793
B2,stimulus,3,0,-1,N0,encoding,1,205,18882.979778723522,18160.96509789129,31245.702376139045,0.0910723356401937
B2,stimulus,3,0,-1,N0,encoding,2,205,21421.27402086286,21209.749401104247,23924.890995969407,0.10980787287566518
B2,stimulus,3,0,-1,N0,maintenance,0,363,33553.9808486381,32289.857376951837,95935.11998062312,0.2903614763070449
B2,stimulus,3,0,-1,N0,maintenance,1,363,95123.8169817623,97485.5696408768,211115.9989475403,0.4587807797845894
B2,stimulus,3,0,-1,N0,maintenance,2,363,115416.5497605977,116295.70667199962,193777.66756849448,0.5916382849832521
B2,stimulus,3,0,-1,N0,retrieval,0,384,53095.877154028545,52287.77878440152,199700.59427796747,0.4594685007959936
B2,stimulus,3,0,-1,N0,retrieval,1,384,112306.19639983989,109282.54803143581,292366.6362081737,0.5416511447268592
B2,stimulus,3,0,-1,N0,retrieval,2,384,169087.84827785395,166955.11177419074,382332.45175930456,0.8667634301503816
B2,stimulus,4,0,1,N0,encoding,0,205,6677.128388623982,5063.25162117945,3945.20794029761,0.05778094900746275
B2,stimulus,4,0,1,N0,encoding,1,205,14825.619642008132,12451.152010294712,4799.656631297143,0.07150374696858809
B2,stimulus,4,0,1,N0,encoding,2,205,13661.761765447798,11407.633957249485,9372.783538567286,0.07003173563518457
B2,stimulus,4,0,1,N0,maintenance,0,363,100128.8641636079,105842.92710044651,41643.58100273295,0.8664714017285612
B2,stimulus,4,0,1,N0,maintenance,1,363,188902.8745085247,196669.0314239954,102987.06164692412,0.9110758043612499
B2,stimulus,4,0,1,N0,maintenance,2,363,197949.84835241374,205835.46913313086,132498.31225916464,1.014713306149262
B2,stimulus,4,0,1,N0,retrieval,0,248,54895.82229503866,51963.47985789724,183337.1446514522,0.47504443888730363
B2,stimulus,4,0,1,N0,retrieval,1,248,227518.50650679698,218073.45816974624,459126.0625755034,1.0973184334121713
B2,stimulus,4,0,1,N0,retrieval,2,248,177796.0382316681,170055.63181223485,376763.11667820724,0.9114025965460996
B2,stimulus,5,0,-1,N0,encoding,0,205,19901.72068251701,18668.30540528371,16319.177170823801,0.17222078728880946
B2,stimulus,5,0,-1,N0,encoding,1,205,16874.36014576976,18142.545021536014,8052.773403419505,0.08138479249131181
B2,stimulus,5,0,-1,N0,encoding,2,205,38241.97840489322,38842.49293411236,34847.958419515446,0.19603270557617838
B2,stimulus,5,0,-1,N0,maintenance,0,363,83018.21974898744,85459.55937781517,25342.960474916777,0.7184033678578279
B2,stimulus,5,0,-1,N0,maintenance,1,363,39166.767520808135,37287.56765168842,3096.9166640659764,0.18890074762541542
B2,stimulus,5,0,-1,N0,maintenance,2,363,121867.5605990149,120794.01841963743,60591.41450569567,0.6247068959993173
B2,stimulus,5,0,-1,N0,retrieval,0,285,41850.84167272788,44181.587556796236,1449.3095174856298,0.36215888146335673
B2,stimulus,5,0,-1,N0,retrieval,1,285,1936.1404480053075,2502.6076287564024,38947.39196981979,0.00933797709861309
B2,stimulus,5,0,-1,N0,retrieval,2,285,39166.441104946105,42343.47930687169,3704.0608866652565,0.20077160591174356
B2,stimulus,6,0,1,N0,encoding,0,205,101924.39881188158,107231.59100143485,113167.43703320557,0.8820091733445441
B2,stimulus,6,0,1,N0,encoding,1,205,156926.8485249816,164723.79756531026,204808.48790550043,0.7568558981315112
B2,stimulus,6,0,1,N0,encoding,2,205,263331.9568697885,272457.7270857589,283499.2771497668,1.3498693875955157
B2,stimulus,6,0,1,N0,maintenance,0,362,105313.1559391818,98931.28705171628,196163.20533367337,0.9113339955397874
B2,stimulus,6,0,1,N0,maintenance,1,362,44522.50626034885,40940.627103807885,99073.83631680628,0.214731397332419
B2,stimulus,6,0,1,N0,maintenance,2,362,173512.09735513057,165411.62983522625,250741.2602389125,0.8894426311995216
B2,stimulus,6,0,1,N0,retrieval,0,284,3548.4124972143745,2639.2302150984087,48920.841901315966,0.030706409945374716
B2,stimulus,6,0,1,N0,retrieval,1,284,36035.40513238514,37548.48496961824,1249.7764754274892,0.17379823256733834
B2,stimulus,6,0,1,N0,retrieval,2,284,7283.240927485412,6728.5873933045705,27453.284036285906,0.03733471655837327
B2,stimulus,7,0,1,N0,encoding,0,205,2199.815351670195,2067.0524360570025,2094.635270726578,0.01903624002157063
