dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,retained,reason,prefix_end_sample,prefix_end_s,prefix_last_included_after_target_s,saturation_fraction,PTP,max_jump
A2,1,0,1,5133,5185,0.203125,5701,platform_onset_hypothesis,6134,-1.0,6134,-1,6134,explicit_click,2.21875,3.91015625,1.69140625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,False,block_boundary_24s_buffer,5855,2.8203125,0.59765625,,,
A2,2,0,-1,7418,7470,0.203125,7985,platform_onset_hypothesis,8490,-1.0,8490,-1,8490,explicit_click,2.21484375,4.1875,1.97265625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,8139,2.81640625,0.59765625,0.0,636.3480264580421,12.652875667622311
A2,3,0,-1,9778,9830,0.203125,10345,platform_onset_hypothesis,10730,-1.0,10730,-1,10730,explicit_click,2.21484375,3.71875,1.50390625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,10499,2.81640625,0.59765625,0.0,442.4954947792736,10.009677946549374
A2,4,0,-1,12014,12066,0.203125,12581,platform_onset_hypothesis,12969,-1.0,12969,-1,12969,explicit_click,2.21484375,3.73046875,1.515625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,12735,2.81640625,0.59765625,0.0,224.81127602234508,8.723892228278359
A2,5,0,1,14255,14307,0.203125,14822,platform_onset_hypothesis,15193,-1.0,15193,-1,15193,explicit_click,2.21484375,3.6640625,1.44921875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,14976,2.81640625,0.59765625,0.0,486.6206152786602,10.997352355333533
A2,6,0,-1,16479,16531,0.203125,17046,platform_onset_hypothesis,17389,1.0,17389,1,17389,explicit_click,2.21484375,3.5546875,1.33984375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,17200,2.81640625,0.59765625,0.0,430.2815006978359,12.503813338161564
A2,7,0,1,18675,18727,0.203125,19243,platform_onset_hypothesis,19580,-1.0,19580,-1,19580,explicit_click,2.21875,3.53515625,1.31640625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,19397,2.8203125,0.59765625,0.0,442.5574014474947,9.73893017156849
A2,8,0,1,20864,20916,0.203125,21431,platform_onset_hypothesis,21772,-1.0,21772,-1,21772,explicit_click,2.21484375,3.546875,1.33203125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,21585,2.81640625,0.59765625,0.0,357.4678031617037,9.663848942410368
A2,9,0,-1,23056,23108,0.203125,23624,platform_onset_hypothesis,24050,1.0,24050,1,24050,explicit_click,2.21875,3.8828125,1.6640625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,23778,2.8203125,0.59765625,0.0,376.6816136591945,10.246056659110991
A2,10,0,-1,25337,25389,0.203125,25904,platform_onset_hypothesis,26248,-1.0,26248,-1,26248,explicit_click,2.21484375,3.55859375,1.34375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,26058,2.81640625,0.59765625,0.0,527.7652321027008,10.231796296356379
