dataset,setting,stage,model,control,S,ci_low,ci_high,n_boot
A1,context_comparison,encoding,N2,past_N0,-0.09605348039008144,-0.18184406604308068,-0.01995495520864754,2000
A1,context_comparison,encoding,N2,stimulus_N2,-0.03212448806698709,-0.329231107895839,0.22902280765616734,2000
A1,context_comparison,maintenance,N2,past_N0,-0.013045826331550492,-0.030157295025437625,0.016119481836654126,2000
A1,context_comparison,maintenance,N2,stimulus_N2,0.1415002034965378,0.028659020733241558,0.27952274069801597,2000
A1,context_comparison,retrieval,N2,past_N0,0.026068298428256198,-0.02014694949328888,0.09937667433051967,2000
A1,context_comparison,retrieval,N2,stimulus_N2,0.22778180711190832,0.1493988718449375,0.37097918043480016,2000
A2,context_comparison,encoding,N2,past_N0,0.08014195474950359,0.013894362414051065,0.278732253117411,2000
A2,context_comparison,encoding,N2,stimulus_N2,0.05562021548138796,-0.07053992526501895,0.3072874478126487,2000
A2,context_comparison,maintenance,N2,past_N0,0.01810902816097626,0.0005543328019533833,0.03293678449997528,2000
A2,context_comparison,maintenance,N2,stimulus_N2,0.3829523883046755,0.24272972600509313,0.5306985541448055,2000
A2,context_comparison,retrieval,N2,past_N0,0.01072849693775102,-0.022891447300595898,0.043216705992429105,2000
A2,context_comparison,retrieval,N2,stimulus_N2,0.34074127853109615,0.13532004339533144,0.581152608731758,2000
B1,context_comparison,encoding,N2,past_N0,-0.0012088596800732265,-0.02265136085316488,0.04004366862363229,2000
B1,context_comparison,encoding,N2,stimulus_N2,0.38181076379689805,0.16379580543366323,0.6050224239688319,2000
B1,context_comparison,maintenance,N2,past_N0,-0.0023547107528685274,-0.023630719928490418,0.007967864300829963,2000
B1,context_comparison,maintenance,N2,stimulus_N2,0.3828971375002259,0.307184804301074,0.4921359935122789,2000
B1,context_comparison,retrieval,N2,past_N0,0.000754138924776826,-0.011895729671874689,0.007378493964198651,2000
B1,context_comparison,retrieval,N2,stimulus_N2,0.43974825049106636,0.22842251677662073,0.5602760875636086,2000
B2,context_comparison,encoding,N2,past_N0,0.035411552418344816,-0.0049072774880722925,0.0931106951451538,2000
B2,context_comparison,encoding,N2,stimulus_N2,0.32909792625448175,0.20191492741242378,0.5166106516159719,2000
B2,context_comparison,maintenance,N2,past_N0,0.0012892790444539726,-0.018155552000076014,0.024714287182474592,2000
B2,context_comparison,maintenance,N2,stimulus_N2,0.4858687179172547,0.3292186939968472,0.6263749322324641,2000
B2,context_comparison,retrieval,N2,past_N0,0.014825291765312998,0.0038969395242275384,0.029807594152544525,2000
B2,context_comparison,retrieval,N2,stimulus_N2,0.5511685347212586,0.32282825395081993,0.7005102883820679,2000
