scenario,time_s,correct_cdf,error_cdf,unresolved_survival
nominal,0.0,0.0,0.0,1.0
nominal,0.00390625,0.0,0.0,1.0
nominal,0.0078125,0.0,0.0,1.0
nominal,0.01171875,0.0,0.0,1.0
nominal,0.015625,0.0,0.0,1.0
nominal,0.01953125,0.0,0.0,1.0
nominal,0.0234375,0.0,0.0,1.0
nominal,0.02734375,0.0,0.0,1.0
nominal,0.03125,0.0,0.0,1.0
nominal,0.03515625,0.0,0.0,1.0
nominal,0.0390625,0.0,0.0,1.0
nominal,0.04296875,0.0,0.0,1.0
nominal,0.046875,0.0,0.0,1.0
nominal,0.05078125,0.0,0.0,1.0
nominal,0.0546875,0.0,0.0,1.0
nominal,0.05859375,0.0,0.0,1.0
nominal,0.0625,0.0,0.0,1.0
nominal,0.06640625,0.0,0.0,1.0
nominal,0.0703125,0.0,0.0,1.0
nominal,0.07421875,0.0,0.0,1.0
nominal,0.078125,0.0,0.0,1.0
nominal,0.08203125,0.0,0.0,1.0
nominal,0.0859375,0.0,0.0,1.0
nominal,0.08984375,0.0,0.0,1.0
nominal,0.09375,0.0,0.0,1.0
nominal,0.09765625,0.0,0.0,1.0
nominal,0.1015625,0.0,0.0,1.0
nominal,0.10546875,0.0,0.0,1.0
nominal,0.109375,0.0,0.0,1.0
nominal,0.11328125,0.0,0.0,1.0
nominal,0.1171875,0.0,0.0,1.0
nominal,0.12109375,0.0,0.0,1.0
nominal,0.125,0.0,0.0,1.0
nominal,0.12890625,0.0,0.0,1.0
nominal,0.1328125,0.0,0.0,1.0
nominal,0.13671875,0.0,0.0,1.0
nominal,0.140625,0.0,0.0,1.0
nominal,0.14453125,0.0,0.0,1.0
nominal,0.1484375,0.0,0.0,1.0
nominal,0.15234375,0.0,0.0,1.0
nominal,0.15625,0.0,0.0,1.0
nominal,0.16015625,0.0,0.0,1.0
nominal,0.1640625,0.0,0.0,1.0
nominal,0.16796875,0.0,0.0,1.0
nominal,0.171875,0.0,0.0,1.0
nominal,0.17578125,0.00016666666666666666,0.0,0.9998333333333334
nominal,0.1796875,0.00016666666666666666,0.0,0.9998333333333334
nominal,0.18359375,0.00016666666666666666,0.0,0.9998333333333334
nominal,0.1875,0.00016666666666666666,0.0,0.9998333333333334
nominal,0.19140625,0.0005,0.0,0.9995
nominal,0.1953125,0.0006666666666666666,0.0,0.9993333333333333
nominal,0.19921875,0.0006666666666666666,0.0,0.9993333333333333
nominal,0.203125,0.0008333333333333334,0.0,0.9991666666666666
nominal,0.20703125,0.001,0.0,0.999
nominal,0.2109375,0.001,0.0,0.999
nominal,0.21484375,0.0011666666666666668,0.0,0.9988333333333334
nominal,0.21875,0.0011666666666666668,0.0,0.9988333333333334
nominal,0.22265625,0.0013333333333333333,0.0,0.9986666666666667
nominal,0.2265625,0.0016666666666666668,0.0,0.9983333333333333
nominal,0.23046875,0.0016666666666666668,0.0,0.9983333333333333
nominal,0.234375,0.0023333333333333335,0.0,0.9976666666666667
nominal,0.23828125,0.0025,0.0,0.9975
