dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,next_cue_sample,record_stop_sample,target_sample,target_s,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_s,rt_s,response_status,correctness,correctness_reason,timeout,timeout_reason,n_platforms,n_clicks,cue_platform_disagree,valid_events,event_issue,horizon_s,gap_s,retained,end_s,behavior_duration_s,behavior_event,behavior_survival_eligible,eeg_administrative_cutoff,window_status,bound_reason,behavior_status,filter_start_sample,filter_stop_sample,filter_mode,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump,past_slopes
A1,1,0,-1,5162,5214,0.203125,7538,223845,5758,2.328125,platform_onset_hypothesis,6256,-1.0,,,6256,4.2734375,1.9453125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,4.1734375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,block_boundary_24s_buffer,5098,6231,,,,
A1,2,0,1,7538,7590,0.203125,9690,223845,8105,2.21484375,platform_onset_hypothesis,8407,1.0,,,8407,3.39453125,1.1796875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.29453125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,7474,8382,0.0,1084.627646358224,9.324739129294244,"[[20.290152235695302, 339.3105464011968, 40.97941601563434], [-0.6505562561614155, -68.81853191401692, -690.8181557084582], [-2.4170113514196285, -29.039494677615565, -0.5533642705440753]]"
A1,3,0,-1,9690,9743,0.20703125,11851,223845,10258,2.21875,platform_onset_hypothesis,10567,-1.0,,,10567,3.42578125,1.20703125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.32578125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,quality,9626,10542,0.24608763693270735,1450.2062586755567,13.313594610653809,
A1,4,0,-1,11851,11903,0.203125,14055,223845,12418,2.21484375,platform_onset_hypothesis,12771,-1.0,,,12771,3.59375,1.37890625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.49375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,quality,11787,12746,0.06480446927374302,1261.8567892167143,9.452890612182586,
A1,5,0,1,14055,14107,0.203125,16216,223845,14623,2.21875,platform_onset_hypothesis,14932,1.0,,,14932,3.42578125,1.20703125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.32578125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,13991,14907,0.0,429.92814664169407,9.206681033235952,"[[-10.019657000003036, -346.20013010606715, -464.4374533982773], [-10.804447972073339, -84.88379137789249, -275.37434177609407], [-10.747969428071613, 62.969886581402996, 169.32177418177906]]"
A1,6,0,-1,16216,16268,0.203125,18368,223845,16783,2.21484375,platform_onset_hypothesis,17086,-1.0,,,17086,3.3984375,1.18359375,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.2984375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,16152,17061,0.0,823.0038853617859,9.006504002562679,"[[-41.31131337244973, -827.0454493322782, -1084.5513892044648], [-12.29919537493658, -206.47226288999326, -229.1696981076799], [1.3016917657079468, 18.183483711331224, 42.32623693324143]]"
A1,7,0,-1,18368,18420,0.203125,20589,223845,18936,2.21875,platform_onset_hypothesis,19306,-1.0,,,19306,3.6640625,1.4453125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.5640625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,18304,19281,0.0,366.7141874327989,9.257513931290845,"[[14.420548693951947, 114.77816049221178, 139.8746438419543], [-3.3147227426340153, 27.1085100704515, 32.80187038386839], [-1.0926468113463748, -21.2812832239683, -36.43936833624314]]"
A1,8,0,-1,20589,20641,0.203125,22705,223845,21156,2.21484375,platform_onset_hypothesis,21421,-1.0,,,21421,3.25,1.03515625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.15,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,20525,21396,0.0,912.0564765408917,10.254663738963302,"[[18.998715609954143, 47.886238651060125, 151.9580917724802], [5.978986891467538, 249.35868383473388, 483.7149828816323], [0.3415910231288708, -22.912088404253133, -33.59173047573841]]"
A1,9,0,1,22705,22757,0.203125,24854,223845,23272,2.21484375,platform_onset_hypothesis,23572,1.0,,,23572,3.38671875,1.171875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.28671875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,22641,23547,0.0,541.7705869981908,7.265338977725538,"[[-9.582452863156675, -83.50362977863813, -4.347988587078703], [12.259159772065285, 24.544929744598562, -56.61374705695134], [1.7744458415845783, -7.410836166550284, -9.962663113370034]]"
A1,10,0,1,24854,24906,0.203125,27102,223845,25421,2.21484375,platform_onset_hypothesis,25817,1.0,,,25817,3.76171875,1.546875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.66171875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,24790,25792,0.0,305.74944112780975,8.08964753667712,"[[7.5539513500595845, 34.93721573184786, 128.42562084086626], [16.187276460094374, 72.30938126371717, 242.89264716200074], [-1.8040348374290298, 26.173712813090084, -23.881301379473115]]"
A1,11,0,1,27102,27154,0.203125,29254,223845,27669,2.21484375,platform_onset_hypothesis,27970,1.0,,,27970,3.390625,1.17578125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.290625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,27038,27945,0.0,847.11504259153,9.821314751531816,"[[-41.4621231983869, -895.7009993994743, -536.5049637124376], [10.759375725875639, 193.1899999340415, 252.97753180984336], [-0.28485250068131174, 20.121699752553937, -2.2994123449114454]]"
A1,12,0,1,29254,29307,0.20703125,31379,223845,29822,2.21875,platform_onset_hypothesis,30096,1.0,,,30096,3.2890625,1.0703125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.1890625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,29190,30071,0.0,342.9125646292306,9.263844365034004,"[[1.2037961612170278, -32.555198615580196, -65.21807472226044], [-10.257326103923162, -44.577204833933486, 96.3074013355344], [-0.5452415952836377, 2.8629736643825474, -31.23919078788656]]"
A1,13,0,-1,31379,31431,0.203125,33520,223845,31946,2.21484375,platform_onset_hypothesis,32238,-1.0,,,32238,3.35546875,1.140625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.25546875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,31315,32213,0.0,141.60204596105638,9.227067445800714,"[[-10.675595070696616, 0.2996230836895961, 6.308710130074019], [10.810128978038072, 54.56109059176715, 72.60498414956989], [1.0240639390985162, 14.398917400411914, 5.016995009508281]]"
A1,14,0,-1,33520,33572,0.203125,35676,223845,34087,2.21484375,platform_onset_hypothesis,34391,-1.0,,,34391,3.40234375,1.1875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.30234375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,quality,33456,34366,0.09613869188337273,1076.080510814945,11.375796568948203,
A1,15,0,1,35676,35728,0.203125,37789,223845,36243,2.21484375,platform_onset_hypothesis,36507,1.0,,,36507,3.24609375,1.03125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.14609375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,quality,35612,36482,0.07650951199338296,1179.8498305543858,14.491925578057135,
A1,16,0,-1,37789,37841,0.203125,39897,223845,38356,2.21484375,platform_onset_hypothesis,38614,-1.0,,,38614,3.22265625,1.0078125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.12265625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,37725,38589,0.0,466.18750081259554,11.337703668042536,"[[-19.320814890193056, 214.57367659151123, 38.69920262104233], [5.077199870910087, -172.0188122609726, -280.2678434132498], [0.8066164886759799, 67.22543094459695, 124.97431161705093]]"
A1,17,0,1,39897,39949,0.203125,42110,223845,40465,2.21875,platform_onset_hypothesis,40824,1.0,,,40824,3.62109375,1.40234375,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.52109375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,39833,40799,0.0,380.4264455104759,8.124486673145839,"[[20.000890663894197, 330.2214004416446, 529.7256806466232], [-12.244546817720837, 245.3910576250514, 347.3080164629149], [1.0163566469907614, -52.82783684751517, -46.58771775749232]]"
A1,18,0,-1,42110,42162,0.203125,44282,223845,42677,2.21484375,platform_onset_hypothesis,42997,-1.0,,,42997,3.46484375,1.25,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.36484375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,block_boundary_24s_buffer,42046,42972,,,,
A1,19,0,-1,44282,44334,0.203125,46443,223845,44849,2.21484375,platform_onset_hypothesis,45160,-1.0,,,45160,3.4296875,1.21484375,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.3296875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,block_boundary_24s_buffer,44218,45135,,,,
A1,20,0,1,46443,46495,0.203125,48579,223845,47010,2.21484375,platform_onset_hypothesis,47295,1.0,,,47295,3.328125,1.11328125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.228125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,block_boundary_24s_buffer,46379,47270,,,,
