dataset,block,model,stage,MSE,zero_MSE,S_delta,n_timepoints
A2,0,B0,encoding,4802.406561967101,3458.4725857971616,-0.38859176784834015,205
A2,0,N0,encoding,4790.365213167132,3458.4725857971616,-0.3851100722439227,205
A2,0,N1,encoding,4981.535478503813,3458.4725857971616,-0.44038599552917734,205
A2,0,N2,encoding,4476.593753640451,3458.4725857971616,-0.29438462864340353,205
A2,0,N3,encoding,4154.997212304634,3458.4725857971616,-0.20139660188948016,205
A2,0,B0,maintenance,5480.8134947416675,5333.097783900344,-0.02769791907571051,363
A2,0,N0,maintenance,5324.058018886789,5333.097783900344,0.00169503080195621,363
A2,0,N1,maintenance,5272.06826069002,5333.097783900344,0.011443541011860181,363
A2,0,N2,maintenance,5334.034446982726,5333.097783900344,-0.00017563208482873627,363
A2,0,N3,maintenance,5243.6114137046825,5333.097783900344,0.016779435484158056,363
A2,0,B0,retrieval,7462.096277083623,5519.031090471896,-0.3520663599750782,346
A2,0,N0,retrieval,5708.859969480812,5519.031090471896,-0.03439532698712955,346
A2,0,N1,retrieval,7549.985051432135,5519.031090471896,-0.36799103459781124,346
A2,0,N2,retrieval,5733.979842952068,5519.031090471896,-0.038946827614589896,346
A2,0,N3,retrieval,5275.221354792212,5519.031090471896,0.044176184493796344,346
A2,1,B0,encoding,4210.150559097078,4606.89653333601,0.08612000972195366,205
A2,1,N0,encoding,4164.053981054379,4606.89653333601,0.09612600349870548,205
A2,1,N1,encoding,4416.585198295788,4606.89653333601,0.04131009534577301,205
A2,1,N2,encoding,4275.000387493892,4606.89653333601,0.0720433253580759,205
A2,1,N3,encoding,3674.6199365360285,4606.89653333601,0.2023654297538322,205
A2,1,B0,maintenance,6396.691025768594,7500.146412411621,0.14712451277177374,362
A2,1,N0,maintenance,6447.0245065328045,7500.146412411621,0.14041351301303362,362
A2,1,N1,maintenance,6442.753716192579,7500.146412411621,0.1409829406088946,362
A2,1,N2,maintenance,6243.396245325648,7500.146412411621,0.1675634178295825,362
A2,1,N3,maintenance,6095.610416025202,7500.146412411621,0.18726781040729046,362
A2,1,B0,retrieval,20358.27037015415,17774.443449399023,-0.14536752884054382,301
A2,1,N0,retrieval,20235.562938570754,17774.443449399023,-0.13846394100485582,301
A2,1,N1,retrieval,17382.886020642734,17774.443449399023,0.022029237082499376,301
A2,1,N2,retrieval,16743.79171865794,17774.443449399023,0.05798503529380161,301
A2,1,N3,retrieval,17527.185480121232,17774.443449399023,0.013910869838580031,301
A2,2,B0,encoding,27437.21925710108,19513.089166505622,-0.4060930600469601,205
A2,2,N0,encoding,28041.363548968628,19513.089166505622,-0.4370540363799422,205
A2,2,N1,encoding,28749.416307566466,19513.089166505622,-0.47334007763953,205
A2,2,N2,encoding,29498.83115792733,19513.089166505622,-0.511745828977316,205
A2,2,N3,encoding,30754.636283723285,19513.089166505622,-0.5761028928476313,205
A2,2,B0,maintenance,35152.3754716007,29601.245527106174,-0.1875302827852734,363
A2,2,N0,maintenance,34746.24297301071,29601.245527106174,-0.17381016758883372,363
A2,2,N1,maintenance,37859.75802006429,29601.245527106174,-0.2789920608372951,363
A2,2,N2,maintenance,41244.18696555209,29601.245527106174,-0.39332606554627425,363
A2,2,N3,maintenance,39843.211646821015,29601.245527106174,-0.3459978097994614,363
A2,2,B0,retrieval,80142.0534635714,19154.66544625566,-3.1839443078990195,355
A2,2,N0,retrieval,80114.54469051702,19154.66544625566,-3.1825081683260485,355
A2,2,N1,retrieval,82622.49683859326,19154.66544625566,-3.3134398285585425,355
A2,2,N2,retrieval,120190.19030684516,19154.66544625566,-5.2747214585436595,355
A2,2,N3,retrieval,126422.64901510824,19154.66544625566,-5.600096951305471,355
A2,3,B0,encoding,1741.813451529769,7794.445299922961,0.7765314420069143,205
A2,3,N0,encoding,3779.705328178016,7794.445299922961,0.5150770602989062,205
A2,3,N1,encoding,3892.029165932377,7794.445299922961,0.5006663057894774,205
A2,3,N2,encoding,3858.98061831476,7794.445299922961,0.5049063185608729,205
A2,3,N3,encoding,3591.1996955880795,7794.445299922961,0.5392616719468704,205
A2,3,B0,maintenance,8728.535979641756,15513.21955655766,0.437348517642034,362
A2,3,N0,maintenance,8488.778140385055,15513.21955655766,0.4528035841021326,362
A2,3,N1,maintenance,8523.425074396648,15513.21955655766,0.45057020283106397,362
A2,3,N2,maintenance,8522.314224342563,15513.21955655766,0.45064180950497423,362
A2,3,N3,maintenance,8360.151314314928,15513.21955655766,0.4610950174568391,362
A2,3,B0,retrieval,69994.63099494169,25802.090431715595,-1.7127503943984785,340
A2,3,N0,retrieval,46059.5775271437,25802.090431715595,-0.7851103052692143,340
A2,3,N1,retrieval,45887.05078194266,25802.090431715595,-0.778423763895459,340
A2,3,N2,retrieval,45585.56565809567,25802.090431715595,-0.7667392407113838,340
A2,3,N3,retrieval,44314.96808572511,25802.090431715595,-0.7174952627580022,340
A2,4,B0,encoding,23195.87802496336,21484.55409495634,-0.07965368619908975,205
A2,4,N0,encoding,23714.358483336637,21484.55409495634,-0.10378639363540532,205
A2,4,N1,encoding,23768.112468462183,21484.55409495634,-0.1062883764500342,205
A2,4,N2,encoding,22247.122805024097,21484.55409495634,-0.03549381135384033,205
A2,4,N3,encoding,20012.175143212993,21484.55409495634,0.06853197628565155,205
A2,4,B0,maintenance,18654.502401941223,16631.826910634438,-0.12161475117405662,362
A2,4,N0,maintenance,18380.753505251978,16631.826910634438,-0.10515541100895365,362
A2,4,N1,maintenance,19161.892955543066,16631.826910634438,-0.15212195620499736,362
A2,4,N2,maintenance,18267.53703479912,16631.826910634438,-0.09834819307305342,362
A2,4,N3,maintenance,17260.422314513595,16631.826910634438,-0.03779472978264531,362
A2,4,B0,retrieval,36434.82146926819,63359.528758465334,0.4249511922955992,300
A2,4,N0,retrieval,36298.71750208211,63359.528758465334,0.42709931381501454,300
A2,4,N1,retrieval,36190.21688041777,63359.528758465334,0.4288117732317813,300
A2,4,N2,retrieval,34347.98792685599,63359.528758465334,0.4578875727154643,300
A2,4,N3,retrieval,33924.64528663371,63359.528758465334,0.46456916660540803,300
