dataset,block,model,stage,MSE,zero_MSE,S_delta,n_timepoints
B1,0,B0,encoding,2667.6896681501294,681.9116682332012,-2.912075115332722,205
B1,0,N0,encoding,2205.8148017697654,681.9116682332012,-2.234751514789181,205
B1,0,N1,encoding,1957.5117202635915,681.9116682332012,-1.870623588734602,205
B1,0,N2,encoding,1656.0784691047725,681.9116682332012,-1.4285820968507377,205
B1,0,N3,encoding,3523.0360646938866,681.9116682332012,-4.166411177303793,205
B1,0,B0,maintenance,3839.459671177392,11361.931949329442,0.6620768643660122,362
B1,0,N0,maintenance,4315.037551456846,11361.931949329442,0.6202197328147604,362
B1,0,N1,maintenance,4538.613160369058,11361.931949329442,0.600542127816835,362
B1,0,N2,maintenance,4550.931359987363,11361.931949329442,0.5994579636383098,362
B1,0,N3,maintenance,6433.439524975547,11361.931949329442,0.4337723941961089,362
B1,0,B0,retrieval,25847.09544101352,59693.11862799473,0.5670004175507792,267
B1,0,N0,retrieval,26096.51249914013,59693.11862799473,0.5628220957632886,267
B1,0,N1,retrieval,26180.126839055498,59693.11862799473,0.5614213590982059,267
B1,0,N2,retrieval,25856.185821939387,59693.11862799473,0.5668481323102892,267
B1,0,N3,retrieval,26504.207177166758,59693.11862799473,0.5559922519320866,267
B1,1,B0,encoding,28596.98575682952,18785.082687661907,-0.522324188416381,205
B1,1,N0,encoding,28656.662491921597,18785.082687661907,-0.5255010035565812,205
B1,1,N1,encoding,29062.297865927754,18785.082687661907,-0.5470944871068335,205
B1,1,N2,encoding,31852.790752970348,18785.082687661907,-0.6956428290779548,205
B1,1,N3,encoding,33079.11882336519,18785.082687661907,-0.7609248451747113,205
B1,1,B0,maintenance,110179.6235324475,65997.77797737363,-0.6694444405419373,362
B1,1,N0,maintenance,109709.71566110944,65997.77797737363,-0.6623243845985514,362
B1,1,N1,maintenance,108850.29456298088,65997.77797737363,-0.6493024143979305,362
B1,1,N2,maintenance,108428.18339480255,65997.77797737363,-0.6429065753088772,362
B1,1,N3,maintenance,110470.19726270331,65997.77797737363,-0.6738472210469935,362
B1,1,B0,retrieval,18073.179001794077,15439.796238019238,-0.1705581293417815,277
B1,1,N0,retrieval,18093.458396866354,15439.796238019238,-0.1718715789987364,277
B1,1,N1,retrieval,18066.420230679574,15439.796238019238,-0.17012037932161883,277
B1,1,N2,retrieval,15774.598184380577,15439.796238019238,-0.021684350052296297,277
B1,1,N3,retrieval,13864.787298386242,15439.796238019238,0.10200969723646136,277
B1,2,B0,encoding,4367.468926273398,22732.27418136002,0.8078736473337705,205
B1,2,N0,encoding,4238.959314871654,22732.27418136002,0.8135268261744129,205
B1,2,N1,encoding,4297.197767898943,22732.27418136002,0.8109648980293158,205
B1,2,N2,encoding,5136.694524831712,22732.27418136002,0.7740351676277206,205
B1,2,N3,encoding,4096.048644262269,22732.27418136002,0.8198135122080772,205
B1,2,B0,maintenance,54388.75172273017,39915.802392301535,-0.3625869571200202,362
B1,2,N0,maintenance,53812.059825977296,39915.802392301535,-0.3481392481378729,362
B1,2,N1,maintenance,53432.958856549216,39915.802392301535,-0.33864173219914284,362
B1,2,N2,maintenance,51780.47051607456,39915.802392301535,-0.297242380528002,362
B1,2,N3,maintenance,54725.1744863062,39915.802392301535,-0.3710152672982696,362
B1,2,B0,retrieval,39094.10117510647,88266.68331658025,0.5570910823182258,220
B1,2,N0,retrieval,39159.947780149596,88266.68331658025,0.5563450861782445,220
B1,2,N1,retrieval,39235.13420672645,88266.68331658025,0.5554932763701521,220
B1,2,N2,retrieval,38977.19176548745,88266.68331658025,0.5584155844432204,220
B1,2,N3,retrieval,40850.11001890197,88266.68331658025,0.5371967260581483,220
B1,3,B0,encoding,4039.9071192917595,5698.6406675042035,0.29107530111016966,205
B1,3,N0,encoding,4750.282948570957,5698.6406675042035,0.16641823449952542,205
B1,3,N1,encoding,5410.59481282843,5698.6406675042035,0.050546414747348334,205
B1,3,N2,encoding,6414.6290767497085,5698.6406675042035,-0.1256419646405047,205
B1,3,N3,encoding,6559.934069300453,5698.6406675042035,-0.15114014938819875,205
B1,3,B0,maintenance,12917.057634640545,5541.738059057895,-1.3308675900925686,362
B1,3,N0,maintenance,12214.100983075097,5541.738059057895,-1.2040199036674633,362
B1,3,N1,maintenance,11908.97547254624,5541.738059057895,-1.1489603704890352,362
B1,3,N2,maintenance,11213.20735328815,5541.738059057895,-1.0234098461150318,362
B1,3,N3,maintenance,11698.097915054734,5541.738059057895,-1.1109077676333605,362
B1,3,B0,retrieval,19247.303309844858,4214.446802210204,-3.5669821481080026,258
B1,3,N0,retrieval,19219.45765072087,4214.446802210204,-3.560374956125087,258
B1,3,N1,retrieval,19227.568658452914,4214.446802210204,-3.5622995284622654,258
B1,3,N2,retrieval,18496.68241581498,4214.446802210204,-3.3888755236190597,258
B1,3,N3,retrieval,15026.395183785327,4214.446802210204,-2.5654490112213444,258
B1,4,B0,encoding,2484.8992697768617,4312.4301257781535,0.423782137379333,205
B1,4,N0,encoding,2381.4459313264815,4312.4301257781535,0.44777170600607397,205
B1,4,N1,encoding,2003.1581963750928,4312.4301257781535,0.5354920223748242,205
B1,4,N2,encoding,1406.039056005723,4312.4301257781535,0.6739566752395759,205
B1,4,N3,encoding,2145.6583466272227,4312.4301257781535,0.5024479738694778,205
B1,4,B0,maintenance,8482.259217128802,17644.021184892114,0.5192558925064186,363
B1,4,N0,maintenance,11194.206921230902,17644.021184892114,0.3655523985192183,363
B1,4,N1,maintenance,10652.986728263615,17644.021184892114,0.39622682286363653,363
B1,4,N2,maintenance,12878.004874926919,17644.021184892114,0.2701207542216141,363
B1,4,N3,maintenance,10491.35205278749,17644.021184892114,0.4053876980282236,363
B1,4,B0,retrieval,1955.093085913819,20123.355949925255,0.9028445806564843,255
B1,4,N0,retrieval,1909.5280681960646,20123.355949925255,0.9051088658895805,255
B1,4,N1,retrieval,1923.0406831511364,20123.355949925255,0.9044373767508556,255
B1,4,N2,retrieval,2048.6004744777465,20123.355949925255,0.8981978711912932,255
B1,4,N3,retrieval,2601.924354507386,20123.355949925255,0.8707012706537623,255
