dataset,block,model,stage,MSE,zero_MSE,S_delta,n_timepoints
B1,0,N0,encoding,681.8039213625867,681.9116682332012,0.00015800707867874575,205
B1,0,N1,encoding,737.7871568843785,681.9116682332012,-0.08193948168675269,205
B1,0,N2,encoding,778.9623048541384,681.9116682332012,-0.14232141953574495,205
B1,0,N3,encoding,750.1261754624584,681.9116682332012,-0.1000342279022699,205
B1,0,N2_no_projection,encoding,735.0414413735841,681.9116682332012,-0.07791298435769467,205
B1,0,N2_no_retrieval,encoding,785.9962454000486,681.9116682332012,-0.1526364513405749,205
B1,0,N2_fixed_target,encoding,779.0018443159013,681.9116682332012,-0.1423794027960481,205
B1,0,N2_equal_penalty,encoding,778.9326177717112,681.9116682332012,-0.1422778844507624,205
B1,0,V1_M2,encoding,1145.9493423788585,681.9116682332012,-0.6804952837190124,205
B1,0,N0,maintenance,11353.206796968381,11361.931949329442,0.0007679285881989628,362
B1,0,N1,maintenance,11160.79358238616,11361.931949329442,0.017702831511427264,362
B1,0,N2,maintenance,11187.09215676269,11361.931949329442,0.015388209799748975,362
B1,0,N3,maintenance,11374.483749959172,11361.931949329442,-0.0011047241512893713,362
B1,0,N2_no_projection,maintenance,11141.628510739138,11361.931949329442,0.019389610813793534,362
B1,0,N2_no_retrieval,maintenance,11181.295682924529,11361.931949329442,0.015898376016551863,362
B1,0,N2_fixed_target,maintenance,11187.24091468443,11361.931949329442,0.01537511713888795,362
B1,0,N2_equal_penalty,maintenance,11183.43709973731,11361.931949329442,0.015709903068260034,362
B1,0,V1_M2,maintenance,10808.73882907357,11361.931949329442,0.0486882972651953,362
B1,0,N0,retrieval,59694.883571981256,59693.11862799473,-2.9566958924087672e-05,267
B1,0,N1,retrieval,59599.40495092831,59693.11862799473,0.0015699242931239699,267
B1,0,N2,retrieval,59765.32918055537,59693.11862799473,-0.0012096964310184255,267
B1,0,N3,retrieval,61558.03958440672,59693.11862799473,-0.03124180808903798,267
B1,0,N2_no_projection,retrieval,59606.46809735146,59693.11862799473,0.0014515999940172275,267
B1,0,N2_no_retrieval,retrieval,59665.01442543213,59693.11862799473,0.00047081143033833595,267
B1,0,N2_fixed_target,retrieval,59766.4268822983,59693.11862799473,-0.0012280855145201386,267
B1,0,N2_equal_penalty,retrieval,59730.42147979836,59693.11862799473,-0.0006249104195090727,267
B1,0,V1_M2,retrieval,60565.09998551274,59693.11862799473,-0.014607736663117876,267
B1,1,N0,encoding,18773.522195714988,18785.082687661907,0.0006154080947704532,205
B1,1,N1,encoding,18730.984308817904,18785.082687661907,0.002879858435732907,205
B1,1,N2,encoding,18936.967418211447,18785.082687661907,-0.008085390576922924,205
B1,1,N3,encoding,21668.237302236637,18785.082687661907,-0.15348107125812094,205
B1,1,N2_no_projection,encoding,18741.386359130294,18785.082687661907,0.0023261185089332725,205
B1,1,N2_no_retrieval,encoding,18929.653642340876,18785.082687661907,-0.007696051014666194,205
B1,1,N2_fixed_target,encoding,18935.350665629892,18785.082687661907,-0.007999324808225738,205
B1,1,N2_equal_penalty,encoding,19721.77842030373,18785.082687661907,-0.04986380673517332,205
B1,1,V1_M2,encoding,19589.127996490082,18785.082687661907,-0.042802330029469315,205
B1,1,N0,maintenance,66015.73477694807,65997.77797737363,-0.00027208188100824593,362
B1,1,N1,maintenance,66051.15943361362,65997.77797737363,-0.0008088371741590272,362
B1,1,N2,maintenance,66029.76675058798,65997.77797737363,-0.0004846947002568047,362
B1,1,N3,maintenance,68735.7326907821,65997.77797737363,-0.04148555901907991,362
B1,1,N2_no_projection,maintenance,66042.0697563584,65997.77797737363,-0.0006711101546472698,362
B1,1,N2_no_retrieval,maintenance,66037.15844025165,65997.77797737363,-0.0005966937688648422,362
B1,1,N2_fixed_target,maintenance,66029.2498755281,65997.77797737363,-0.00047686299628546536,362
B1,1,N2_equal_penalty,maintenance,66928.14693987057,65997.77797737363,-0.014096974034730536,362
B1,1,V1_M2,maintenance,66624.82257568507,65997.77797737363,-0.009500995602100826,362
B1,1,N0,retrieval,15438.780739655165,15439.796238019238,6.577148742237249e-05,277
B1,1,N1,retrieval,15527.750778623584,15439.796238019238,-0.005696612782218224,277
B1,1,N2,retrieval,15696.388783842891,15439.796238019238,-0.0166189075210601,277
B1,1,N3,retrieval,19618.99657612543,15439.796238019238,-0.27067716915947715,277
B1,1,N2_no_projection,retrieval,15490.068371736133,15439.796238019238,-0.0032560101792731277,277
B1,1,N2_no_retrieval,retrieval,15724.386561872874,15439.796238019238,-0.018432259044510957,277
B1,1,N2_fixed_target,retrieval,15699.178347801075,15439.796238019238,-0.01679958114622848,277
B1,1,N2_equal_penalty,retrieval,16716.121864846573,15439.796238019238,-0.08266466779428638,277
B1,1,V1_M2,retrieval,16317.885872978357,15439.796238019238,-0.05687184088588526,277
B1,2,N0,encoding,22730.61503410517,22732.27418136002,7.298641753183954e-05,205
B1,2,N1,encoding,22705.202583373204,22732.27418136002,0.0011908882398142806,205
B1,2,N2,encoding,22674.48106998993,22732.27418136002,0.0025423374233923823,205
B1,2,N3,encoding,22652.74151409882,22732.27418136002,0.0034986674288142172,205
B1,2,N2_no_projection,encoding,22707.930052994616,22732.27418136002,0.0010709059802457288,205
B1,2,N2_no_retrieval,encoding,22672.207799097036,22732.27418136002,0.002642339335860888,205
B1,2,N2_fixed_target,encoding,22674.49128412297,22732.27418136002,0.0025418881004184435,205
B1,2,N2_equal_penalty,encoding,22328.954991940012,22732.27418136002,0.017742139928556666,205
B1,2,V1_M2,encoding,22610.22572284708,22732.27418136002,0.005368950661919003,205
B1,2,N0,maintenance,39903.71345667045,39915.802392301535,0.0003028608948474343,362
B1,2,N1,maintenance,39891.19680039841,39915.802392301535,0.0006164373613563034,362
