dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B2,past,2,0,-1,B0,encoding,0,205,94526.40523391671,12526.900900381486,14660.776387364182,0.8179901722400864
B2,past,2,0,-1,B0,encoding,1,205,252338.51240248026,309291.5878501823,363420.702845186,1.2170249592895217
B2,past,2,0,-1,B0,encoding,2,205,162497.85955168976,482842.596611469,497691.57070139406,0.8329824027665792
B2,past,2,0,-1,B0,maintenance,0,362,29964.02048416941,170632.94326292828,93320.42377148996,0.25929552928832583
B2,past,2,0,-1,B0,maintenance,1,362,149610.29194230319,227760.44690903454,388221.7368384468,0.7215682526096453
B2,past,2,0,-1,B0,maintenance,2,362,72285.80569696642,442683.82240971166,584931.1057105073,0.37054521383540906
B2,past,2,0,-1,B0,retrieval,0,385,181384.77568916435,829088.4451703458,483036.13857502455,1.569624524920286
B2,past,2,0,-1,B0,retrieval,1,385,118325.00912930128,85688.06512004627,95385.07387679485,0.5706797906014157
B2,past,2,0,-1,B0,retrieval,2,385,202474.06826578194,80529.3886405403,167292.93282647358,1.037904969008569
B2,past,3,0,-1,B0,encoding,0,205,3066.5236043127875,7662.669012367044,9047.441279627035,0.026536354207724395
B2,past,3,0,-1,B0,encoding,1,205,7616.608076735061,18160.96509789129,31245.702376139045,0.03673478949470742
B2,past,3,0,-1,B0,encoding,2,205,7942.057871673078,21209.749401104247,23924.890995969407,0.04071188671105587
B2,past,3,0,-1,B0,maintenance,0,363,16641.51097476462,32289.857376951837,95935.11998062312,0.1440083582454769
B2,past,3,0,-1,B0,maintenance,1,363,52582.898207143095,97485.5696408768,211115.9989475403,0.2536065499498617
B2,past,3,0,-1,B0,maintenance,2,363,55655.467489311406,116295.70667199962,193777.66756849448,0.28529621968095487
B2,past,3,0,-1,B0,retrieval,0,384,42513.713854202484,52287.77878440152,199700.59427796747,0.367895087432004
B2,past,3,0,-1,B0,retrieval,1,384,69640.92048493275,109282.54803143581,292366.6362081737,0.33587714222106607
B2,past,3,0,-1,B0,retrieval,2,384,95248.4744694908,166955.11177419074,382332.45175930456,0.48825445050376093
B2,past,4,0,1,B0,encoding,0,205,1041.4973675053316,5063.25162117945,3945.20794029761,0.009012662746722149
B2,past,4,0,1,B0,encoding,1,205,3118.2442035993754,12451.152010294712,4799.656631297143,0.015039246244296305
B2,past,4,0,1,B0,encoding,2,205,2221.1229019458206,11407.633957249485,9372.783538567286,0.011385727152388623
B2,past,4,0,1,B0,maintenance,0,363,54523.774903913305,105842.92710044651,41643.58100273295,0.47182490346971306
B2,past,4,0,1,B0,maintenance,1,363,120207.16558575355,196669.0314239954,102987.06164692412,0.5797574036973382
B2,past,4,0,1,B0,maintenance,2,363,117974.58614278324,205835.46913313086,132498.31225916464,0.6047510687323787
B2,past,4,0,1,B0,retrieval,0,248,102960.04545562489,51963.47985789724,183337.1446514522,0.890971206486491
B2,past,4,0,1,B0,retrieval,1,248,346787.65121464664,218073.45816974624,459126.0625755034,1.6725517761174922
B2,past,4,0,1,B0,retrieval,2,248,287294.57082692976,170055.63181223485,376763.11667820724,1.4727044563506104
B2,past,5,0,-1,B0,encoding,0,205,14562.333961214988,18668.30540528371,16319.177170823801,0.1260160696439756
B2,past,5,0,-1,B0,encoding,1,205,29777.497046403703,18142.545021536014,8052.773403419505,0.14361643328086415
B2,past,5,0,-1,B0,encoding,2,205,28802.79939680919,38842.49293411236,34847.958419515446,0.14764640663051984
B2,past,5,0,-1,B0,maintenance,0,363,74489.33806900863,85459.55937781517,25342.960474916777,0.6445981556829133
B2,past,5,0,-1,B0,maintenance,1,363,78603.40489824163,37287.56765168842,3096.9166640659764,0.37910307362721873
B2,past,5,0,-1,B0,maintenance,2,363,115585.45986531954,120794.01841963743,60591.41450569567,0.5925041372798359
B2,past,5,0,-1,B0,retrieval,0,285,40953.43356030972,44181.587556796236,1449.3095174856298,0.3543931041164869
B2,past,5,0,-1,B0,retrieval,1,285,23463.170046970372,2502.6076287564024,38947.39196981979,0.11316252639894922
B2,past,5,0,-1,B0,retrieval,2,285,50751.62149441233,42343.47930687169,3704.0608866652565,0.2601585506008958
B2,past,6,0,1,B0,encoding,0,205,57951.576786583035,107231.59100143485,113167.43703320557,0.5014876019027203
B2,past,6,0,1,B0,encoding,1,205,89440.36201202111,164723.79756531026,204808.48790550043,0.4313695594864345
B2,past,6,0,1,B0,encoding,2,205,97956.65590335672,272457.7270857589,283499.2771497668,0.5021368947656922
B2,past,6,0,1,B0,maintenance,0,362,29881.75235684351,98931.28705171628,196163.20533367337,0.25858361689226406
B2,past,6,0,1,B0,maintenance,1,362,38035.8293360211,40940.627103807885,99073.83631680628,0.18344624928033498
B2,past,6,0,1,B0,maintenance,2,362,34719.61993137402,165411.62983522625,250741.2602389125,0.17797669774461716
B2,past,6,0,1,B0,retrieval,0,284,30335.3182874087,2639.2302150984087,48920.841901315966,0.26250857810016304
B2,past,6,0,1,B0,retrieval,1,284,156365.09656368542,37548.48496961824,1249.7764754274892,0.7541465766279555
B2,past,6,0,1,B0,retrieval,2,284,157789.8403499031,6728.5873933045705,27453.284036285906,0.8088485639714411
B2,past,7,0,1,B0,encoding,0,205,68213.7151591192,2067.0524360570025,2094.635270726578,0.5902916595004859
B2,past,7,0,1,B0,encoding,1,205,74631.73544107482,125206.75546392566,160786.50504427668,0.35994776985135174
B2,past,7,0,1,B0,encoding,2,205,94516.60392960234,382800.0177448651,396071.5531626348,0.4845027993588641
B2,past,7,0,1,B0,maintenance,0,363,47039.27408384572,479332.2261203851,326905.09474780754,0.40705730652378114
B2,past,7,0,1,B0,maintenance,1,363,22819.8829497463,50006.42792825704,126951.96156636962,0.11005996212583548
B2,past,7,0,1,B0,maintenance,2,363,44246.44664508934,259257.0811663027,365994.6090891068,0.22681228874024573
B2,past,7,0,1,B0,retrieval,0,297,121030.22347173993,1072194.2833782984,665998.3913735924,1.0473426245176016
B2,past,7,0,1,B0,retrieval,1,297,56436.08354263927,1685.2897244922353,35889.77773272038,0.2721904065376646
B2,past,7,0,1,B0,retrieval,2,297,114494.90425080356,41011.801883531065,169888.44256112678,0.5869138258835117
B2,past,8,0,1,B0,encoding,0,205,4648.99753827432,5124.182114597277,6205.1962433180715,0.04023039157858787
B2,past,8,0,1,B0,encoding,1,205,38097.85787356383,46593.86142747045,67420.60323188976,0.1837454120108234
B2,past,8,0,1,B0,encoding,2,205,11441.593620374379,19758.05749090168,22394.341621882908,0.05865090267448452
B2,past,8,0,1,B0,maintenance,0,362,7759.756056551741,6536.676610351934,12682.395593754321,0.06714953538677804
B2,past,8,0,1,B0,maintenance,1,362,14680.613287568005,24897.291958384823,87076.05179300111,0.07080438343929957
B2,past,8,0,1,B0,maintenance,2,362,9884.08121180507,9237.512595815637,29782.748103581966,0.05066691794995878
B2,past,8,0,1,B0,retrieval,0,257,6381.175623934349,4365.844592965325,24267.720061994467,0.05521990320904979
B2,past,8,0,1,B0,retrieval,1,257,5076.9023201235805,23018.37336512168,135144.1203422616,0.02448582572924983
B2,past,8,0,1,B0,retrieval,2,257,3051.6458424686134,6031.677083556469,82956.36506659923,0.015643081658214455
B2,past,9,0,1,B0,encoding,0,205,2453.2058263151107,868.3828803792793,499.59321262264365,0.021228970375442392
B2,past,9,0,1,B0,encoding,1,205,14412.897579291866,10842.452398289854,3645.6040109867877,0.06951319448893335
B2,past,9,0,1,B0,encoding,2,205,3778.5711880270505,2152.9558877938925,1370.6197607866109,0.019369383177789735
B2,past,9,0,1,B0,maintenance,0,362,40676.543228228365,22838.661824008595,1898.2853324579696,0.35199701627340907
B2,past,9,0,1,B0,maintenance,1,362,110937.96447274435,88589.77602651551,29474.125855859365,0.5350521821288865
B2,past,9,0,1,B0,maintenance,2,362,65278.39066763719,44571.19147053529,14095.58933250091,0.33462441202043774
B2,past,9,0,1,B0,retrieval,0,252,2614.787328180563,4367.071924601157,72280.68747291456,0.022627226029136808
B2,past,9,0,1,B0,retrieval,1,252,3191.171948428043,10265.01092593173,98027.04957799206,0.015390975692315009
B2,past,9,0,1,B0,retrieval,2,252,4829.599565808041,12365.022825201191,95074.75390074664,0.024757073489005077
B2,past,10,0,-1,B0,encoding,0,205,18376.740198092302,76110.53253551779,81210.65549616882,0.1590242730869793
B2,past,10,0,-1,B0,encoding,1,205,180354.47230222294,367533.3324656216,426046.6938348318,0.8698469853907984
B2,past,10,0,-1,B0,encoding,2,205,1290913.433789669,988356.0362858989,1009177.0879116884,6.617368233701093
B2,past,10,0,-1,B0,maintenance,0,362,82631.87118802348,56968.49245968803,99638.64898451697,0.715060076370697
B2,past,10,0,-1,B0,maintenance,1,362,80393.34047262745,265487.33198604087,431893.43853334786,0.38773590675604863
B2,past,10,0,-1,B0,maintenance,2,362,2133131.5853550797,1694990.7062644074,1968027.6650419943,10.934673713786033
B2,past,10,0,-1,B0,retrieval,0,290,400512.832588418,118820.47337021225,17694.12326932905,3.46586289939453
B2,past,10,0,-1,B0,retrieval,1,290,8716.99147683828,46775.28997013785,187196.10940485305,0.04204192255958605
B2,past,10,0,-1,B0,retrieval,2,290,1340933.7634128947,1027853.4467295856,1500593.8274722714,6.873778099478291
B2,past,11,0,1,B0,encoding,0,205,358.8352712054009,52846.704452808444,48903.866658070736,0.0031052035097787222
B2,past,11,0,1,B0,encoding,1,205,44550.049215559186,9015.605501657355,20352.307586121806,0.2148642366030655
B2,past,11,0,1,B0,encoding,2,205,18783.319370371202,7706.16813108248,9706.846023510083,0.09628541904631586
B2,past,11,0,1,B0,maintenance,0,362,130134.55881466428,653761.1481900706,462143.28775136394,1.1261275610320187
B2,past,11,0,1,B0,maintenance,1,362,18839.032749943177,144033.67475424957,65575.49826483616,0.09086037976234104
B2,past,11,0,1,B0,maintenance,2,362,29758.646057334136,99069.3676782208,56648.6445743053,0.15254618469625625
B2,past,11,0,1,B0,retrieval,0,330,187795.6247399723,963665.9360763702,581154.8786034319,1.6251012089886017
B2,past,11,0,1,B0,retrieval,1,330,11922.164710135905,237181.72703093558,73407.52260231315,0.05750042624430366
B2,past,11,0,1,B0,retrieval,2,330,97461.81179426853,285301.54831723165,104512.40422859644,0.4996002679072194
B2,past,12,0,1,B0,encoding,0,205,36224.38688533431,61291.14961779175,56925.491070996344,0.31347000231628674
B2,past,12,0,1,B0,encoding,1,205,74631.60547331518,41267.03105552872,24785.716321856646,0.35994714301874553
B2,past,12,0,1,B0,encoding,2,205,71150.23947177888,86134.38656316932,80198.61561493544,0.36472417295913606
B2,past,12,0,1,B0,maintenance,0,363,150637.86528892093,273168.7698142697,152184.46672564652,1.303554208674711
B2,past,12,0,1,B0,maintenance,1,363,157718.71411839128,75209.38626251563,16242.616519685693,0.7606750543213721
B2,past,12,0,1,B0,maintenance,2,363,297069.0006254569,325135.7166425231,219939.13921753012,1.5228092887570976
B2,past,12,0,1,B0,retrieval,0,365,87283.45861174985,245097.04111816536,76256.15211744717,0.7553128796853684
B2,past,12,0,1,B0,retrieval,1,365,53483.84635223999,12486.162822510198,13110.639415825122,0.25795180969308956
B2,past,12,0,1,B0,retrieval,2,365,221763.39713690052,254125.36442080492,86108.89259188587,1.1367842499735474
B2,past,13,0,1,B0,encoding,0,205,671.674470650009,732.4277743976348,614.16041183865,0.005812377129720077
B2,past,13,0,1,B0,encoding,1,205,1393.352753684813,2886.326288481078,1705.1518328315556,0.0067201199776611474
B2,past,13,0,1,B0,encoding,2,205,791.2433113306281,1157.728492229477,937.9191670345232,0.004056002684980089
B2,past,13,0,1,B0,maintenance,0,362,14123.46738813178,27842.561613745544,5443.416521356701,0.12221831024734574
B2,past,13,0,1,B0,maintenance,1,362,34336.95493482093,43264.53149586359,25993.792462336245,0.1656066320745491
B2,past,13,0,1,B0,maintenance,2,362,40865.92046454123,60275.4302696095,29498.052740905176,0.2094833292803671
B2,past,13,0,1,B0,retrieval,0,329,108062.06918463016,52593.08931634111,194440.32402931424,0.9351218886004933
B2,past,13,0,1,B0,retrieval,1,329,203559.55954618397,122059.60277814462,318826.0048683023,0.9817647822007708
B2,past,13,0,1,B0,retrieval,2,329,223820.0238538803,136748.6753479252,334136.8135044627,1.1473267510811318
B2,past,15,0,1,B0,encoding,0,205,56302.09836564004,34312.080133130396,37842.79124335984,0.48721373700418136
B2,past,15,0,1,B0,encoding,1,205,27556.108282331963,12065.280511507828,11649.000350541122,0.13290270772061932
B2,past,15,0,1,B0,encoding,2,205,251279.94715040864,253625.522769678,264419.4862383136,1.288089422973755
B2,past,15,0,1,B0,maintenance,0,362,25059.942068909542,37165.697050617666,29087.473977765865,0.21685777935326372
B2,past,15,0,1,B0,maintenance,1,362,136386.5962340369,513890.98269250744,327734.7622847847,0.6577905613734357
B2,past,15,0,1,B0,maintenance,2,362,151145.37729248314,105159.65586476208,170772.78385155517,0.7747882950058499
B2,past,15,0,1,B0,retrieval,0,347,274559.33658702066,402560.66813149484,176255.8655882461,2.375916427469915
B2,past,15,0,1,B0,retrieval,1,347,382961.90627462027,1007813.6612835577,619961.1128351861,1.8470196798573437
B2,past,15,0,1,B0,retrieval,2,347,17798.338136683295,51956.875524358045,8038.84523960657,0.09123629386410785
B2,past,17,0,-1,B0,encoding,0,205,21391.562253688186,10490.980679064585,12098.647410198097,0.1851132247024295
B2,past,17,0,-1,B0,encoding,1,205,22207.92309499578,10540.803185654659,21815.136112988104,0.1071084886855599
B2,past,17,0,-1,B0,encoding,2,205,51998.01859378808,33362.98060880725,36895.798155807664,0.2665477230706357
B2,past,17,0,-1,B0,maintenance,0,362,8286.091274708418,12721.79490734727,13051.048258680676,0.07170421018574653
B2,past,17,0,-1,B0,maintenance,1,362,10091.935136467655,28010.151243277935,9087.893015513524,0.048673255745528124
B2,past,17,0,-1,B0,maintenance,2,362,19221.252057526584,25220.1325604961,21688.87711727568,0.09853031152061136
B2,past,17,0,-1,B0,retrieval,0,304,8638.549796964173,2107.4470500633784,34316.28812714906,0.07475423209881961
B2,past,17,0,-1,B0,retrieval,1,304,5697.725380047061,13787.855000306865,19615.224126180332,0.02748004627860559
B2,past,17,0,-1,B0,retrieval,2,304,18867.255866558076,1149.6154052444547,37757.30033807192,0.09671568701702296
B2,past,2,0,-1,N0,encoding,0,205,93115.73965847449,12526.900900381486,14660.776387364182,0.805782889267951
B2,past,2,0,-1,N0,encoding,1,205,257013.71291699374,309291.5878501823,363420.702845186,1.2395733830781617
B2,past,2,0,-1,N0,encoding,2,205,167890.54258704424,482842.596611469,497691.57070139406,0.8606259057920406
B2,past,2,0,-1,N0,maintenance,0,362,30388.28660582709,170632.94326292828,93320.42377148996,0.26296694276344523
B2,past,2,0,-1,N0,maintenance,1,362,145998.19989579372,227760.44690903454,388221.7368384468,0.704147185432862
B2,past,2,0,-1,N0,maintenance,2,362,68702.36801390721,442683.82240971166,584931.1057105073,0.3521761070691167
B2,past,2,0,-1,N0,retrieval,0,385,182897.5410208875,829088.4451703458,483036.13857502455,1.582715334532615
B2,past,2,0,-1,N0,retrieval,1,385,123299.39959652077,85688.06512004627,95385.07387679485,0.5946712031615482
B2,past,2,0,-1,N0,retrieval,2,385,203581.6498629,80529.3886405403,167292.93282647358,1.0435825575169515
B2,past,3,0,-1,N0,encoding,0,205,3076.4699790509667,7662.669012367044,9047.441279627035,0.026622425784921407
B2,past,3,0,-1,N0,encoding,1,205,7854.903956813572,18160.96509789129,31245.702376139045,0.03788408704342579
B2,past,3,0,-1,N0,encoding,2,205,8219.014817332827,21209.749401104247,23924.890995969407,0.042131599331856055
B2,past,3,0,-1,N0,maintenance,0,363,16871.29167553841,32289.857376951837,95935.11998062312,0.14599677994138577
B2,past,3,0,-1,N0,maintenance,1,363,50864.733077601115,97485.5696408768,211115.9989475403,0.24531986462812883
B2,past,3,0,-1,N0,maintenance,2,363,53442.25380634827,116295.70667199962,193777.66756849448,0.2739510360794191
B2,past,3,0,-1,N0,retrieval,0,384,42255.81078189304,52287.77878440152,199700.59427796747,0.3656633070314102
B2,past,3,0,-1,N0,retrieval,1,384,70891.98030487545,109282.54803143581,292366.6362081737,0.341910985457829
B2,past,3,0,-1,N0,retrieval,2,384,96112.30742573591,166955.11177419074,382332.45175930456,0.4926825559167625
B2,past,4,0,1,N0,encoding,0,205,1258.1050825399282,5063.25162117945,3945.20794029761,0.010887091184905332
B2,past,4,0,1,N0,encoding,1,205,3594.151052298835,12451.152010294712,4799.656631297143,0.017334538023778042
B2,past,4,0,1,N0,encoding,2,205,2273.4673083832326,11407.633957249485,9372.783538567286,0.01165405049871403
B2,past,4,0,1,N0,maintenance,0,363,52969.160763446234,105842.92710044651,41643.58100273295,0.4583719525679976
B2,past,4,0,1,N0,maintenance,1,363,117996.33813317498,196669.0314239954,102987.06164692412,0.5690946151881507
B2,past,4,0,1,N0,maintenance,2,363,117655.80687697412,205835.46913313086,132498.31225916464,0.6031169701693672
B2,past,4,0,1,N0,retrieval,0,248,103653.38262554101,51963.47985789724,183337.1446514522,0.8969710431420442
B2,past,4,0,1,N0,retrieval,1,248,354767.70600441546,218073.45816974624,459126.0625755034,1.711039463800124
B2,past,4,0,1,N0,retrieval,2,248,290206.13119520433,170055.63181223485,376763.11667820724,1.4876294440277176
B2,past,5,0,-1,N0,encoding,0,205,15007.320593508088,18668.30540528371,16319.177170823801,0.12986678935655985
B2,past,5,0,-1,N0,encoding,1,205,28413.40206503447,18142.545021536014,8052.773403419505,0.13703742311169903
B2,past,5,0,-1,N0,encoding,2,205,26894.549429169503,38842.49293411236,34847.958419515446,0.1378645015179905
B2,past,5,0,-1,N0,maintenance,0,363,73521.92333993642,85459.55937781517,25342.960474916777,0.6362265716910844
B2,past,5,0,-1,N0,maintenance,1,363,81147.99969826813,37287.56765168842,3096.9166640659764,0.39137561717765046
B2,past,5,0,-1,N0,maintenance,2,363,119850.90984435924,120794.01841963743,60591.41450569567,0.6143693161949522
B2,past,5,0,-1,N0,retrieval,0,285,40523.57733949908,44181.587556796236,1449.3095174856298,0.35067331636798166
B2,past,5,0,-1,N0,retrieval,1,285,22022.32741028219,2502.6076287564024,38947.39196981979,0.10621336340926991
B2,past,5,0,-1,N0,retrieval,2,285,49661.79615959794,42343.47930687169,3704.0608866652565,0.2545719827008995
B2,past,6,0,1,N0,encoding,0,205,56389.068409686246,107231.59100143485,113167.43703320557,0.48796633773128045
B2,past,6,0,1,N0,encoding,1,205,87314.51132482554,164723.79756531026,204808.48790550043,0.42111661267539363
B2,past,6,0,1,N0,encoding,2,205,97706.32463879524,272457.7270857589,283499.2771497668,0.5008536683969432
B2,past,6,0,1,N0,maintenance,0,362,31160.646633697634,98931.28705171628,196163.20533367337,0.2696506086731534
B2,past,6,0,1,N0,maintenance,1,362,38028.30245145158,40940.627103807885,99073.83631680628,0.1834099472260049
B2,past,6,0,1,N0,maintenance,2,362,34871.37140371639,165411.62983522625,250741.2602389125,0.17875459295138396
B2,past,6,0,1,N0,retrieval,0,284,30370.838373062346,2639.2302150984087,48920.841901315966,0.2628159533876281
B2,past,6,0,1,N0,retrieval,1,284,153474.84342141863,37548.48496961824,1249.7764754274892,0.7402069279420934
B2,past,6,0,1,N0,retrieval,2,284,156508.65270098796,6728.5873933045705,27453.284036285906,0.8022810512107655
B2,past,7,0,1,N0,encoding,0,205,66140.38943432395,2067.0524360570025,2094.635270726578,0.5723500053929567
B2,past,7,0,1,N0,encoding,1,205,72549.97478961207,125206.75546392566,160786.50504427668,0.34990746863860633
B2,past,7,0,1,N0,encoding,2,205,94135.36484205603,382800.0177448651,396071.5531626348,0.4825485246868841
B2,past,7,0,1,N0,maintenance,0,363,47375.619949562984,479332.2261203851,326905.09474780754,0.40996789655361954
B2,past,7,0,1,N0,maintenance,1,363,23420.488238427548,50006.42792825704,126951.96156636962,0.11295667265982048
B2,past,7,0,1,N0,maintenance,2,363,44368.26729660115,259257.0811663027,365994.6090891068,0.2274367551749597
B2,past,7,0,1,N0,retrieval,0,297,121544.73655082853,1072194.2833782984,665998.3913735924,1.0517949956951786
B2,past,7,0,1,N0,retrieval,1,297,56260.86684915251,1685.2897244922353,35889.77773272038,0.2713453389844508
B2,past,7,0,1,N0,retrieval,2,297,114090.95767823316,41011.801883531065,169888.44256112678,0.5848431500756127
B2,past,8,0,1,N0,encoding,0,205,4562.166611463657,5124.182114597277,6205.1962433180715,0.039478994711206174
