dataset,setting,stage,model,control,S,ci_low,ci_high,n_boot
A1,past,encoding,N2,B0,-0.1324911353064957,-0.25033201313961184,-0.02586777132339721,2000
A1,past,encoding,N2,N0,-0.09605348039008144,-0.18184406604308068,-0.019954955208647533,2000
A1,past,encoding,N2,N1,-0.05327493651664228,-0.1216104907915827,-0.002905391181357242,2000
A1,past,encoding,N2,N3,-0.09046117780015384,-0.18291671021445777,-0.02391238962037967,2000
A1,past,encoding,N0,B0,-0.03324441331407124,-0.0633317075555131,-0.00243749276369998,2000
A1,past,maintenance,N2,B0,-0.009640020392582382,-0.028735864180264636,0.018990597891540117,2000
A1,past,maintenance,N2,N0,-0.013045826331550492,-0.030157295025437625,0.014980802399346273,2000
A1,past,maintenance,N2,N1,-0.0053246389750578604,-0.018709456515671352,0.011789170725467035,2000
A1,past,maintenance,N2,N3,0.02985269504918675,-0.017640421202420153,0.07455721945451554,2000
A1,past,maintenance,N0,B0,0.0033619465679071148,-0.0014470308027016987,0.01288522452614771,2000
A1,past,retrieval,N2,B0,0.01907378997070186,-0.0547782756868771,0.1166172514521786,2000
A1,past,retrieval,N2,N0,0.026068298428256198,-0.02014694949328888,0.11012288402052539,2000
A1,past,retrieval,N2,N1,0.025765502958242426,-0.0018471874505257002,0.07846119704381549,2000
A1,past,retrieval,N2,N3,-0.003479156239722725,-0.06819642097974832,0.05080741208327777,2000
A1,past,retrieval,N0,B0,-0.007181723776181093,-0.031573854939080714,0.01680302574202197,2000
A1,stimulus,encoding,N2,N0,-0.010256941436131317,-0.02443025843616531,0.0001772598642008072,2000
A1,stimulus,encoding,N2,N1,0.0037046220455864143,-0.009773307142394532,0.019911540511488357,2000
A1,stimulus,encoding,N2,N2_equal_penalty,0.0028713645715773284,0.0,0.009454453289163056,2000
A1,stimulus,encoding,N2,N2_fixed_target,0.00042267173355159393,-2.650922699798386e-06,0.0011718141718145558,2000
A1,stimulus,encoding,N2,N2_no_projection,0.0033392018683133795,-0.009345467936268115,0.019133629818257294,2000
A1,stimulus,encoding,N2,N2_no_retrieval,0.0005310191230355477,4.7066780124893626e-05,0.0011414782884051622,2000
A1,stimulus,encoding,N2,N3,-0.014664039259054018,-0.05974116795642148,0.004956524386534489,2000
A1,stimulus,encoding,N2,V1_M2,0.010051503765321712,-0.006905246278415378,0.03905027010339601,2000
A1,stimulus,maintenance,N2,N0,-0.0073352298559241635,-0.019260610596509187,0.003014131267489395,2000
A1,stimulus,maintenance,N2,N1,0.0023970355573430524,0.0011514801276319986,0.0039045687851493316,2000
A1,stimulus,maintenance,N2,N2_equal_penalty,-0.003411494238733326,-0.007680111978758841,0.0,2000
A1,stimulus,maintenance,N2,N2_fixed_target,-0.000986516601127585,-0.0023730790227773912,0.0003136847875880866,2000
A1,stimulus,maintenance,N2,N2_no_projection,0.002491246650443313,0.0013667014844375158,0.003762301022282366,2000
A1,stimulus,maintenance,N2,N2_no_retrieval,0.00013120934704291543,-0.0003098629324127522,0.0005454556764616925,2000
A1,stimulus,maintenance,N2,N3,0.026363855442089634,0.001013472811039262,0.05814061900710188,2000
A1,stimulus,maintenance,N2,V1_M2,0.004531989275833426,0.00191141464411837,0.007327676616900702,2000
A1,stimulus,retrieval,N2,N0,-0.00501245324457944,-0.016113264016689666,0.003255118196094142,2000
A1,stimulus,retrieval,N2,N1,0.012686782254983764,0.0007710410181391847,0.030570491452770243,2000
A1,stimulus,retrieval,N2,N2_equal_penalty,-0.0014483246897101232,-0.003785919739200949,0.0,2000
A1,stimulus,retrieval,N2,N2_fixed_target,-0.0008939839614892087,-0.0024352418825006605,-0.000288360576233977,2000
A1,stimulus,retrieval,N2,N2_no_projection,0.012594740678149696,0.0007766603820245077,0.030332341277263142,2000
A1,stimulus,retrieval,N2,N2_no_retrieval,0.0003948921229774971,1.0797017224617456e-05,0.0007157385543743455,2000
A1,stimulus,retrieval,N2,N3,0.02442200094503788,-0.013436673206143501,0.07422471145644971,2000
A1,stimulus,retrieval,N2,V1_M2,0.020694742176339154,-0.0014455759531271095,0.05363627767362722,2000
A2,past,encoding,N2,B0,0.08203817537972802,0.017596055477681727,0.2878657444854469,2000
A2,past,encoding,N2,N0,0.08014195474950359,0.013894362414050843,0.27583171644464066,2000
A2,past,encoding,N2,N1,-0.00536723260377725,-0.09655728171045985,0.018108362790078658,2000
A2,past,encoding,N2,N3,0.021696103318450843,-0.0003461925402235,0.11697571719198474,2000
A2,past,encoding,N0,B0,0.002061427456133247,-0.03420402366536379,0.04622202904541888,2000
A2,past,maintenance,N2,B0,-0.01743299412663024,-0.1533849732235022,0.04166879018712066,2000
A2,past,maintenance,N2,N0,0.01810902816097626,0.0010708714945761866,0.03293678449997528,2000
A2,past,maintenance,N2,N1,-0.031630332146086015,-0.13321362231097567,0.01452962461594065,2000
A2,past,maintenance,N2,N3,0.04700941175846296,-0.0048510683032696456,0.147362722096693,2000
A2,past,maintenance,N0,B0,-0.03619752427404266,-0.1498342301096134,0.009530630995410188,2000
A2,past,retrieval,N2,B0,-0.011987367319124864,-0.12594252157218433,0.04318632062242478,2000
A2,past,retrieval,N2,N0,0.01072849693775102,-0.022891447300596335,0.042055380949810206,2000
A2,past,retrieval,N2,N1,-0.03162055544047493,-0.1187816606892036,0.01778121550450672,2000
A2,past,retrieval,N2,N3,0.03311000639621653,-0.021945817231308,0.1685355252621199,2000
A2,past,retrieval,N0,B0,-0.022962214302706396,-0.0974300145994409,0.0010296097924423764,2000
A2,stimulus,encoding,N2,N0,0.05283438183585332,-0.051260728104601805,0.2521900011885352,2000
A2,stimulus,encoding,N2,N1,-0.00016589029544045175,-0.016039240068644656,0.03397194585658514,2000
A2,stimulus,encoding,N2,N2_equal_penalty,-0.002328184622657048,-0.007216301565667216,-0.0003601902400092172,2000
A2,stimulus,encoding,N2,N2_fixed_target,0.0010737900314561344,0.00013298771029224277,0.004803285575081362,2000
A2,stimulus,encoding,N2,N2_no_projection,-3.1450300637114736e-06,-0.01585886083908039,0.03105343812544603,2000
A2,stimulus,encoding,N2,N2_no_retrieval,-0.000523857608945022,-0.0015156551219799308,-0.0002062867541252622,2000
A2,stimulus,encoding,N2,N3,0.016339152908491084,-0.026944593884090207,0.0967209322405076,2000
A2,stimulus,encoding,N2,V1_M2,-0.0021174206572642795,-0.032003515425733875,0.008801073546772176,2000
A2,stimulus,maintenance,N2,N0,0.010913871844284273,-0.014021521222109312,0.03162037462686618,2000
A2,stimulus,maintenance,N2,N1,-0.008009036149018378,-0.024972402072925615,0.010874326170749793,2000
A2,stimulus,maintenance,N2,N2_equal_penalty,-0.0002139171878006163,-0.0018798733629519283,0.0019057280029424223,2000
A2,stimulus,maintenance,N2,N2_fixed_target,-0.0019056829659569452,-0.005842386184607307,5.44401533121297e-05,2000
A2,stimulus,maintenance,N2,N2_no_projection,-0.008031778173712256,-0.02628043630150989,0.010883077374375882,2000
A2,stimulus,maintenance,N2,N2_no_retrieval,-0.0006342104711356544,-0.002775405612242432,0.0011288726974229084,2000
A2,stimulus,maintenance,N2,N3,0.006811984885417455,-0.02421893086140625,0.03161074062448499,2000
A2,stimulus,maintenance,N2,V1_M2,0.007773453116633577,-0.0020055483625673887,0.020132147917589882,2000
A2,stimulus,retrieval,N2,N0,0.028330804347564964,-0.027827273310764067,0.06747126219163802,2000
A2,stimulus,retrieval,N2,N1,0.02009379941955758,0.0082488960260928,0.02900258457956506,2000
A2,stimulus,retrieval,N2,N2_equal_penalty,-0.0015240350312231143,-0.005150666547626193,0.002083611280758957,2000
A2,stimulus,retrieval,N2,N2_fixed_target,-0.0027080855202850085,-0.012043461363499652,0.0027463162390831686,2000
A2,stimulus,retrieval,N2,N2_no_projection,0.0188583028509528,0.006352358514291945,0.02825355900970472,2000
A2,stimulus,retrieval,N2,N2_no_retrieval,0.002956879179722982,-0.000546393363642933,0.00853069127798323,2000
A2,stimulus,retrieval,N2,N3,0.002224638740931595,-0.012474812100902177,0.011364376214786254,2000
A2,stimulus,retrieval,N2,V1_M2,0.022158917995689476,0.012439127452036014,0.032791412095214634,2000
B1,past,encoding,N2,B0,0.002952390343976097,-0.021541180010182126,0.04811534418683372,2000
B1,past,encoding,N2,N0,-0.0012088596800732265,-0.02265136085316488,0.04379721251924762,2000
B1,past,encoding,N2,N1,-0.005560305974657398,-0.02014638250749967,0.024237858303819526,2000
B1,past,encoding,N2,N3,0.019093160056955716,-0.0030752115823351467,0.03776174931777598,2000
B1,past,encoding,N0,B0,0.004156225730342689,-0.005177121537696117,0.010851955229640886,2000
B1,past,maintenance,N2,B0,-0.007942546161563868,-0.036727648425438186,0.00584121548229744,2000
B1,past,maintenance,N2,N0,-0.0023547107528685274,-0.023126059974064583,0.007967864300829963,2000
B1,past,maintenance,N2,N1,-0.002577906069496816,-0.017230201340909135,0.006222787870663995,2000
B1,past,maintenance,N2,N3,0.006519097532300955,-0.015351586233078862,0.015312397290108137,2000
B1,past,maintenance,N0,B0,-0.005574708582452237,-0.01427089074579313,-0.0015309232604017176,2000
B1,past,retrieval,N2,B0,-0.0026520135508179,-0.03148573274496025,0.009281264124583521,2000
B1,past,retrieval,N2,N0,0.000754138924776826,-0.012939317968655871,0.007378493964198651,2000
B1,past,retrieval,N2,N1,0.0033327213258916855,-0.007047229649452813,0.008280721435839578,2000
B1,past,retrieval,N2,N3,0.012628412438994041,-0.00042352186327132557,0.0292267022254179,2000
B1,past,retrieval,N0,B0,-0.00340872312638818,-0.014694686887571917,0.0026746661518209924,2000
B1,stimulus,encoding,N2,N0,0.005885798082916227,-0.007642286568960266,0.02716766838735063,2000
B1,stimulus,encoding,N2,N1,-0.00014172703140369336,-0.005167100925633994,0.005926651684800666,2000
B1,stimulus,encoding,N2,N2_equal_penalty,0.006200597192193014,-0.00035959642086336174,0.017640062592429707,2000
B1,stimulus,encoding,N2,N2_fixed_target,9.382610949737469e-06,-0.00016032920216902392,0.0003353434072248529,2000
B1,stimulus,encoding,N2,N2_no_projection,-0.00019850222975237308,-0.005431206120776855,0.005330030515784179,2000
B1,stimulus,encoding,N2,N2_no_retrieval,0.00010336260646182094,-0.00020529507817568238,0.0007364986428030074,2000
B1,stimulus,encoding,N2,N3,0.018699814319797836,0.0001732457161818246,0.03610801495862759,2000
B1,stimulus,encoding,N2,V1_M2,0.00537857114834539,-0.0026277950799928895,0.011105178097880919,2000
B1,stimulus,maintenance,N2,N0,-0.0022922835862280166,-0.011885363681576333,0.001811727565588006,2000
B1,stimulus,maintenance,N2,N1,-0.00010275483727850698,-0.0007257994930662814,0.0008797852271752449,2000
B1,stimulus,maintenance,N2,N2_equal_penalty,-0.0017658438236534124,-0.00965462993967292,0.001280490281872937,2000
B1,stimulus,maintenance,N2,N2_fixed_target,-2.3699498500340255e-05,-9.101906290331918e-05,7.925915633921754e-06,2000
B1,stimulus,maintenance,N2,N2_no_projection,-6.731016264738265e-05,-0.0007081716116228431,0.0009114091400370093,2000
B1,stimulus,maintenance,N2,N2_no_retrieval,0.0004076278055171745,-2.6746986085735003e-05,0.0014444816141265804,2000
B1,stimulus,maintenance,N2,N3,0.002976271092602789,-0.013381522324982686,0.013535872006899208,2000
B1,stimulus,maintenance,N2,V1_M2,0.0015582503275189952,-0.00044465572197260883,0.0032589524605204367,2000
B1,stimulus,retrieval,N2,N0,-0.001266217565352612,-0.008596101118000243,0.0031019206482452155,2000
B1,stimulus,retrieval,N2,N1,-0.0006505359501163266,-0.0035044736657248166,0.000997881253708588,2000
